Mode	Category	Environment	Density	Compression	GameVersion	Revision	URL	Size
COMPLETE	FONT_CJK_BASE	LIVE	XHDPI	PNG	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_FONT_CJK_BASE_XHDPI_PNG_325.zip	4422179
COMPLETE	FONT_CJK_FALLBACK	LIVE	XHDPI	PNG	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_FONT_CJK_FALLBACK_XHDPI_PNG_325.zip	15922823
COMPLETE	WORLD_INITIAL_INTERNAL	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_INITIAL_INTERNAL_XHDPI_ETC1_325.zip	37356715
COMPLETE	WORLD_INITIAL_INTERNAL	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_INITIAL_INTERNAL_XHDPI_ETC2_325.zip	43275805
COMPLETE	WORLD_INITIAL_INTERNAL	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_INITIAL_INTERNAL_XHDPI_PVRTC_325.zip	39076815
COMPLETE	WORLD_ADDITIONAL	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_ADDITIONAL_XHDPI_ETC1_325.zip	394343854
COMPLETE	WORLD_ADDITIONAL	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_ADDITIONAL_XHDPI_ETC2_325.zip	446974669
COMPLETE	WORLD_ADDITIONAL	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_WORLD_ADDITIONAL_XHDPI_PVRTC_325.zip	424778595
COMPLETE	UI_INITIAL	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_INITIAL_XHDPI_ETC1_325.zip	15339998
COMPLETE	UI_INITIAL	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_INITIAL_XHDPI_ETC2_325.zip	18172474
COMPLETE	UI_INITIAL	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_INITIAL_XHDPI_PVRTC_325.zip	17756252
COMPLETE	UI_DYNAMIC	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_DYNAMIC_XHDPI_ETC1_325.zip	151119123
COMPLETE	UI_DYNAMIC	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_DYNAMIC_XHDPI_ETC2_325.zip	187187595
COMPLETE	UI_DYNAMIC	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_DYNAMIC_XHDPI_PVRTC_325.zip	188976555
COMPLETE	SOUND	LIVE	XHDPI	OGG	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_SOUND_XHDPI_OGG_325.zip	165509186
COMPLETE	SOUND	LIVE	XHDPI	MP3	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_SOUND_XHDPI_MP3_325.zip	143343135
COMPLETE	TEXT	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_XHDPI_TXT_325.zip	3224091
COMPLETE	TEXT_DE	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_DE_XHDPI_TXT_325.zip	3379648
COMPLETE	TEXT_FR	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_FR_XHDPI_TXT_325.zip	3225193
COMPLETE	TEXT_ES	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_ES_XHDPI_TXT_325.zip	3189497
COMPLETE	TEXT_IT	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_IT_XHDPI_TXT_325.zip	3157061
COMPLETE	TEXT_PT	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_PT_XHDPI_TXT_325.zip	3118822
COMPLETE	TEXT_RU	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_RU_XHDPI_TXT_325.zip	1423442
COMPLETE	TEXT_JA	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_JA_XHDPI_TXT_325.zip	3444707
COMPLETE	TEXT_KO	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_KO_XHDPI_TXT_325.zip	3417354
COMPLETE	TEXT_ZH_HANS	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_ZH_HANS_XHDPI_TXT_325.zip	1143199
COMPLETE	TEXT_ZH_HANT	LIVE	XHDPI	TXT	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_TEXT_ZH_HANT_XHDPI_TXT_325.zip	1170738
COMPLETE	UI_PARTICLES_INITIAL	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_PARTICLES_INITIAL_XHDPI_ETC1_325.zip	5038763
COMPLETE	UI_PARTICLES_INITIAL	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_PARTICLES_INITIAL_XHDPI_ETC2_325.zip	5859288
COMPLETE	UI_PARTICLES_INITIAL	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_PARTICLES_INITIAL_XHDPI_PVRTC_325.zip	3859363
COMPLETE	UI_BOOSTER_INITIAL	LIVE	XHDPI	ETC1	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_BOOSTER_INITIAL_XHDPI_ETC1_325.zip	1683852
COMPLETE	UI_BOOSTER_INITIAL	LIVE	XHDPI	ETC2	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_BOOSTER_INITIAL_XHDPI_ETC2_325.zip	2272121
COMPLETE	UI_BOOSTER_INITIAL	LIVE	XHDPI	PVRTC	7.8.1	325	http://content.disneyheroesgame.com/live/COMPLETE_LIVE_UI_BOOSTER_INITIAL_XHDPI_PVRTC_325.zip	2271815
INCREMENTAL	TEXT	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_XHDPI_TXT_326.zip	2317601
INCREMENTAL	UI_INITIAL	LIVE	XHDPI	ETC1	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_UI_INITIAL_XHDPI_ETC1_326.zip	275407
INCREMENTAL	UI_INITIAL	LIVE	XHDPI	ETC2	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_UI_INITIAL_XHDPI_ETC2_326.zip	314095
INCREMENTAL	TEXT_DE	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_DE_XHDPI_TXT_326.zip	2476827
INCREMENTAL	UI_INITIAL	LIVE	XHDPI	PVRTC	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_UI_INITIAL_XHDPI_PVRTC_326.zip	299360
INCREMENTAL	TEXT_FR	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_FR_XHDPI_TXT_326.zip	2355300
INCREMENTAL	TEXT_ES	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_ES_XHDPI_TXT_326.zip	2340348
INCREMENTAL	TEXT_IT	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_IT_XHDPI_TXT_326.zip	2313620
INCREMENTAL	TEXT_PT	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_PT_XHDPI_TXT_326.zip	2286834
INCREMENTAL	TEXT_RU	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_RU_XHDPI_TXT_326.zip	515562
INCREMENTAL	UI_DYNAMIC	LIVE	XHDPI	ETC1	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_UI_DYNAMIC_XHDPI_ETC1_326.zip	70500294
INCREMENTAL	TEXT_JA	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_JA_XHDPI_TXT_326.zip	2500284
INCREMENTAL	TEXT_KO	LIVE	XHDPI	TXT	7.9	326	http://content.disneyheroesgame.com/live/INCREMENTAL_LIVE_TEXT_KO_XHDPI_TXT_326.zip	2504620
