	QUANTITY	ITEM	FALLBACK_ITEM	MIN_TL
1	100	ResourceType.DIAMONDS		0
2	1	ItemType.STAMINA_CONSUMABLE		0
3	50000	ResourceType.GOLD		0
4	8	ItemType.EXP_VIAL		0
5	250	ResourceType.FIGHT_TOKENS		0
6	100	ResourceType.DIAMONDS		0
7	1	ItemType.STAMINA_CONSUMABLE		0
8	50000	ResourceType.GOLD		0
9	8	ItemType.EXP_VIAL		0
10	250	ResourceType.EXPEDITION_TOKENS	ResourceType.FIGHT_TOKENS	25
11	100	ResourceType.DIAMONDS		0
12	1	ItemType.STAMINA_CONSUMABLE		0
13	50000	ResourceType.GOLD		0
14	8	ItemType.EXP_VIAL		0
15	250	ResourceType.CRYPT_TOKENS	ResourceType.FIGHT_TOKENS	30
16	100	ResourceType.DIAMONDS		0
17	1	ItemType.STAMINA_CONSUMABLE		0
18	50000	ResourceType.GOLD		0
19	8	ItemType.EXP_VIAL		0
20	250	ResourceType.COLISEUM_TOKENS	ResourceType.FIGHT_TOKENS	44
21	100	ResourceType.DIAMONDS		0
22	1	ItemType.STAMINA_CONSUMABLE		0
23	50000	ResourceType.GOLD		0
24	8	ItemType.EXP_VIAL		0
25	250	ResourceType.GEAR_JUICE		0
26	100	ResourceType.DIAMONDS		0
27	1	ItemType.STAMINA_CONSUMABLE		0
28	50000	ResourceType.GOLD		0
29	8	ItemType.EXP_VIAL		0
30	1	ItemType.GOLD_CHEST_ROLL_X1		0
