	FIGHT_PIT_VALUE	COLISEUM_VALUE
LEAGUE_SIZE	100	50
PROMOTION_POSITIONS	5	5
SEASONAL_PLATINUM_1_PROMOTION_POSITIONS	1	1
PROMOTION_LEAGUE_SIZE	10	10
COPPER_PROMOTE_TIME	6 h	6 h
BRONZE_PROMOTE_TIME	12 h	12 h
SILVER_PROMOTE_TIME	16 h	16 h
GOLD_PROMOTE_TIME	1 d	1 d
PLATINUM_PROMOTE_TIME	2 d	2 d
CHALLENGER_PROMOTE_TIME	3 d	3 d
SKIP_COOLDOWN_COST	50	50
DEFENSE_REWARD	10	10
DAILY_REWARD_EXPIRATION	5 d	5 d
COOLDOWN_DURATION	10 m	10 m
DEMOTION_WARNING_TIME	5 d	5 d
DEMOTION_INACTIVE_TIME	7 d	7 d
LINEUP_UPDATE_COOLDOWN_DURATION	6 h	6 h
ATTACK_BONUS_TOKENS	0	10
CHALLENGER_SEASONS_ENABLED_SHARDS	1-99	1-99
PERSISTENT_PROMOTION_ENABLED_SHARDS	1-99	1-99
AUTO_PROMOTE_PLATINUM_1_SHARDS	0	0
DAILY_UPDATE_HOUR	21	21
WEEKLY_UPDATE_DAY	3	3
SEASON_EPOCH	2020-02-23	2020-02-23
SEASON_WEEKS	4	4
SEASON_MIN_REQ_PLAYERS	200	200
CHALLENGER_ATTACK_CHANCES_PER_KEY	3	3
FIGHT_SCORE_WIN_BONUS	1000	1000
LEGACY_SCORE_EXPR	250-35*(D-1)-lookup(R,30,0,1,2,R+1)	250-35*(D-1)-lookup(R,30,0,1,2,R+1)
LEGACY_RANKINGS_TOP_PLAYERS	100	100
LEGACY_RANKINGS_BEFORE_YOU	50	50
LEGACY_RANKINGS_AFTER_YOU	49	49
LINEUP_UPDATE_LEAGUE_END_LOCKOUT	24 h	24 h
FEATURED_HEROES_USED_A		
FEATURED_HEROES_USED_B		
FEATURED_FRANCHISES_USED_A	THE_LITTLE_MERMAID,INSIDE_OUT,MICKEY_AND_FRIENDS,INCREDIBLES,THE_PROUD_FAMILY	THE_LITTLE_MERMAID,INSIDE_OUT,MICKEY_AND_FRIENDS,INCREDIBLES,THE_PROUD_FAMILY
FEATURED_FRANCHISES_USED_B	CARS,WILDCARD,PRINCESS	CARS,WILDCARD,PRINCESS
FEATURED_HEROES_USED_A_W2		
FEATURED_HEROES_USED_B_W2		
FEATURED_FRANCHISES_USED_A_W2	HERCULES,DUCKTALES,THE_SWORD_IN_THE_STONE	HERCULES,DUCKTALES,THE_SWORD_IN_THE_STONE
FEATURED_FRANCHISES_USED_B_W2	SOUL,LILO_AND_STITCH,AMPHIBIA,ZOOTOPIA	SOUL,LILO_AND_STITCH,AMPHIBIA,ZOOTOPIA
FEATURED_HEROES_USED_A_W3		
FEATURED_HEROES_USED_B_W3		
FEATURED_FRANCHISES_USED_A_W3	KIM_POSSIBLE,PETER_PAN,UP,CHICKEN_LITTLE	KIM_POSSIBLE,PETER_PAN,UP,CHICKEN_LITTLE
FEATURED_FRANCHISES_USED_B_W3	THE_GREAT_MOUSE_DETECTIVE,CHIP_AND_DALE_RESCUE_RANGERS,SNOW_WHITE_AND_THE_SEVEN_DWARFS	THE_GREAT_MOUSE_DETECTIVE,CHIP_AND_DALE_RESCUE_RANGERS,SNOW_WHITE_AND_THE_SEVEN_DWARFS
FEATURED_HEROES_USED_A_W4		
FEATURED_HEROES_USED_B_W4		
FEATURED_FRANCHISES_USED_A_W4	WILDCARD,WRECK_IT_RALPH,BIG_HERO_SIX	WILDCARD,WRECK_IT_RALPH,BIG_HERO_SIX
FEATURED_FRANCHISES_USED_B_W4	INCREDIBLES,FANTASIA,A_BUGS_LIFE,ELEMENTAL	INCREDIBLES,FANTASIA,A_BUGS_LIFE,ELEMENTAL
PERSISTENT_ENERGY_GAIN	-75	-75
