	FIGHT_PIT	COLISEUM
TIME_REMAINING	W*round(clamp(TA-T1,0,90,1000,0))	round((clamp(TA-T1,0,90,1000,0)*W1) + (clamp(TA-T2,0,90,1000,0)*W2) + (clamp(TA-T3,0,90,1000,0)*W3))
TIME_REMAINING_ALT	W*round(clamp(TA-T1,4,14,750,0))	round((clamp(TA-T1,4,14,750,0)*W1) + (clamp(TA-T2,4,14,750,0)*W2) + (clamp(TA-T3,4,14,750,0)*W3))
FEATURED_HEROES_USED_A	ceil(clamp(1000*V, 0, 1500) + 0)	ceil(clamp(1000*V, 0, 1500) + 0)
FEATURED_HEROES_USED_B	ceil(clamp(1000*V, 0, 1500) + 0)	ceil(clamp(1000*V, 0, 1500) + 0)
FEATURED_FRANCHISES_USED_A	ceil(clamp(500*V, 0, 1500) + 0)	ceil(clamp(500*V, 0, 1500) + 0)
FEATURED_FRANCHISES_USED_B	ceil(clamp(500*V, 0, 1500) + 0)	ceil(clamp(500*V, 0, 1500) + 0)
DAMAGE_DEALT_NORMAL	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)
DAMAGE_DEALT_FANTASTIC	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)
DAMAGE_DEALT_TRUE	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1.43), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_FROZEN	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_STUNNED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_BY_DOTS	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_SCARED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_STUDIED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_SILENCED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_CHARMED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_BLINDED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_FATIGUED	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
DAMAGE_DEALT_TO_WEAK	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)	ceil(clamp(((1000*V/((R+T)*EH)) * 1), 0, 1000/EH) + 0)
