	EXP
1	11
2	12
3	13
4	14
5	15
6	16
7	17
8	18
9	19
10	20
11	21
12	22
13	23
14	24
15	25
16	26
17	27
18	28
19	29
20	30
21	31
22	32
23	33
24	34
25	35
26	36
27	37
28	38
29	39
30	40
31	41
32	42
33	43
34	44
35	45
36	47
37	48
38	49
39	51
40	52
41	54
42	55
43	57
44	58
45	60
46	62
47	64
48	65
49	67
50	69
51	71
52	73
53	75
54	77
55	79
56	82
57	85
58	88
59	91
60	94
61	97
62	100
63	103
64	106
65	109
66	112
67	115
68	118
69	121
70	122
71	124
72	128
73	131
74	135
75	140
76	147
77	151
78	155
79	159
80	161
81	165
82	169
83	174
84	179
85	184
86	190
87	196
88	202
89	208
90	214
91	221
92	228
93	235
94	242
95	249
96	257
97	265
98	273
99	281
100	289
101	297
102	305
103	313
104	321
105	329
106	337
107	345
108	353
109	361
110	369
111	377
112	385
113	393
114	401
115	409
