	SERVERS	POINTS	FREE_1_QNTY	FREE_1_DROP	FREE_1_EXTRA	PREMIUM_1_QNTY	PREMIUM_1_DROP	PREMIUM_1_EXTRA	PREMIUM_2_QNTY	PREMIUM_2_DROP	PREMIUM_2_EXTRA
1	1-9000	0	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
2	1-9000	18	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
3	1-9000	36	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
4	1-9000	54	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
5	1-9000	72	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
6	1-9000	90	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
7	1-9000	108	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
8	1-9000	126	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
9	1-9000	144	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
10	1-9000	162	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
11	1-9000	180	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
12	1-9000	198	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
13	1-9000	216	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
14	1-9000	234	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
15	1-9000	252	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
16	1-9000	270	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
17	1-9000	288	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
18	1-9000	306	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
19	1-9000	324	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
20	1-9000	342	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
21	1-9000	360	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
22	1-9000	378	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
23	1-9000	396	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
24	1-9000	414	2	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=5	115	PAID_DIAMONDS	
25	1-9000	432	4	GOLD_CHEST_ROLL_X1		1	BATTLE_PASS_GOLD_CHIP	Quantity=30	700	PAID_DIAMONDS	
