	TIER	STARTING_AFTER	DROP_TABLE	SERVERS	POINTS	BUYOUT_COST
1	1	2026-01-03	NORMAL	1-9000	0	0
2	2	2026-01-03	NORMAL	1-9000	9	625
3	3	2026-01-03	NORMAL	1-9000	9	650
4	4	2026-01-03	NORMAL	1-9000	9	675
5	5	2026-01-03	NORMAL	1-9000	9	700
6	6	2026-01-03	NORMAL	1-9000	9	725
7	7	2026-01-03	NORMAL	1-9000	9	750
8	8	2026-01-03	NORMAL	1-9000	9	775
9	9	2026-01-03	NORMAL	1-9000	9	800
10	10	2026-01-03	NORMAL	1-9000	9	825
11	11	2026-01-03	NORMAL	1-9000	9	850
12	12	2026-01-03	NORMAL	1-9000	9	875
13	13	2026-01-03	NORMAL	1-9000	9	900
14	14	2026-01-03	NORMAL	1-9000	9	925
15	15	2026-01-03	NORMAL	1-9000	9	950
16	16	2026-01-03	NORMAL	1-9000	9	975
17	17	2026-01-03	NORMAL	1-9000	9	1000
18	18	2026-01-03	NORMAL	1-9000	9	1025
19	19	2026-01-03	NORMAL	1-9000	9	1050
20	20	2026-01-03	NORMAL	1-9000	9	1075
21	21	2026-01-03	NORMAL	1-9000	9	1100
22	22	2026-01-03	NORMAL	1-9000	9	1125
23	23	2026-01-03	NORMAL	1-9000	9	1150
24	24	2026-01-03	NORMAL	1-9000	9	1175
25	25	2026-01-03	NORMAL	1-9000	9	1200
26	26	2026-01-03	NORMAL	1-9000	9	1225
27	27	2026-01-03	NORMAL	1-9000	9	1250
28	28	2026-01-03	NORMAL	1-9000	9	1275
29	29	2026-01-03	NORMAL	1-9000	9	1300
30	30	2026-01-03	NORMAL	1-9000	9	1325
31	1	2025-11-04	ALTERNATE	1-9000	0	0
32	2	2025-11-04	ALTERNATE	1-9000	9	625
33	3	2025-11-04	ALTERNATE	1-9000	9	650
34	4	2025-11-04	ALTERNATE	1-9000	9	675
35	5	2025-11-04	ALTERNATE	1-9000	9	700
36	6	2025-11-04	ALTERNATE	1-9000	9	725
37	7	2025-11-04	ALTERNATE	1-9000	9	750
38	8	2025-11-04	ALTERNATE	1-9000	9	775
39	9	2025-11-04	ALTERNATE	1-9000	9	800
40	10	2025-11-04	ALTERNATE	1-9000	9	825
41	11	2025-11-04	ALTERNATE	1-9000	9	850
42	12	2025-11-04	ALTERNATE	1-9000	9	875
43	13	2025-11-04	ALTERNATE	1-9000	9	900
44	14	2025-11-04	ALTERNATE	1-9000	9	925
45	15	2025-11-04	ALTERNATE	1-9000	9	950
46	16	2025-11-04	ALTERNATE	1-9000	9	975
47	17	2025-11-04	ALTERNATE	1-9000	9	1000
48	18	2025-11-04	ALTERNATE	1-9000	9	1025
49	19	2025-11-04	ALTERNATE	1-9000	9	1050
50	20	2025-11-04	ALTERNATE	1-9000	9	1075
51	21	2025-11-04	ALTERNATE	1-9000	9	1100
52	22	2025-11-04	ALTERNATE	1-9000	9	1125
53	23	2025-11-04	ALTERNATE	1-9000	9	1150
54	24	2025-11-04	ALTERNATE	1-9000	9	1175
55	25	2025-11-04	ALTERNATE	1-9000	9	1200
56	26	2025-11-04	ALTERNATE	1-9000	9	1225
57	27	2025-11-04	ALTERNATE	1-9000	9	1250
58	28	2025-11-04	ALTERNATE	1-9000	9	1275
59	29	2025-11-04	ALTERNATE	1-9000	9	1300
60	30	2025-11-04	ALTERNATE	1-9000	9	1325
