	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	DISPLAY	1	1	<STONE_RECENT>,<STONE_RECENT>,<STONE_RECENT>,<STONE_RECENT>,<HERO_ITEM>,<HERO_ITEM>,<HERO_ITEM>,<HERO_ITEM>,<GEAR_FULL>,<GEAR_FULL>	Try NoDups
2	ROOT	1	1	<BADGE_CRATE_CHANCE>,<STONES>,<GEARS>,<HERO_ITEMS>,<PERK_A>,<PERK_B>,<STONE_RECENT>,<STONE_RECENT>	Try NoDups
3	PERK_A	1	1	? HasGuildPerk(SHOP_SLOTS_BLACK_MARKET, 1) ? <GEAR_FULL> ? 	
4	PERK_B	1	1	? HasGuildPerk(SHOP_SLOTS_BLACK_MARKET, 2) ? <GEAR_FULL> ? MERCHANT_SLOTS_PERK_UPSELL	
5	BADGE_CRATE_CHANCE	15	1	BADGE_CHEST_1X{PriceType=DIAMONDS}{Cost=0}	
6	BADGE_CRATE_CHANCE	85	1		
7	STONES	1	1	<STONE_NEED_CHANCE>,<STONE_OWNED_HEROES>,<STONE_RECENT>,<STONE_RECENT>	Shuffle & Try NoParamDups(ForGold)
8	STONE_NEED_CHANCE	1	1	<STONE_NEED> {PriceType=DIAMONDS}	
9	STONE_NEED_CHANCE	1	2 to 10	STONE_<ALL_HEROES> {PriceType=DIAMONDS}	PickRandom
10	STONE_OWNED_HEROES	1	2 to 10	STONE_<OWNED_HEROES> {PriceType=GOLD} {ForGold=TRUE}	PickRandom
11	STONE_OWNED_HEROES	1	2 to 10	STONE_<OWNED_HEROES> {PriceType=DIAMONDS}	PickRandom
12	STONE_NEED	1	2 to 10	STONE_<HERO_NEED>	
13	HERO_NEED	1	1	<HERO_NEED_INNER>, <HERO_NEED_FALLBACK>	NumOfItems(0,1)
14	HERO_NEED_INNER	1	1	<ALL_HEROES>	NeededHero(-1) & PickRandom
15	HERO_NEED_FALLBACK	1	1	<ALL_HEROES>	PickRandom
16	STONE_RECENT	1	2 to 10	STONE_<RECENT_HEROES> {PriceType=DIAMONDS}	PickRandom
17	RECENT_HEROES	1	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	RecentHeroes(12)
18	OWNED_HEROES	auto	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	RetainIf(YourHero)
19	ALL_HEROES	dynamic	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	RemoveIf(SpecificHeroes, VANELLOPE, RALPH, YAX, ELASTIGIRL, FROZONE)
20	HERO_ITEMS	1	1	<HERO_ITEM>,<HERO_ITEM>,<HERO_ITEM>,<HERO_ITEM>	Shuffle & Try NoDups
21	HERO_ITEM	1	1	? HasUnlockable(CHAPTER_21) ? <RED_SKILL_CHIPS> ? <MEMORY_DROPS>	
22	HERO_ITEM	1	1	<MEMORY_DROPS>	
23	RED_SKILL_CHIPS	1	50 to 100	<SKILL_CHIPS>	
24	SKILL_CHIPS	1	1	EPIC_CHIP_<PICK_HERO>{PriceType=DIAMONDS}	Try AllAre(AvailableItem)
25	PICK_HERO	1	1	<@RED_SKILL_HEROES>	RetainIf(YourHero) & PickRandom
26	MEMORY_DROPS	65	1	<MEMORY_SPECIFIC>	
27	MEMORY_DROPS	35	1	<MEMORIES>	
28	MEMORY_SPECIFIC	1	5 to 25	<MEMORY_DISK_UNLOCKED> {PriceType=DIAMONDS}	
29	MEMORY_DISK_UNLOCKED	1	1	<MEMORY_DISK_UNLOCKED_INNER>,<MEMORY_FALLBACK>,<RED_SKILL_CHIPS>	NumOfItems(0,1)
30	MEMORY_DISK_UNLOCKED_INNER	1	1	<ALL_MEMORIES>	RetainIf(UnlockedRealGear) & PickRandom
31	MEMORY_FALLBACK	1	1	<ALL_MEMORIES>	PickRandom
32	MEMORIES	1	5 to 25	<ALL_MEMORIES> {PriceType=DIAMONDS}	PickRandom
33	ALL_MEMORIES	1	1	<@AVAILABLE_REAL_GEAR_BITS>	RetainIf(NeededBit)
34	GEARS	1	1	<GEAR_BITS_G>,<GEAR_BITS_E>,<GEAR_FULL_SLOT_1>,<GEAR_FULL_SLOT_2>	
35	GEAR_BITS_G	1	1	<GEAR_SHARD_NEED>{PriceType=GOLD}	
