	ENEMY_LEVEL	ENEMY_RARITY	ENEMY_STARS	GEAR_JUICE_REWARD
1	1	WHITE	5	10
2	2	WHITE	5	15
3	3	WHITE	5	20
4	4	WHITE	5	25
5	5	WHITE	5	30
6	6	WHITE	5	36
7	7	WHITE	5	42
8	8	WHITE	5	48
9	9	WHITE	5	54
10	10	WHITE	5	60
10.6	5	GREEN	5	64
11.2	6	GREEN	5	67
11.8	7	GREEN	5	71
12.4	8	GREEN	5	74
13	9	GREEN	5	78
13.6	10	GREEN	5	82
14.2	11	GREEN	5	85
14.8	12	GREEN	5	89
15.4	13	GREEN	5	92
16	14	GREEN	5	96
16.6	15	GREEN	5	100
17.2	16	GREEN	5	103
17.8	17	GREEN	5	107
18.4	18	GREEN	5	110
19	19	GREEN	5	114
19.6	14	GREEN_1	5	118
20.2	15	GREEN_1	5	121
20.8	16	GREEN_1	5	125
21.4	17	GREEN_1	5	128
22	18	GREEN_1	5	132
22.6	19	GREEN_1	5	136
23.2	20	GREEN_1	5	139
23.8	21	GREEN_1	5	143
24.4	22	GREEN_1	5	146
25	23	GREEN_1	5	150
25.6	24	GREEN_1	5	154
26.2	25	GREEN_1	5	157
26.8	26	GREEN_1	5	161
27.4	27	GREEN_1	5	164
28	28	GREEN_1	5	168
28.6	23	BLUE	5	172
29.2	24	BLUE	5	175
29.8	25	BLUE	5	179
30.4	26	BLUE	5	182
31	27	BLUE	5	186
31.6	28	BLUE	5	190
32.2	29	BLUE	5	193
32.8	30	BLUE	5	197
33.4	31	BLUE	5	200
34	32	BLUE	5	204
34.6	33	BLUE	5	208
35.2	34	BLUE	5	211
35.8	35	BLUE	5	215
36.4	36	BLUE	5	218
37	37	BLUE	5	222
37.6	32	BLUE_1	5	226
38.2	33	BLUE_1	5	229
38.8	34	BLUE_1	5	233
39.4	35	BLUE_1	5	236
40	36	BLUE_1	5	240
40.6	37	BLUE_1	5	244
41.2	38	BLUE_1	5	247
41.8	39	BLUE_1	5	251
42.4	40	BLUE_1	5	254
43	41	BLUE_1	5	258
43.6	42	BLUE_1	5	262
44.2	43	BLUE_1	5	265
44.8	44	BLUE_1	5	269
45.4	45	BLUE_1	5	272
46	46	BLUE_1	5	276
46.6	41	BLUE_2	5	280
47.2	42	BLUE_2	5	283
47.8	43	BLUE_2	5	287
48.4	44	BLUE_2	5	290
49	45	BLUE_2	5	294
49.6	46	BLUE_2	5	298
50.2	47	BLUE_2	5	301
50.8	48	BLUE_2	5	305
51.4	49	BLUE_2	5	308
52	50	BLUE_2	5	312
52.6	51	BLUE_2	5	316
53.2	52	BLUE_2	5	319
53.8	53	BLUE_2	5	323
54.4	54	BLUE_2	5	326
55	55	BLUE_2	5	330
55.625	50	PURPLE	5	334
56.25	51	PURPLE	5	338
56.875	52	PURPLE	5	341
57.5	53	PURPLE	5	345
58.125	54	PURPLE	5	349
58.75	55	PURPLE	5	353
59.375	56	PURPLE	5	356
60	57	PURPLE	5	360
60.625	58	PURPLE	5	364
61.25	59	PURPLE	5	368
61.875	60	PURPLE	5	371
62.5	61	PURPLE	5	375
63.125	62	PURPLE	5	379
63.75	63	PURPLE	5	383
64.375	64	PURPLE	5	386
65	65	PURPLE	5	390
65.625	60	PURPLE_1	5	394
66.25	61	PURPLE_1	5	398
66.875	62	PURPLE_1	5	401
67.5	63	PURPLE_1	5	405
68.125	64	PURPLE_1	5	409
68.75	65	PURPLE_1	5	413
69.375	66	PURPLE_1	5	416
70	67	PURPLE_1	5	420
70.625	68	PURPLE_1	5	424
71.25	69	PURPLE_1	5	428
71.875	70	PURPLE_1	5	431
72.5	71	PURPLE_1	5	435
73.125	72	PURPLE_1	5	439
73.75	73	PURPLE_1	5	443
74.375	74	PURPLE_1	5	446
75	75	PURPLE_1	5	450
75.45454545	70	PURPLE_2	5	453
75.90909091	71	PURPLE_2	5	455
76.36363636	72	PURPLE_2	5	458
76.81818182	73	PURPLE_2	5	461
77.27272727	74	PURPLE_2	5	464
77.72727273	75	PURPLE_2	5	466
78.18181818	76	PURPLE_2	5	469
78.63636364	77	PURPLE_2	5	472
79.09090909	78	PURPLE_2	5	475
