	MIN_INFECTION_LEVEL	MAX_INFECTION_LEVEL
1	1	6
2	1	7
3	1	8
4	1	9
5	1	10
6	1	11
7	1	12
8	1	13
9	1	14
10	1	15
11	1	16
12	1	17
13	1	18
14	1	19
15	1	20
16	1	21
17	1	22
18	1	23
19	1	24
20	1	25
21	1	26
22	1	27
23	1	28
24	1	29
25	1	30
26	1	31
27	1	32
28	1	33
29	1	34
30	1	35
31	1	36
32	1	37
33	2	38
34	2	39
35	2	40
36	3	41
37	3	42
38	3	43
39	4	44
40	4	45
41	4	46
42	5	47
43	5	48
44	5	49
45	6	50
46	6	51
47	7	52
48	7	53
49	8	54
50	9	55
51	10	56
52	11	57
53	12	58
54	13	59
55	14	60
56	15	61
57	16	62
58	17	63
59	18	64
60	19	65
61	20	66
62	21	67
63	22	68
64	23	69
65	24	70
66	25	71
67	26	72
68	27	73
69	28	74
70	29	75
71	30	76
72	31	77
73	32	78
74	33	79
75	34	80
76	35	81
77	36	82
78	37	83
79	38	84
80	39	85
81	40	86
82	41	87
83	42	88
84	43	89
85	44	90
86	45	91
87	46	92
88	47	93
89	48	94
90	49	95
91	50	96
92	51	97
93	52	98
94	53	99
95	54	100
96	55	101
97	56	102
98	57	103
99	58	104
100	59	105
101	60	106
102	61	107
103	62	108
104	63	109
105	64	110
106	65	111
107	66	112
108	67	113
109	68	114
110	69	115
111	70	116
112	71	117
113	72	118
114	73	119
115	74	120
116	75	121
117	76	122
118	77	123
119	78	124
120	79	125
121	80	126
122	81	127
123	82	128
124	83	129
125	84	130
126	85	131
127	86	132
128	87	133
129	88	134
130	89	135
131	90	136
132	91	137
133	92	138
134	93	139
135	94	140
136	95	141
137	96	142
138	97	143
139	98	144
140	99	145
141	100	146
142	101	147
143	102	148
144	103	149
145	104	150
146	105	151
147	106	152
148	107	153
149	108	154
150	109	155
151	110	156
152	111	157
153	112	158
154	113	159
155	114	160
156	115	161
157	116	162
158	117	163
159	118	164
160	119	165
161	120	166
162	121	167
163	122	168
164	123	169
165	124	170
166	125	171
167	126	172
168	127	173
169	128	174
170	129	175
171	130	176
172	131	177
173	132	178
174	133	179
175	134	180
176	135	181
177	136	182
178	137	183
179	138	184
180	139	185
181	140	186
182	141	187
183	142	188
184	143	189
185	144	190
186	145	191
187	146	192
188	147	193
189	148	194
190	149	195
191	150	196
192	151	197
193	152	198
194	153	199
195	154	200
196	155	201
197	156	202
198	157	203
199	158	204
200	159	205
201	160	206
202	161	207
203	162	208
204	163	209
205	164	210
206	165	211
207	166	212
208	167	213
209	168	214
210	169	215
211	170	216
212	171	217
213	172	218
214	173	219
215	174	220
216	175	221
217	176	222
218	177	223
219	178	224
220	179	225
221	180	226
222	181	227
223	182	228
224	183	229
225	184	230
226	185	231
227	186	232
228	187	233
229	188	234
230	189	235
231	190	236
232	191	237
233	192	238
234	193	239
235	194	240
236	195	241
237	196	242
238	197	243
239	198	244
240	199	245
241	200	246
242	201	247
243	202	248
244	203	249
245	204	250
246	205	251
247	206	252
248	207	253
249	208	254
250	209	255
251	210	256
252	211	257
253	212	258
254	213	259
255	214	260
256	215	261
257	216	262
258	217	263
259	218	264
260	219	265
261	220	266
262	221	267
263	222	268
264	223	269
265	224	270
266	225	271
267	226	272
268	227	273
269	228	274
270	229	275
271	230	276
272	231	277
273	232	278
274	233	279
275	234	280
276	235	281
277	236	282
278	237	283
279	238	284
280	239	285
281	240	286
282	241	287
283	242	288
284	243	289
285	244	290
286	245	291
287	246	292
288	247	293
289	248	294
290	249	295
291	250	296
292	251	297
293	252	298
294	253	299
295	254	300
296	255	301
297	256	302
298	257	303
299	258	304
300	259	305
