	BOOK_ID	CONTENT_RELEASE	CATEGORY	DIFFICULTY	COST	DURATION	MAX_PROGRESS	IMPLEMENTATION_CLASS	IMPLEMENTATION_EXTRA	STARTER	TOKEN_REWARD
BEST_FRIENDS_FOREVER	ON_A_MISSION	R1	missions	Hard	300	7 d	100	CompleteMissionsChallenge			1500
BULLET_TRAIN	PICK_EM_CHALLENGES	R1	campaign	Hard	300	3 d	750	CampaignRaidChallenge			1500
LIEUTENANTS_BADGE	CITY_PATROL	R1	city watch	Hard	300	7 d	220	ExpeditionStarsChallenge	minDifficulty=2		1500
TO_CATCH_A_STAR	STARTER_CHALLENGES	R1	campaign	Medium	100	7 d	7	CampaignStarsChallenge	minStars=3, chapter=4, campaignType=NORMAL, majorOnly=true	1	500
POWERLINE	SURGE_OF_POWER	R1	creep surge 	Hard	300	1 d	250000	DefeatPowerInSurgeChallenge	includeLostBattles=true		1500
DAMAGE_SCHMAMAGE	THE_ULTIMATE_CHALLENGE	R1	trials	Hard	300	3 d	3	TeamTrialsCompletionChallenge	minDifficulty=3, minStars=3, withoutHeroRole=DPS		1500
DANCES_WITH_MERCS	SURGE_OF_POWER	R1	creep surge 	Hard	200	1 d	10	WinSurgeFightsWithRealGearMercChallenge			1000
DEFEATED	PICK_EM_CHALLENGES	R1	campaign	Easy	100	7 d	5000	DefeatEnemiesChallenge	includeLostBattles=true, excludeInvasion=true		500
DISTRICT_DEFENDER	SURGE_OF_POWER	R1	creep surge 	Easy	100	2 d	4	CompleteSurgeRegionsChallenge			500
EVOLUTIONARY_SCIENCE	THE_ULTIMATE_CHALLENGE	R1	heroes	Easy	100	1 d	5	EvolveHeroesChallenge			500
FIST_BUMP	PICK_EM_CHALLENGES	R1	campaign	Hard	300	3 d	30	WinFightsChallenge	gameMode=FRIEND_CAMPAIGN		1500
GETTING_THE_JOB_DONE	PICK_EM_CHALLENGES	R1	daily quests	Medium	200	7 d	100	CompleteQuestsChallenge	requiredType=DAILY_QUEST		1000
GOOD_TIMES	ON_A_MISSION	R1	friends	Hard	200	7 d	20	MissionMemoriesChallenge			1000
GROUP_EFFORT	ON_A_MISSION	R1	friends	Medium	200	1 d	25	CompleteMissionsChallenge			1000
KNOCK_OUT	SURGE_OF_POWER	R1	creep surge 	Medium	200	7 d	50	WinFightsChallenge	gameMode=SURGE		1000
CAPTAINS_BADGE	CITY_PATROL	R1	city watch	Easy	100	7 d	220	ExpeditionStarsChallenge			500
WITH_NO_BACKUP	CITY_PATROL	R1	city watch	Medium	200	1 d	15	SingleExpeditionChallenge	withoutHeroRole=TANK		1000
OVERCAFFEINATED	PICK_EM_CHALLENGES	R1	heroes	Easy	100	7 d	1000	UseXPDrinkChallenge			500
SO_MUCH_POWER	ON_A_MISSION	R1	campaign	Easy	200	7 d	20000	EarnResourceChallenge	resource=GEAR_JUICE		1000
POWERED_BY_DONUTS	CITY_PATROL	R1	city watch	Hard	200	1 d	15	SingleExpeditionChallenge	requireSameMercPerExpedition=true, minDifficulty=2		1000
PURE_SORCERY	PICK_EM_CHALLENGES	R1	enhancement	Hard	300	7 d	7	EnchantItemsDailyChallenge	minItemRarity=PURPLE, maxItemRarity=PURPLE		1500
RIDE_THE_FERRIS_WHEEL	STARTER_CHALLENGES	R1	daily quests	Easy	100	4 d	3	DailySignInChallenge		3	500
SHARE_THE_LOVE	ON_A_MISSION	R1	missions	Hard	100	1 d	1	EarnRealGearChallenge			500
SHOPPING_SPREE	THE_ULTIMATE_CHALLENGE	R1	shops	Medium	200	7 d	25000	EarnMerchantTokensChallenge			1000
SKELETON_KEY	PICK_EM_CHALLENGES	R1	crates	Easy	100	7 d	150	OpenChestsChallenge			500
SKILLMASTER_5000	PICK_EM_CHALLENGES	R1	heroes	Medium	200	1 d	50	UpgradeSkillsChallenge	requireUniqueSkills=true		1000
SOCIAL_BUTTERFLY	STARTER_CHALLENGES	R1	chat	Easy	100	1 d	5	ChatChallenge	chatRoom=PERSONAL_MESSAGE, friend=true, unique=true, receive=true	4	500
STAR_CATCHER	PICK_EM_CHALLENGES	R1	campaign	Medium	200	7 d	7	CampaignStarsChallenge	minStars=3, campaignType=ELITE, chapter=6, maxRarity=BLUE_2		1000
CONSTELLATION_OF_STARS	THE_ULTIMATE_CHALLENGE	R1	city watch	Hard	200	2 d	90	ExpeditionStarsChallenge	minStarsPerExpedition=45		1000
TANKS_FOR_NUTHIN	PICK_EM_CHALLENGES	R1	trials	Medium	200	3 d	3	TeamTrialsCompletionChallenge	minDifficulty=3, withoutHeroRole=TANK		1000
