	GOLD_CREDITS	SAPPHIRE_CREDITS	MEDIUM_XP	VERY_LARGE_XP	PURPLE_GEAR	ORANGE_GEAR
0	0	0	0	0	0	0
1	1	0	0	0	0	0
2	2	0	0	0	0	0
3	3	0	0	0	0	0
4	4	0	0	0	0	0
5	5	0	0	0	0	0
6	6	0	0	0	0	0
7	7	0	0	0	0	0
8	8	0	0	0	0	0
9	9	0	0	0	0	0
10	0	1	0	0	0	0
11	0	1	1	0	0	0
12	0	1	2	0	0	0
13	0	1	3	0	0	0
14	0	1	4	0	0	0
15	0	1	0	1	0	0
16	0	1	0	1	1	0
17	0	1	0	1	2	0
18	0	1	0	1	3	0
19	0	1	0	1	4	0
20	0	1	0	1	5	0
21	1	1	0	1	5	0
22	2	1	0	1	5	0
23	3	1	0	1	5	0
24	4	1	0	1	5	0
25	5	1	0	1	5	0
26	6	1	0	1	5	0
27	7	1	0	1	5	0
28	8	1	0	1	5	0
29	9	1	0	1	5	0
30	0	2	0	1	5	0
31	0	2	1	1	5	0
32	0	2	2	1	5	0
33	0	2	3	1	5	0
34	0	2	4	1	5	0
35	0	2	0	2	5	0
36	0	2	0	2	6	0
37	0	2	0	2	7	0
38	0	2	0	2	8	0
39	0	2	0	2	9	0
40	0	2	0	2	10	0
