	DAMAGE_NEEDED	MEGABITS	BONUS_MEGABITS	EXTRA_TIME
0	0	0	0	0
1	40,000,000	20	0	5
2	80,000,000	3	0	5
3	120,000,000	3	0	5
4	160,000,000	5	0	5
5	200,000,000	10	0	15
6	240,000,000	3	0	5
7	280,000,000	3	0	5
8	320,000,000	3	0	5
9	360,000,000	5	0	5
10	400,000,000	15	0	15
11	440,000,000	3	0	5
12	480,000,000	3	0	5
13	520,000,000	3	0	5
14	560,000,000	5	0	5
15	600,000,000	20	0	15
16	640,000,000	3	0	5
17	680,000,000	3	0	5
18	720,000,000	3	0	5
19	760,000,000	5	0	5
20	800,000,000	50	0	15
21	840,000,000	3	0	5
22	880,000,000	3	0	5
23	920,000,000	3	0	5
24	960,000,000	5	0	5
25	1,000,000,000	75	0	15
26	1,040,000,000	3	0	5
27	1,080,000,000	3	0	5
28	1,120,000,000	3	0	5
29	1,160,000,000	5	0	5
30	1,200,000,000	90	0	15
