	TIER	DIVISION	MIN_POS	MAX_POS	DIAMONDS	GOLD	TOKENS	ITEM_REWARDS
>	CHALLENGER	0	1	1	500	0	800	10 EXP_ULTRA,2 EXP_DECANTER
>	CHALLENGER	0	2	2	450	0	775	7 EXP_ULTRA,4 EXP_NITRO,1 EXP_DECANTER,2 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	0	3	3	400	0	750	5 EXP_ULTRA,5 EXP_NITRO,1 EXP_DECANTER,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	0	4	5	350	0	725	4 EXP_ULTRA,1 EXP_NITRO,4 EXP_DECANTER,3 EXP_VIAL
>	CHALLENGER	0	6	10	300	0	700	3 EXP_ULTRA,1 EXP_NITRO,2 EXP_DECANTER,1 EXP_VIAL
>	CHALLENGER	0	11	1000	250	0	650	1 EXP_ULTRA,6 EXP_NITRO,1 EXP_DECANTER,2 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	1	1	1	1000	0	1600	3215 EXP_ULTRA,2 EXP_NITRO,3 EXP_DECANTER,1 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	1	2	2	950	0	1500	3054 EXP_ULTRA,4 EXP_NITRO,2 EXP_DECANTER,3 EXP_VIAL,1 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	1	3	3	900	0	1400	2901 EXP_ULTRA,6 EXP_NITRO,3 EXP_DECANTER,1 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	1	4	5	850	0	1300	2756 EXP_ULTRA,5 EXP_NITRO,4 EXP_DECANTER,1 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	1	6	10	800	0	1250	2618 EXP_ULTRA,7 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	1	11	20	750	0	1200	2487 EXP_ULTRA,7 EXP_NITRO,3 EXP_DECANTER,3 EXP_VIAL,1 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	1	21	1000	700	0	1150	2245 EXP_ULTRA,3 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	2	1	1	700	0	1150	2133 EXP_ULTRA,1 EXP_NITRO,1 EXP_VIAL
>	CHALLENGER	2	2	2	675	0	1100	2026 EXP_ULTRA,3 EXP_NITRO,3 EXP_DECANTER
>	CHALLENGER	2	3	3	650	0	1075	1925 EXP_ULTRA,1 EXP_NITRO,1 EXP_VIAL
>	CHALLENGER	2	4	5	625	0	1050	1828 EXP_ULTRA,6 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	2	6	10	600	0	1025	1737 EXP_ULTRA,3 EXP_NITRO,2 EXP_DECANTER,1 EXP_VIAL
>	CHALLENGER	2	11	20	575	0	1000	1650 EXP_ULTRA,4 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	2	21	1000	550	0	980	1489 EXP_ULTRA,5 EXP_NITRO
>	CHALLENGER	3	1	1	550	0	980	1415 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	3	2	2	525	0	930	1344 EXP_ULTRA,3 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	3	3	3	500	0	880	1277 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	3	4	5	475	0	840	1213 EXP_ULTRA,2 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	3	6	10	450	0	815	1152 EXP_ULTRA,5 EXP_NITRO,1 EXP_VIAL
>	CHALLENGER	3	11	20	425	0	790	1095 EXP_ULTRA
>	CHALLENGER	3	21	1000	400	0	775	988 EXP_ULTRA,2 EXP_NITRO,3 EXP_VIAL
>	CHALLENGER	4	1	1	400	0	775	938 EXP_ULTRA,6 EXP_NITRO,4 EXP_DECANTER,3 EXP_VIAL
>	CHALLENGER	4	2	2	375	0	725	891 EXP_ULTRA,7 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	4	3	3	360	0	700	847 EXP_ULTRA,2 EXP_NITRO,3 EXP_DECANTER
>	CHALLENGER	4	4	5	345	0	680	804 EXP_ULTRA,7 EXP_NITRO,3 EXP_DECANTER
>	CHALLENGER	4	6	10	330	0	665	764 EXP_ULTRA,5 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	4	11	20	315	0	655	726 EXP_ULTRA,4 EXP_NITRO
>	CHALLENGER	4	21	1000	300	0	645	655 EXP_ULTRA,5 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	5	1	1	300	0	645	622 EXP_ULTRA,7 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	5	2	2	290	0	635	591 EXP_ULTRA,6 EXP_NITRO,3 EXP_VIAL
>	CHALLENGER	5	3	3	280	0	630	562 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	5	4	5	270	0	625	534 EXP_ULTRA,2 EXP_DECANTER
>	CHALLENGER	5	6	10	260	0	620	507 EXP_ULTRA,2 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	5	11	20	255	0	615	482 EXP_ULTRA
>	CHALLENGER	5	21	1000	250	0	610	435 EXP_ULTRA
>	CHALLENGER	6	1	1	250	0	610	413 EXP_ULTRA,2 EXP_NITRO
>	CHALLENGER	6	2	2	240	0	605	392 EXP_ULTRA,4 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	6	3	3	230	0	600	372 EXP_ULTRA,7 EXP_NITRO,3 EXP_DECANTER,3 EXP_VIAL,1 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	6	4	5	220	0	595	354 EXP_ULTRA,2 EXP_NITRO,3 EXP_DECANTER,1 EXP_VIAL
>	CHALLENGER	6	6	10	210	0	590	336 EXP_ULTRA,5 EXP_NITRO
>	CHALLENGER	6	11	20	205	0	585	319 EXP_ULTRA,6 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	6	21	1000	200	0	580	288 EXP_ULTRA,4 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	7	1	1	200	0	580	274 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER,3 EXP_VIAL,1 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	7	2	2	190	0	575	260 EXP_ULTRA,3 EXP_NITRO,3 EXP_DECANTER,3 EXP_VIAL,1 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	7	3	3	180	0	570	247 EXP_ULTRA,3 EXP_NITRO,2 EXP_DECANTER,1 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
