	COMBAT_MODIFIER	HERO_LIST	MAX_LEVEL	HEROES_L1	HEROES_L2	HEROES_L3	HEROES_L4	DIAMONDS	HERO_XP	GOLD	STAMINA	TOKENS	AVATAR_UNLOCK_LEVEL	AVATAR_ITEM
TANK	TANK	RALPH, FELIX, CHIEF_BOGO, MR_INCREDIBLE, REX, SULLEY, MAUI, BAYMAX, HADES, SALLY, SHANK, OLAF, QUEEN_OF_HEARTS, HERCULES, GOOFY, BO_PEEP, GONZO, OOGIE_BOOGIE, GERALD_MARLIN_NEMO, WINNIE_THE_POOH, EEYORE, GOLIATH, BALOO, MAXIMUS, SLINKY_DOG, SADNESS, JOHN_SILVER, SWEDISH_CHEF, CLAWHAUSER, BARLEY_LIGHTFOOT, CARL, SHERIFF_OF_NOTTINGHAM, FRED_FREDERICKSON, PACHA, PRINCE_PHILLIP, MEILIN_LEE, QUASIMODO, PHOEBUS, LITTLE_JOHN, CHEF_SKINNER, SWEETUMS, JAKE_LONG, DANTE, EDA_CLAWTHORNE, HEIMLICH, RATIGAN, MUFASA, LUISA_MADRIGAL, WADE_RIPPLE, REPTILLUS_MAXIMUS, EDNA_MODE, PHINEAS, EMBARRASSMENT, DARWIN, PINOCCHIO, MATER, CAPTAIN_GRIME, SCUTTLE	3	3	6	9	12	S*C	S*C	S*C	S*C	lookup(level-1, 3, 5, 7, 9)*S*C	8	COLLECTION_AVATAR_TANK
DAMAGE	DAMAGE	CALHOUN, VANELLOPE, NICK_WILDE, ELASTIGIRL, DASH, JACK_JACK, BUZZ, EMPEROR_ZURG, JESSIE, MIKE, EVE, JACK_SPARROW, HECTOR_BARBOSSA, QUORRA, MERIDA, STITCH, MOANA, ALADDIN, SCAR, JACK_SKELLINGTON, ELSA, DARKWING_DUCK, ROBIN_HOOD, DUKE_CABOOM, DUCKY_AND_BUNNY, ANGER, BEAST, SIMBA_AND_NALA, PETER_PAN, MISS_PIGGY, MADAM_MIM, MEGAVOLT, RANDALL_BOGGS, SCROOGE_MCDUCK, KIDA, TIGGER, KIM_POSSIBLE, BELLE, EVIL_QUEEN, MULAN, MUSHU, SHAN_YU, KING_LOUIE, PLEAKLEY, CAPTAIN_AMELIA, MANTICORE, BUNSEN_AND_BEAKER, HAMM, WASABI, ROCKETEER, DEMONA, SHEGO, RON_STOPPABLE, GO_GO, VINNY_SANTORINI, GADGET_HACKWRENCH, HELGA, BOLT, ZEUS, RAYA, HOPPER, PETE, THE_UNDERMINER, DAISY_DUCK, DUFF_KILLIGAN, AUDREY_RAMIREZ, MOTHER_GOTHEL, AGENT_P, MONKEY_FIST, COGSWORTH_AND_LUMIERE, NEGADUCK, PEGASUS, ROSE, SHERE_KHAN, MAX_GOOF, ISABELA_MADRIGAL, FRANNY_ROBINSON, CHICKEN_LITTLE, ELIZABETH_SWANN, EMBER_LUMEN, ANNE_BOONCHUY, LADY_TREMAINE, CARL_THE_ROBOT, ENVY, SCAT_CAT, ABBY_MALLARD, HEADLESS_HORSEMAN, ERNESTO_DE_LA_CRUZ, LIGHTNING_MCQUEEN, HANS	3	5	10	15	20	S*C	S*C	S*C	S*C	lookup(level-1, 4, 6, 8, 10)*S*C	8	COLLECTION_AVATAR_DAMAGE
SUPPORT	SUPPORT	JUDY_HOPPS, YAX, VIOLET, WOODY, KEVIN_FLYNN, MIGUEL, MICKEY_MOUSE, ALICE, MEGARA, JOY, RAFIKI, TIMON_AND_PUMBAA, ANIMAL, GIZMODUCK, LAUNCHPAD_MCQUACK, RAPUNZEL, LINGUINI_AND_REMY, TRON, KRISTOFF_AND_SVEN, LI_SHANG, KRONK, FEAR, JIM_HAWKINS, KERMIT, FAIRY_GODMOTHER, RUSSELL_AND_KEVIN, ESMERALDA, ARIEL, PHIL, CHIP_AND_DALE, SISU, FLIK, BAGHEERA, MILO_THATCH, THE_MAYOR, MAYOR_BELLWETHER, TIANA, MIRABEL_MADRIGAL, BRUNO_MADRIGAL, MAMA_ODIE, JOE_GARDNER, PENNY_PROUD, ANXIETY, DUCHESS, REUBEN, SIMEA, GISELLE, AMITY_BLIGHT, GAZELLE, PIGLET, BAMBI, KING_CANDY, MOWGLI	3	3	6	9		S*C	S*C	S*C	S*C	lookup(level-1, 5, 7)*S*C	8	COLLECTION_AVATAR_SUPPORT
CONTROL	CONTROL	FINNICK, FROZONE, WALL_E, TIA_DALMA, GENIE, HIRO, MALEFICENT, URSULA, GASTON, MAD_HATTER, MERLIN, JAFAR, JASMINE, HUEY_DEWEY_LOUIE, YZMA, CAPTAIN_HOOK, DONALD_DUCK, COLETTE, FLYNN_RIDER, MAGICA_DE_SPELL, HANK_AND_DORY, POWERLINE, DR_FACILIER, SYNDROME, DAVY_JONES, MINNIE_MOUSE, BASIL, CHESHIRE_CAT, JUMBA, ANGEL, LOCK_SHOCK_BARREL, IAN_LIGHTFOOT, DISGUST, HONEY_LEMON, DR_DRAKKEN, MR_BIG_AND_KOSLOV, POCAHONTAS, FOZZIE, QUACKERJACK, LILO, WINIFRED_SANDERSON, SARAH_SANDERSON, MARY_SANDERSON, ANNA, KING_TRITON, KAA, NAMAARI, THE_HORNED_KING, SNOW_WHITE, VOYD, PRINCESS_AURORA, TWENTY_TWO, CINDERELLA, LUCA_AND_ALBERTO, STATLER_AND_WALDORF, FLASH, ABU, BOWLER_HAT_GUY, KUZCO, LUZ_NOCEDA, DR_DOOFENSHMIRTZ, MCLEACH, CRUELLA, LADY_AND_TRAMP, FERB, CHERNABOG, HUNTSMAN, SUGA_MAMA, THOMAS_O_MALLEY, ISABELLA_SHAPIRO, LILITH_CLAWTHORNE, GANTU, CANDACE_FLYNN, DR_CALICO, YEN_SID, HECTOR_RIVERA, ENNUI, MARIE, PONGO, LOTSO, YOKAI, MOLLY_MCGEE, DUMBO, BENJAMIN_FRANKLIN_GATES	3	3	6	9		S*C	S*C	S*C	S*C	lookup(level-1, 3, 6, 9)*S*C	8	COLLECTION_AVATAR_CONTROL
ZOOTOPIA	ZOOTOPIA	JUDY_HOPPS, NICK_WILDE, FINNICK, CHIEF_BOGO, YAX, CLAWHAUSER, MR_BIG_AND_KOSLOV, MAYOR_BELLWETHER, FLASH, GAZELLE	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 5, 7, 9)*S*C	8	COLLECTION_AVATAR_ZOOTOPIA
INCREDIBLES	INCREDIBLES	MR_INCREDIBLE, ELASTIGIRL, DASH, FROZONE, JACK_JACK, VIOLET, SYNDROME, THE_UNDERMINER, VOYD, EDNA_MODE	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 5, 7, 9, 11)*S*C	8	COLLECTION_AVATAR_INCREDIBLES
TOY_STORY	TOY_STORY	BUZZ, WOODY, REX, EMPEROR_ZURG, JESSIE, DUKE_CABOOM, DUCKY_AND_BUNNY, BO_PEEP, SLINKY_DOG, HAMM, REPTILLUS_MAXIMUS, LOTSO	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 5, 7, 9)*S*C	8	COLLECTION_AVATAR_TOY_STORY
ALICE_IN_WONDERLAND	ALICE_IN_WONDERLAND	MAD_HATTER, QUEEN_OF_HEARTS, ALICE, CHESHIRE_CAT	1	3				S*C	S*C	S*C	S*C	10*S*C	8	COLLECTION_AVATAR_ALICE_IN_WONDERLAND
STUN	STUN	RALPH, FELIX, FINNICK, CHIEF_BOGO, MR_INCREDIBLE, ELASTIGIRL, DASH, JACK_JACK, BUZZ, MIKE, EVE, STITCH, MIGUEL, GENIE, HIRO, MALEFICENT, URSULA, JACK_SKELLINGTON, DARKWING_DUCK, GASTON, QUEEN_OF_HEARTS, HERCULES, ROBIN_HOOD, RAFIKI, JASMINE, MISS_PIGGY, HUEY_DEWEY_LOUIE, GONZO, YZMA, MADAM_MIM, MEGAVOLT, LAUNCHPAD_MCQUACK, RAPUNZEL, TRON, COLETTE, MAGICA_DE_SPELL, HANK_AND_DORY, DR_FACILIER, TIGGER, KIM_POSSIBLE, EVIL_QUEEN, SYNDROME, DAVY_JONES, SHAN_YU, CHESHIRE_CAT, JUMBA, MAXIMUS, LOCK_SHOCK_BARREL, MANTICORE, FEAR, JOHN_SILVER, WASABI, BARLEY_LIGHTFOOT, FAIRY_GODMOTHER, POCAHONTAS, FOZZIE, CARL, RON_STOPPABLE, VINNY_SANTORINI, GADGET_HACKWRENCH, HELGA, BOLT, ZEUS, PHIL, WINIFRED_SANDERSON, CHIP_AND_DALE, RAYA, ANNA, KING_TRITON, HOPPER, PETE, NAMAARI, DAISY_DUCK, VOYD, PACHA, MILO_THATCH, DUFF_KILLIGAN, AUDREY_RAMIREZ, AGENT_P, TWENTY_TWO, MEILIN_LEE, THE_MAYOR, CINDERELLA, LUCA_AND_ALBERTO, PHOEBUS, LITTLE_JOHN, FLASH, SWEETUMS, ABU, COGSWORTH_AND_LUMIERE, PEGASUS, MCLEACH, CRUELLA, BRUNO_MADRIGAL, ISABELA_MADRIGAL, LADY_AND_TRAMP, MAMA_ODIE, CHICKEN_LITTLE, ELIZABETH_SWANN, FERB, LUISA_MADRIGAL, EMBER_LUMEN, ANNE_BOONCHUY, HUNTSMAN, REPTILLUS_MAXIMUS, THOMAS_O_MALLEY, ISABELLA_SHAPIRO, LILITH_CLAWTHORNE, DR_CALICO, PHINEAS, CARL_THE_ROBOT, EMBARRASSMENT, SCAT_CAT, ABBY_MALLARD, HEADLESS_HORSEMAN, ENNUI, MARIE, LIGHTNING_MCQUEEN, PONGO, YOKAI, CAPTAIN_GRIME, BENJAMIN_FRANKLIN_GATES	3	3	5	10	15	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 7, 9)*S*C	8	COLLECTION_AVATAR_STUN
CHARM	CHARM	NICK_WILDE, WOODY, TIA_DALMA, GASTON, MAD_HATTER, MEGARA, JAFAR, SIMBA_AND_NALA, MISS_PIGGY, MINNIE_MOUSE, BALOO, ANGEL, LOCK_SHOCK_BARREL, DR_DRAKKEN, WINIFRED_SANDERSON, MARY_SANDERSON, KAA, SNOW_WHITE, TWENTY_TWO, THE_MAYOR, MAYOR_BELLWETHER, ABU, BOWLER_HAT_GUY, DANTE, DR_DOOFENSHMIRTZ, CRUELLA, MIRABEL_MADRIGAL, MAMA_ODIE, RATIGAN, THOMAS_O_MALLEY, GANTU, PHINEAS, DUCHESS, GISELLE, GAZELLE, LIGHTNING_MCQUEEN, HANS, LOTSO	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_CHARM
