	X	DURATION
WARD_INCREASE_HP	100	
WARD_INCREASE_DAMAGE	100	
WARD_INCREASE_SP	100	
WARD_INCREASE_ARMOR	700	
WARD_INCREASE_REALITY	700	
WARD_DECREASE_ATTACK_SPEED	50	
WARD_DECREASE_SP	75	
WARD_DECREASE_HEALING	75	
WARD_TANKS_EXTRA_DAMAGE	100	
WARD_DPS_LESS_DAMAGE	75	
WARD_SUPPORT_LESS_ENERGY	75	
WARD_IMMUNE_TO_DISABLES	1	
WARD_SHIELDED	4000	10 s
MASSIVE_DAMAGE	400	
ITEM_ENERGY_REGEN	10	
ITEM_SHIELD	500	10 s
ITEM_SLOW	30	20 s
ITEM_ARMOR_SHRED	50	
ITEM_REALITY_SHRED	50	
ITEM_INVINCIBILITY	1	10 s
ITEM_HEX	4	10 s
TANK	1	
DAMAGE	0.4	
SUPPORT	4	
CONTROL	0.002	
ZOOTOPIA	1	
INCREDIBLES	1	
TOY_STORY	1	
ALICE_IN_WONDERLAND	2.25	1 s
STUN	0.5	
CHARM	1	
SHIELDS	0.75	
WRECK_IT_RALPH	2.5	
HEALERS	0.4	
DUCKTALES	0.004	
PRINCESS	1	
INSIDE_OUT	15	
MUPPETS	0.1	
BIG_HERO_SIX	0.5	20 s
FROZEN	0.5	
LILO_AND_STITCH	1	
MICKEY_AND_FRIENDS	1	
HERCULES	1	
ATLANTIS	0.5	10 s
TANGLED	2	5 s
NIGHTMARE_BEFORE_CHRISTMAS	0.5	5 s
KIM_POSSIBLE	1	2 s
MULAN	2	10 s
