	02/07/2023	02/01/2023	01/31/2023	01/24/2023	01/10/2023	01/04/2023	01/01/2023	12/31/2022	12/13/2022	12/01/2022	11/30/2022	11/22/2022	11/15/2022	11/01/2022	10/18/2022	10/11/2022	10/01/2022	09/30/2022	09/19/2022	09/01/2022	08/31/2022	08/30/2022	08/16/2022	08/09/2022	08/01/2022	07/31/2022	07/19/2022	07/12/2022	07/01/2022	06/30/2022	06/28/2022	06/27/2022	06/21/2022	06/07/2022	06/01/2022	05/31/2022	05/24/2022	05/17/2022	05/01/2022	04/30/2022	04/26/2022	04/05/2022	04/01/2022	03/31/2022	03/29/2022	03/15/2022	03/01/2022	02/28/2022	02/22/2022	02/01/2022	01/31/2022	01/11/2022	01/04/2022	01/01/2022	12/31/2021	12/22/2021	12/07/2021	12/01/2021	11/30/2021	11/11/2021	11/09/2021	11/01/2021	10/31/2021	10/19/2021	10/12/2021	10/01/2021	09/30/2021	09/28/2021	09/14/2021	09/08/2021	09/01/2021	08/31/2021	08/17/2021	08/01/2021	07/31/2021	07/27/2021	07/20/2021	07/06/2021	07/01/2021	06/30/2021	06/22/2021	06/01/2021	05/31/2021	05/25/2021	05/04/2021	05/01/2021	04/30/2021	04/27/2021	04/13/2021	04/01/2021	03/31/2021	03/30/2021	03/26/2021	03/23/2021	03/02/2021	03/01/2021	02/28/2021	02/09/2021	02/02/2021	02/01/2021	01/31/2021	01/19/2021	01/05/2021	01/01/2021	12/31/2020	12/08/2020	12/01/2020	11/30/2020	11/17/2020	11/10/2020	11/01/2020	10/31/2020	10/27/2020	10/13/2020	10/06/2020	10/01/2020	09/30/2020	09/08/2020	09/01/2020	08/31/2020	08/25/2020	08/18/2020	08/04/2020	08/01/2020	07/31/2020	07/29/2020	07/21/2020	07/14/2020	07/01/2020	06/30/2020	06/23/2020	06/09/2020	06/01/2020	05/31/2020	05/26/2020	05/18/2020	05/12/2020	05/01/2020	04/30/2020	04/28/2020	04/21/2020	04/01/2020	03/31/2020	03/23/2020	03/10/2020	03/03/2020	03/01/2020	02/29/2020	02/25/2020	02/18/2020	02/04/2020	02/01/2020	01/31/2020	01/21/2020	01/07/2020	01/01/2020	12/31/2019	12/17/2019	12/03/2019	12/01/2019	11/30/2019	11/20/2019	11/12/2019	11/01/2019	10/29/2019	10/23/2019	10/02/2019	10/01/2019	08/21/2019
Release	R49	R48	R48	R48	R48	R47	R47	R47	R47	R46	R46	R46	R46	R45	R45	R44	R44	R44	R44	R43	R43	R43	R43	R42	R42	R42	R42	R41	R41	R41	R41	R41	R41	R40	R40	R40	R40	R39	R39	R39	R39	R38	R38	R38	R38	R37	R37	R36	R36	R36	R35	R35	R35	R34	R34	R34	R34	R32	R32	R32	R32	R31	R31	R31	R31	R30	R30	R30	R30	R29	R29	R29	R29	R28	R28	R28	R28	R27	R27	R27	R27	R26	R26	R26	R25	R25	R25	R25	R24	R24	R24	R24	R23	R23	R23	R22	R22	R22	R22	R21	R21	R21	R21	R20	R20	R20	R19	R19	R19	R19	R18	R18	R18	R18	R17	R17	R17	R17	R17	R17	R17	R17	R16	R16	R16	R16	R16	R15	R15	R15	R15	R14	R14	R14	R14	R13	R13	R13	R13	R13	R12	R12	R12	R11	R11	R11	R10	R10	R10	R10	R10	R9	R9	R9	R9	R8	R8	R8	R8	R7	R7	R7	R7	R7	R7	R6	R6	R5	R5
Max Chapter	54	53	53	53	53	52	52	52	52	51	51	51	51	50	50	49	49	49	49	48	48	48	48	47	47	47	47	46	46	46	46	46	46	45	45	45	45	44	44	44	44	43	43	43	43	42	42	41	41	41	40	40	40	39	39	39	39	37	37	37	37	36	36	36	36	35	35	35	35	34	34	34	34	33	33	33	33	32	32	32	32	31	31	31	30	30	30	30	29	29	29	29	28	28	28	27	27	27	27	26	26	26	26	25	25	25	24	24	24	24	23	23	23	23	22	22	22	22	22	22	22	22	21	21	21	21	21	20	20	20	20	19	19	19	19	18	18	18	18	18	17	17	17	16	16	16	15	15	15	15	15	14	14	14	14	13	13	13	13	12	12	12	12	12	12	11	11	10	10
Max TL	300	295	295	295	295	290	290	290	290	285	285	285	285	280	280	275	275	275	275	270	270	270	270	265	265	265	265	260	260	260	260	260	260	255	255	255	255	250	250	250	250	245	245	245	245	240	240	235	235	235	230	230	230	225	225	225	225	215	215	215	215	210	210	210	210	205	205	205	205	200	200	200	200	195	195	195	195	190	190	190	190	185	185	185	180	180	180	180	175	175	175	175	170	170	170	165	165	165	165	160	160	160	160	155	155	155	150	150	150	150	145	145	145	145	140	140	140	140	140	140	140	140	135	135	135	135	135	130	130	130	130	125	125	125	125	120	120	120	120	120	115	115	115	110	110	110	105	105	105	105	105	100	100	100	100	95	95	95	95	90	90	90	90	90	90	85	85	80	80
Max GL	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3
Max Rarity	YELLOW_13	YELLOW_12	YELLOW_12	YELLOW_12	YELLOW_12	YELLOW_11	YELLOW_11	YELLOW_11	YELLOW_11	YELLOW_10	YELLOW_10	YELLOW_10	YELLOW_10	YELLOW_9	YELLOW_9	YELLOW_8	YELLOW_8	YELLOW_8	YELLOW_8	YELLOW_7	YELLOW_7	YELLOW_7	YELLOW_7	YELLOW_6	YELLOW_6	YELLOW_6	YELLOW_6	YELLOW_5	YELLOW_5	YELLOW_5	YELLOW_5	YELLOW_5	YELLOW_5	YELLOW_4	YELLOW_4	YELLOW_4	YELLOW_4	YELLOW_3	YELLOW_3	YELLOW_3	YELLOW_3	YELLOW_2	YELLOW_2	YELLOW_2	YELLOW_2	YELLOW_1	YELLOW_1	YELLOW	YELLOW	YELLOW	RED_19	RED_19	RED_19	RED_18	RED_18	RED_18	RED_18	RED_16	RED_16	RED_16	RED_16	RED_15	RED_15	RED_15	RED_15	RED_14	RED_14	RED_14	RED_14	RED_13	RED_13	RED_13	RED_13	RED_12	RED_12	RED_12	RED_12	RED_11	RED_11	RED_11	RED_11	RED_10	RED_10	RED_10	RED_9	RED_9	RED_9	RED_9	RED_8	RED_8	RED_8	RED_8	RED_7	RED_7	RED_7	RED_6	RED_6	RED_6	RED_6	RED_5	RED_5	RED_5	RED_5	RED_4	RED_4	RED_4	RED_3	RED_3	RED_3	RED_3	RED_2	RED_2	RED_2	RED_2	RED_1	RED_1	RED_1	RED_1	RED_1	RED_1	RED_1	RED_1	RED	RED	RED	RED	RED	ORANGE_8	ORANGE_8	ORANGE_8	ORANGE_8	ORANGE_7	ORANGE_7	ORANGE_7	ORANGE_7	ORANGE_6	ORANGE_6	ORANGE_6	ORANGE_6	ORANGE_6	ORANGE_5	ORANGE_5	ORANGE_5	ORANGE_4	ORANGE_4	ORANGE_4	ORANGE_3	ORANGE_3	ORANGE_3	ORANGE_3	ORANGE_3	ORANGE_2	ORANGE_2	ORANGE_2	ORANGE_2	ORANGE_1	ORANGE_1	ORANGE_1	ORANGE_1	ORANGE	ORANGE	ORANGE	ORANGE	ORANGE	ORANGE	PURPLE_4	PURPLE_4	PURPLE_3	PURPLE_3
Max Trials Difficulty	51	50	50	50	50	49	49	49	49	48	48	48	48	47	47	45	45	45	45	45	45	45	45	44	44	44	44	43	43	43	43	43	43	42	42	42	42	41	41	41	41	40	40	40	40	39	39																																																																																																																										
Max Port Difficulty	51	50	50	50	50	49	49	49	49	48	48	48	48	47	47	45	45	45	45	45	45	45	45	44	44	44	44	43	43	43	43	43	43	42	42	42	42	41	41	41	41	40	40	40	40	39	39																																																																																																																										
Sign-in Version	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0																																																																																																																																										
ENABLE_HEIST	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
EVENT_EXCLUSIVE$0	MAYOR_BELLWETHER	MAYOR_BELLWETHER	LUCA_AND_ALBERTO	LUCA_AND_ALBERTO	CINDERELLA	CINDERELLA	QUASIMODO	MAYOR_BELLWETHER	MAYOR_BELLWETHER	MEILIN_LEE	QUASIMODO	QUASIMODO	THE_MAYOR	THE_MAYOR	MEILIN_LEE	MEILIN_LEE	AGENT_P	TWENTY_TWO	TWENTY_TWO	DUFF_KILLIGAN	PRINCE_PHILLIP	PRINCE_PHILLIP	PRINCE_PHILLIP	PRINCE_PHILLIP	PRINCE_PHILLIP	DUFF_KILLIGAN	DUFF_KILLIGAN	PACHA	PACHA	PACHA	PACHA	SNOW_WHITE	SNOW_WHITE	SNOW_WHITE	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	NAMAARI	THE_UNDERMINER	BAGHEERA	BAGHEERA	BAGHEERA	BAGHEERA	PETE	PETE	PETE	ANNA	SISU	SISU	RAYA	RAYA	RAYA	RAYA	WINIFRED_SANDERSON	WINIFRED_SANDERSON	WINIFRED_SANDERSON	ZEUS	ZEUS	ARIEL	ARIEL	ARIEL	BOLT	BOLT	BOLT	BOLT	LILO	LILO	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	FOZZIE	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	SLINKY_DOG	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	LINGUINI_AND_REMY	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	JASMINE	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN
