	05/12/2020	11/01/2019	10/29/2019	10/23/2019	10/02/2019	10/01/2019	08/21/2019
Release	R13	R7	R7	R6	R6	R5	R5
Max Chapter	18	12	12	11	11	10	10
Max TL	120	90	90	85	85	80	80
Max GL	4	4	4	3	3	3	3
Max Rarity	ORANGE_6	ORANGE	ORANGE	PURPLE_4	PURPLE_4	PURPLE_3	PURPLE_3
Max Trials Difficulty	15	9	9	8			
Max Port Difficulty	15	9	9	8			
Sign-in Version	0	0	0	0			
ENABLE_HEIST	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
EVENT_EXCLUSIVE$0	JASMINE	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN	PETER_PAN
EVENT_EXCLUSIVE$1	MUSHU	MAD_HATTER	MAD_HATTER	MAD_HATTER	MAD_HATTER		
EVENT_EXCLUSIVE$2	MERLIN	DONALD_DUCK					
EVENT_EXCLUSIVE$3	MADAM_MIM	RANDALL_BOGGS					
EVENT_EXCLUSIVE$4	CAPTAIN_HOOK						
EVENT_EXCLUSIVE$5	LINGUINI_AND_REMY						
NEXT_SIGNIN			JOY	JOY			
SIGNIN	MULAN	JOY	MEGARA	MEGARA	MEGARA	MEGARA	MAUI
SOUL_CHEST	HANK_AND_DORY	MEGARA	MAUI	MAUI	MAUI	MAUI	URSULA
SOCIAL_CHEST$0	LAUNCHPAD_MCQUACK	MAUI	URSULA	URSULA	URSULA	URSULA	HADES
GOLD_CHEST_EXCLUSIVE$0	MINNIE_MOUSE	DARKWING_DUCK	DARKWING_DUCK	DARKWING_DUCK	ALADDIN	JACK_SKELLINGTON	JACK_SKELLINGTON
GOLD_CHEST_EXCLUSIVE$1	WINNIE_THE_POOH	ALADDIN	ALADDIN	ALADDIN	JACK_SKELLINGTON	SALLY	SALLY
GOLD_CHEST_EXCLUSIVE$2	RANDALL_BOGGS					HADES	
GOLD_CHEST_EXCLUSIVE$3							
GOLD_CHEST_EXCLUSIVE$4							
BATTLEPASS_EXCLUSIVE							
SECOND_GOLD_CHEST$0	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE
SECOND_GOLD_CHEST$1	FELIX	FELIX	FELIX	FELIX	FELIX	FELIX	FELIX
