	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	ROOT	1	1	<COSMETIC>	
2	COSMETIC	1	1	<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>,<ROLLED_COSMETIC>	RetainCount(Count) & Try NoParamDups(Name)
3	ROLLED_COSMETIC	1	1	COSMETIC{Name=<ROLL_COSMETIC>}	
4	ROLL_COSMETIC	1	1	<COSMETIC_POOL>	NumOfItems(0,1,true)
5	COSMETIC_POOL	800	1	?IsGuaranteeCosmetic? <UNOWNED_COMMON> ? <COMMON>	PickRandom
6	COSMETIC_POOL	700	1	?IsGuaranteeCosmetic? <UNOWNED_UNCOMMON> ? <UNCOMMON>	PickRandom
7	COSMETIC_POOL	400	1	?IsGuaranteeCosmetic? <UNOWNED_RARE> ? <RARE>	PickRandom
8	COSMETIC_POOL	100	1	?IsGuaranteeCosmetic? <UNOWNED_LEGENDARY> ? <LEGENDARY>	PickRandom
9	COMMON	1	1	<@AVAILABLE_COMMON_COSMETICS>	
10	UNCOMMON	1	1	<@AVAILABLE_UNCOMMON_COSMETICS>	
11	RARE	1	1	<@AVAILABLE_RARE_COSMETICS>	
12	LEGENDARY	1	1	<@AVAILABLE_LEGENDARY_COSMETICS>	
13	UNOWNED_COMMON	1	1	<PICK_UNOWNED_COMMON>,<PICK_UNOWNED_UNCOMMON>,<PICK_UNOWNED_RARE>,<PICK_UNOWNED_LEGENDARY>,<PICK_COMMON>	NumOfItems(0,1,true)
14	UNOWNED_UNCOMMON	1	1	<PICK_UNOWNED_UNCOMMON>,<PICK_UNOWNED_RARE>,<PICK_UNOWNED_LEGENDARY>,<PICK_UNOWNED_COMMON>,<PICK_UNCOMMON>	NumOfItems(0,1,true)
15	UNOWNED_RARE	1	1	<PICK_UNOWNED_RARE>,<PICK_UNOWNED_LEGENDARY>,<PICK_UNOWNED_UNCOMMON>,<PICK_UNOWNED_COMMON>,<PICK_RARE>	NumOfItems(0,1,true)
16	UNOWNED_LEGENDARY	1	1	<PICK_UNOWNED_LEGENDARY>,<PICK_UNOWNED_COMMON>,<PICK_UNOWNED_UNCOMMON>,<PICK_UNOWNED_RARE>,<PICK_LEGENDARY>	NumOfItems(0,1,true)
17	PICK_UNOWNED_COMMON	1	1	<@UNOWNED_COMMON_COSMETICS>	PickRandom
18	PICK_UNOWNED_UNCOMMON	1	1	<@UNOWNED_UNCOMMON_COSMETICS>	PickRandom
19	PICK_UNOWNED_RARE	1	1	<@UNOWNED_RARE_COSMETICS>	PickRandom
20	PICK_UNOWNED_LEGENDARY	1	1	<@UNOWNED_LEGENDARY_COSMETICS>	PickRandom
21	PICK_COMMON	1	1	<COMMON>	PickRandom
22	PICK_UNCOMMON	1	1	<UNCOMMON>	PickRandom
23	PICK_RARE	1	1	<RARE>	PickRandom
24	PICK_LEGENDARY	1	1	<LEGENDARY>	PickRandom
