	CATEGORY	UNLOCK_REQS	POINTS	REWARDS
MR_INCREDIBLE_EMOJIS	HERO_EMOJIS	MR_INCREDIBLE_SMILE, MR_INCREDIBLE_EXCITE, MR_INCREDIBLE_GROSS, MR_INCREDIBLE_LOVE, MR_INCREDIBLE_POWER, MR_INCREDIBLE_SCARED, MR_INCREDIBLE_SURPRISE, MR_INCREDIBLE_SLEEP	5450	10 STONE_MR_INCREDIBLE
ELASTIGIRL_EMOJIS	HERO_EMOJIS	ELASTIGIRL_SMILE, ELASTIGIRL_EXCITE, ELASTIGIRL_GROSS, ELASTIGIRL_LOVE, ELASTIGIRL_POWER, ELASTIGIRL_SCARED, ELASTIGIRL_SURPRISE, ELASTIGIRL_SLEEP	5450	10 STONE_ELASTIGIRL
DASH_EMOJIS	HERO_EMOJIS	DASH_SMILE, DASH_EXCITE, DASH_GROSS, DASH_LOVE, DASH_POWER, DASH_SCARED, DASH_SURPRISE, DASH_SLEEP	5450	10 STONE_DASH
FROZONE_EMOJIS	HERO_EMOJIS	FROZONE_SMILE, FROZONE_EXCITE, FROZONE_GROSS, FROZONE_LOVE, FROZONE_POWER, FROZONE_SCARED, FROZONE_SURPRISE, FROZONE_SLEEP	5450	10 STONE_FROZONE
JACK_JACK_EMOJIS	HERO_EMOJIS	JACK_JACK_SMILE, JACK_JACK_EXCITE, JACK_JACK_GROSS, JACK_JACK_LOVE, JACK_JACK_POWER, JACK_JACK_SCARED, JACK_JACK_SURPRISE, JACK_JACK_SLEEP	5450	10 STONE_JACK_JACK
VIOLET_EMOJIS	HERO_EMOJIS	VIOLET_SMILE, VIOLET_EXCITE, VIOLET_GROSS, VIOLET_LOVE, VIOLET_POWER, VIOLET_SCARED, VIOLET_SURPRISE, VIOLET_SLEEP	5450	10 STONE_VIOLET
MIKE_EMOJIS	HERO_EMOJIS	MIKE_SMILE, MIKE_EXCITE, MIKE_GROSS, MIKE_LOVE, MIKE_POWER, MIKE_SCARED, MIKE_SURPRISE, MIKE_SLEEP	5450	10 STONE_MIKE
SULLEY_EMOJIS	HERO_EMOJIS	SULLEY_SMILE, SULLEY_EXCITE, SULLEY_GROSS, SULLEY_LOVE, SULLEY_POWER, SULLEY_SCARED, SULLEY_SURPRISE, SULLEY_SLEEP	5450	10 STONE_SULLEY
JACK_SPARROW_EMOJIS	HERO_EMOJIS	JACK_SPARROW_SMILE, JACK_SPARROW_EXCITE, JACK_SPARROW_GROSS, JACK_SPARROW_LOVE, JACK_SPARROW_POWER, JACK_SPARROW_SCARED, JACK_SPARROW_SURPRISE, JACK_SPARROW_SLEEP	5450	10 STONE_JACK_SPARROW
EVE_EMOJIS	HERO_EMOJIS	EVE_SMILE, EVE_EXCITE, EVE_GROSS, EVE_LOVE, EVE_POWER, EVE_SCARED, EVE_SURPRISE, EVE_SLEEP	5450	10 STONE_EVE
WALL_E_EMOJIS	HERO_EMOJIS	WALL_E_SMILE, WALL_E_EXCITE, WALL_E_GROSS, WALL_E_LOVE, WALL_E_POWER, WALL_E_SCARED, WALL_E_SURPRISE, WALL_E_SLEEP	5450	10 STONE_WALL_E
JESSIE_EMOJIS	HERO_EMOJIS	JESSIE_SMILE, JESSIE_EXCITE, JESSIE_GROSS, JESSIE_LOVE, JESSIE_POWER, JESSIE_SCARED, JESSIE_SURPRISE, JESSIE_SLEEP	5450	10 STONE_JESSIE
EMPEROR_ZURG_EMOJIS	HERO_EMOJIS	EMPEROR_ZURG_SMILE, EMPEROR_ZURG_EXCITE, EMPEROR_ZURG_GROSS, EMPEROR_ZURG_LOVE, EMPEROR_ZURG_POWER, EMPEROR_ZURG_SCARED, EMPEROR_ZURG_SURPRISE, EMPEROR_ZURG_SLEEP	5450	10 STONE_EMPEROR_ZURG
REX_EMOJIS	HERO_EMOJIS	REX_SMILE, REX_EXCITE, REX_GROSS, REX_LOVE, REX_POWER, REX_SCARED, REX_SURPRISE, REX_SLEEP	5450	10 STONE_REX
WOODY_EMOJIS	HERO_EMOJIS	WOODY_SMILE, WOODY_EXCITE, WOODY_GROSS, WOODY_LOVE, WOODY_POWER, WOODY_SCARED, WOODY_SURPRISE, WOODY_SLEEP	5450	10 STONE_WOODY
BUZZ_EMOJIS	HERO_EMOJIS	BUZZ_SMILE, BUZZ_EXCITE, BUZZ_GROSS, BUZZ_LOVE, BUZZ_POWER, BUZZ_SCARED, BUZZ_SURPRISE, BUZZ_SLEEP	5450	10 STONE_BUZZ
YAX_EMOJIS	HERO_EMOJIS	YAX_SMILE, YAX_EXCITE, YAX_GROSS, YAX_LOVE, YAX_POWER, YAX_SCARED, YAX_SURPRISE, YAX_SLEEP	5450	10 STONE_YAX
CHIEF_BOGO_EMOJIS	HERO_EMOJIS	CHIEF_BOGO_SMILE, CHIEF_BOGO_EXCITE, CHIEF_BOGO_GROSS, CHIEF_BOGO_LOVE, CHIEF_BOGO_POWER, CHIEF_BOGO_SCARED, CHIEF_BOGO_SURPRISE, CHIEF_BOGO_SLEEP	5450	10 STONE_CHIEF_BOGO
FINNICK_EMOJIS	HERO_EMOJIS	FINNICK_SMILE, FINNICK_EXCITE, FINNICK_GROSS, FINNICK_LOVE, FINNICK_POWER, FINNICK_SCARED, FINNICK_SURPRISE, FINNICK_SLEEP	5450	10 STONE_FINNICK
NICK_WILDE_EMOJIS	HERO_EMOJIS	NICK_WILDE_SMILE, NICK_WILDE_EXCITE, NICK_WILDE_GROSS, NICK_WILDE_LOVE, NICK_WILDE_POWER, NICK_WILDE_SCARED, NICK_WILDE_SURPRISE, NICK_WILDE_SLEEP	5450	10 STONE_NICK_WILDE
JUDY_HOPPS_EMOJIS	HERO_EMOJIS	JUDY_HOPPS_SMILE, JUDY_HOPPS_EXCITE, JUDY_HOPPS_GROSS, JUDY_HOPPS_LOVE, JUDY_HOPPS_POWER, JUDY_HOPPS_SCARED, JUDY_HOPPS_SURPRISE, JUDY_HOPPS_SLEEP	5450	10 STONE_JUDY_HOPPS
MERIDA_EMOJIS	HERO_EMOJIS	MERIDA_SMILE, MERIDA_EXCITE, MERIDA_GROSS, MERIDA_LOVE, MERIDA_POWER, MERIDA_SCARED, MERIDA_SURPRISE, MERIDA_SLEEP	5450	10 STONE_MERIDA
STITCH_EMOJIS	HERO_EMOJIS	STITCH_SMILE, STITCH_EXCITE, STITCH_GROSS, STITCH_LOVE, STITCH_POWER, STITCH_SCARED, STITCH_SURPRISE, STITCH_SLEEP	5450	10 STONE_STITCH
MAUI_EMOJIS	HERO_EMOJIS	MAUI_SMILE, MAUI_EXCITE, MAUI_GROSS, MAUI_LOVE, MAUI_POWER, MAUI_SCARED, MAUI_SURPRISE, MAUI_SLEEP	5450	10 STONE_MAUI
