	CATEGORY	RARITY
ELASTIGIRL_SUIT2	COSTUME	LEGENDARY
REX_PARTYSAURUS	COSTUME	LEGENDARY
STITCH_EXPERIMENT626	COSTUME	LEGENDARY
GENIE_VACATION	COSTUME	LEGENDARY
MERIDA_PRINCESS	COSTUME	LEGENDARY
ALADDIN_PRINCE	COSTUME	LEGENDARY
NICK_WILDE_OFFICER	COSTUME	LEGENDARY
ELSA_ICEQUEEN	COSTUME	EXCLUSIVE
MAYOR_BELLWETHER_CONFERENCE	COSTUME	EXCLUSIVE
DAISY_DUCK_MASTERYGOLD	COSTUME	EXCLUSIVE
DAISY_DUCK_MASTERYPLATINUM	COSTUME	EXCLUSIVE
DAISY_DUCK_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
LUZ_NOCEDA_MASTERYGOLD	COSTUME	EXCLUSIVE
LUZ_NOCEDA_MASTERYPLATINUM	COSTUME	EXCLUSIVE
LUZ_NOCEDA_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
KRONK_SQUIRRELSCOUTS	COSTUME	EXCLUSIVE
JAKE_LONG_MASTERYGOLD	COSTUME	EXCLUSIVE
JAKE_LONG_MASTERYPLATINUM	COSTUME	EXCLUSIVE
JAKE_LONG_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
VOYD_MASTERYGOLD	COSTUME	EXCLUSIVE
VOYD_MASTERYPLATINUM	COSTUME	EXCLUSIVE
VOYD_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
DR_DOOFENSHMIRTZ_MASTERYGOLD	COSTUME	EXCLUSIVE
DR_DOOFENSHMIRTZ_MASTERYPLATINUM	COSTUME	EXCLUSIVE
DR_DOOFENSHMIRTZ_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
JUDY_HOPPS_METERMAID	COSTUME	EXCLUSIVE
KIM_POSSIBLE_CASUAL	COSTUME	EXCLUSIVE
MAX_GOOF_MASTERYGOLD	COSTUME	EXCLUSIVE
MAX_GOOF_MASTERYPLATINUM	COSTUME	EXCLUSIVE
MAX_GOOF_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
VANELLOPE_MASTERYGOLD	COSTUME	EXCLUSIVE
VANELLOPE_MASTERYPLATINUM	COSTUME	EXCLUSIVE
VANELLOPE_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
PETE_MASTERYGOLD	COSTUME	EXCLUSIVE
PETE_MASTERYPLATINUM	COSTUME	EXCLUSIVE
PETE_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
EDA_CLAWTHORNE_MASTERYGOLD	COSTUME	EXCLUSIVE
EDA_CLAWTHORNE_MASTERYPLATINUM	COSTUME	EXCLUSIVE
EDA_CLAWTHORNE_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
GASTON_MASTERYGOLD	COSTUME	EXCLUSIVE
GASTON_MASTERYPLATINUM	COSTUME	EXCLUSIVE
GASTON_MASTERYCHALLENGER	COSTUME	EXCLUSIVE
BEAST_BEASTROYALE	COSTUME	EXCLUSIVE
JACK_SKELLINGTON_SANDYCLAWS	COSTUME	EXCLUSIVE
MOANA_VOYAGER	COSTUME	EXCLUSIVE
EVE_CHRISTMAS	COSTUME	EXCLUSIVE
MR_INCREDIBLE_RETRO	COSTUME	EXCLUSIVE
ANNE_BOONCHUY_HALLOWEEN	COSTUME	EXCLUSIVE
KERMIT_CHRISTMAS	COSTUME	EXCLUSIVE
MR_INCREDIBLE_SMILE	DISNEY_EMOJI	COMMON
MR_INCREDIBLE_EXCITE	DISNEY_EMOJI	COMMON
MR_INCREDIBLE_GROSS	DISNEY_EMOJI	RARE
MR_INCREDIBLE_LOVE	DISNEY_EMOJI	UNCOMMON
MR_INCREDIBLE_POWER	DISNEY_EMOJI	LEGENDARY
MR_INCREDIBLE_SURPRISE	DISNEY_EMOJI	UNCOMMON
MR_INCREDIBLE_SCARED	DISNEY_EMOJI	UNCOMMON
MR_INCREDIBLE_SLEEP	DISNEY_EMOJI	RARE
ELASTIGIRL_SMILE	DISNEY_EMOJI	COMMON
ELASTIGIRL_EXCITE	DISNEY_EMOJI	COMMON
ELASTIGIRL_GROSS	DISNEY_EMOJI	RARE
