	CRAFTING_GOLD	PART1_QUANTITY	PART1_TYPE	PART2_QUANTITY	PART2_TYPE	PART3_QUANTITY	PART3_TYPE	PART4_QUANTITY	PART4_TYPE
ANEMONEMONE	300	1	REEL_ANEMONEMONE	1	BELLA_NOTTE	1	CLEVER_FOX		
PARTY_REX	300	1	REEL_PARTY_REX	1	HEARTY_BREAKFAST	1	CLEVER_FOX		
INCONSPICUOUS_APPLE	300	1	REEL_INCONSPICUOUS_APPLE	1	NUMBER_ONE_DIME	1	CLEVER_FOX		
BUNDLE_OF_FIREWORKS	300	1	PAPER_AIRPLANE	1	DULL_SWORD				
THINGAMABOB	300	1	SUNNY_SIDE	2	BELLA_NOTTE				
BLUEBIRD_OF_HAPPINESS	300	1	REEL_BLUEBIRD_OF_HAPPINESS	1	A_BIT_OF_PRESTIDIGITATION	1	SUGAR_RUSH		
CRAB_CAKE	1,200	1	REEL_CRAB_CAKE	1	BADGE_OF_FRIENDSHIP	2	SUGAR_RUSH		
GOLDEN_FLOWER	1,200	1	REEL_GOLDEN_FLOWER	1	A_BIT_OF_PRESTIDIGITATION	1	DULL_SWORD		
LOVELY_BUNCH_OF_COCONUTS	1,200	1	REEL_LOVELY_BUNCH_OF_COCONUTS	1	EMBRITTLEMENT_PERFUME	1	SUGAR_RUSH		
STRANGE_MUSHROOM	1,200	1	SUNNY_SIDE	1	TOUGH_COOKIE	1	SNUGGLY_DUCKLING		
SAN_FRANCISCO_PIZZA	1,200	1	REEL_SAN_FRANCISCO_PIZZA	1	PARTY_REX	1	CLEVER_FOX		
GOLDEN_TEAPOT	1,200	1	SNUGGLY_DUCKLING	2	A_BIT_OF_PRESTIDIGITATION	1	COOKBOOK		
POPPIN_CARPET_BAG	1,200	1	MOON_ANCHOR	1	PIRATES_COMPASS				
PRICKLY_PEAR	1,200	1	REEL_PRICKLY_PEAR	1	DULL_SWORD	2	HEARTY_BREAKFAST		
REINDEER_FUEL	1,200	1	SNUGGLY_DUCKLING	1	GLASS_SLIPPERS				
TREASURE_MAP	1,200	1	ANEMONEMONE	1	BUNDLE_OF_FIREWORKS				
FLYAWAY_UMBRELLA	1,200	1	GRUB	1	PAPER_AIRPLANE	1	A_BIT_OF_PRESTIDIGITATION		
BADGE_OF_GIRTH	1,200	1	REEL_BADGE_OF_GIRTH	1	MOON_ANCHOR	1	A_BIT_OF_PRESTIDIGITATION	1	BUNDLE_OF_FIREWORKS
HOMEOPATHIC_CURE	1,200	1	SUPER_DUPER_GLUE	1	DULL_SWORD	1	BADGE_OF_STEALTH		
ANVIL_OF_MORALITY	1,200	1	REEL_ANVIL_OF_MORALITY	1	BLUEBIRD_OF_HAPPINESS	1	LOVELY_BUNCH_OF_COCONUTS		
MYSTERIOUS_SEEDLING	1,200	1	GRUB	1	MEEKOS_BISCUITS				
TINY_CAR	1,200	1	REEL_TINY_CAR	1	MOON_ANCHOR				
PIRATE_HAT	1,200	1	GRUB	1	SWORD_IN_A_STONE	1	FISHING_POLE		
PIGGY_BANK	1,200	1	GRUB	1	SWORD_IN_A_STONE	1	MULTIPURPOSE_FRYING_PAN		
MRS_NESBITTS_CHAPEAU	5,000	1	REEL_MRS_NESBITTS_CHAPEAU	1	FISHING_POLE	1	PRINCESS_FINDER		
CONSPICUOUS_APPLE	5,000	1	REEL_CONSPICUOUS_APPLE	1	MULTIPURPOSE_FRYING_PAN	1	IMAGINATION_SHIP		
IMPRACTICAL_CUFFLINKS	1,200	1	GRUB	2	CONTINENTAL_BREAKFAST				
NOTRE_DINNER_BELL	1,200	1	GRUB	1	SWORD_IN_A_STONE	1	BADGE_OF_STEALTH		
TIME_SINK	1,200	1	REEL_TIME_SINK	1	EMBRITTLEMENT_PERFUME	1	DULL_SWORD		
PROUD_UNICORN	5,000	1	WIZARD_HAT	1	PRINCESS_FINDER	1	IMAGINATION_SHIP	1	GIGANTIC_PEACH
REALLY_BAD_EGG	5,000	1	REEL_REALLY_BAD_EGG	1	GIGANTIC_PEACH	1	A_BIT_OF_PRESTIDIGITATION		
POCKET_TREE	5,000	1	EXTRACT_OF_LLAMA	1	WIG_A_LA_MODE				
INCOGNITO_MODE	5,000	1	REEL_INCOGNITO_MODE	1	GIGANTIC_PEACH	1	GLASS_SLIPPERS	1	DULL_SWORD
ROUSING_MUSICAL_NUMBER	5,000	1	REEL_ROUSING_MUSICAL_NUMBER	1	GRUB				
SAVE_TOKEN	5,000	1	REEL_SAVE_TOKEN	1	EXTRACT_OF_LLAMA	1	CONTINENTAL_BREAKFAST		
BASKETBALL_JERSEY	5,000	1	REEL_BASKETBALL_JERSEY	1	SWORD_IN_A_STONE	1	CONTINENTAL_BREAKFAST	1	PIRATES_COMPASS
BADGE_OF_MOTIVATION	5,000	1	REEL_BADGE_OF_MOTIVATION	1	GIGANTIC_PEACH	1	INCONSPICUOUS_APPLE		
CLEANING_SERVICE	5,000	1	MEEKOS_BISCUITS	1	TOUGH_COOKIE	1	WIZARD_HAT		
YZMAS_ANTI_AGING_CREAM	5,000	1	MRS_NESBITTS_CHAPEAU	1	CONSPICUOUS_APPLE				
DREAM_JAR	5,000	1	EXTRACT_OF_LLAMA	1	EMBRITTLEMENT_PERFUME	1	BADGE_OF_STEALTH		
CHIEFS_STONE	5,000	1	REEL_CHIEFS_STONE	2	IMAGINATION_SHIP	1	BADGE_OF_STEALTH		
WILDERNESS_EXPLORER	5,000	1	REEL_WILDERNESS_EXPLORER	1	PIRATES_COMPASS	2	BADGE_OF_STEALTH		
CHERRY_BOMB	5,000	2	ANVIL_OF_MORALITY						
BOOS_ROOM_KEY	5,000	2	GIGANTIC_PEACH	1	WIZARD_HAT				
SHOEBILL	5,000	1	REINDEER_FUEL	1	EXTRACT_OF_LLAMA	1	JAR_OF_MARS		
DISCARDED_TIARA	5,000	1	REEL_DISCARDED_TIARA	1	PRINCESS_FINDER	1	WIG_A_LA_MODE		
BONE_XYLOPHONE	5,000	1	REEL_BONE_XYLOPHONE	1	EXTRACT_OF_LLAMA	1	SPILT_MILK		
SEA_WITCHS_CONTRACT	5,000	1	REEL_SEA_WITCHS_CONTRACT	1	GIGANTIC_PEACH	1	FISHING_POLE		
DOCTORS_TOP_HAT	5,000	1	REEL_DOCTORS_TOP_HAT	1	SWORD_IN_A_STONE	1	WIG_A_LA_MODE		
MISPLACED_TAIL	5,000	1	REEL_MISPLACED_TAIL	1	SPILT_MILK	1	FISHING_POLE		
GLOW_BUG	5,000	1	REEL_GLOW_BUG	2	WIG_A_LA_MODE				
PIGASUS	5,000	1	REEL_PIGASUS	2	WICKED_BEATS				
STYLIN_PENGUIN	5,000	1	REINDEER_FUEL	1	CLEANING_SERVICE				
FLUBBER	18,000	1	REEL_FLUBBER	2	HOMEOPATHIC_CURE				
LAWNMOWER_REMOTE	18,000	1	REEL_LAWNMOWER_REMOTE	1	FAIRY_LANTERN	1	YOU_CAN_FLY	1	EMBRITTLEMENT_PERFUME
BEAUTIFUL_LAMP	18,000	2	BADGE_OF_MOTIVATION						
ARAIGNEE_NOIRE	18,000	1	REEL_ARAIGNEE_NOIRE	1	GOLDEN_TEAPOT	1	BLUEBIRD_OF_HAPPINESS		
MIST_MAKER	18,000	1	REEL_MIST_MAKER	1	CONSPICUOUS_APPLE	1	LOVE_BUG		
LIGHTSPEED	18,000	1	REEL_LIGHTSPEED	1	MRS_NESBITTS_CHAPEAU	1	ESCAPE_PLAN		
FAMILY_HEIRLOOM	18,000	1	REEL_FAMILY_HEIRLOOM	1	AIR_HERCS	1	LOVE_BUG	1	GLASS_SLIPPERS
HOT_DOG	18,000	1	REEL_HOT_DOG	1	REINDEER_FUEL	1	LOVE_BUG		
LAST_RESORT	18,000	1	REEL_LAST_RESORT	1	TINY_CAR	1	FAIRY_LANTERN		
FOX_MACE	18,000	1	REEL_FOX_MACE	1	REINDEER_FUEL	1	HOMEOPATHIC_CURE		
DE_VILS_LIPSTICK	18,000	2	CHERRY_BOMB						
JAFARS_CUFFLINKS	18,000	1	REEL_JAFARS_CUFFLINKS	2	SPILT_MILK	1	ESCAPE_PLAN		
PASSIVE_AGGRESSIVE_ELLIPSIS	18,000	1	REEL_PASSIVE_AGGRESSIVE_ELLIPSIS	2	WICKED_BEATS	1	AIR_HERCS		
SPEAR_MINT	18,000	1	REEL_SPEAR_MINT	1	DOCTORS_TOP_HAT	1	FAIRY_LANTERN		
BAYMAX_PATCH_KIT	18,000	2	SEA_WITCHS_CONTRACT						
BELLWEATHERS_MUG	18,000	1	MRS_NESBITTS_CHAPEAU	1	BAYMAX_PATCH_KIT				
CALAMARI	18,000	2	LOVE_BUG	1	WIZARD_HAT	1	PIRATES_COMPASS		
SPELL_DIARY	18,000	2	CHIEFS_STONE						
IMPRACTICAL_OVEN_MITTS	18,000	2	PROUD_UNICORN						
PINEAPPLE_CRATE	36,000	1	REEL_PINEAPPLE_CRATE	1	AIR_HERCS	1	YOU_CAN_FLY		
TRITONS_TRIDENT	36,000	1	REEL_TRITONS_TRIDENT	1	FAIRY_LANTERN	1	EXTRACT_OF_LLAMA		
FA_FAMILY_SHEARS	36,000	1	REEL_FA_FAMILY_SHEARS	1	TOUGH_COOKIE	1	RASPBEARY_CAKE		
CURSED_COIN	36,000	1	REEL_CURSED_COIN	1	SUPER_DUPER_GLUE	1	AQUARIUM_TAG		
BRUCES_BADGES	36,000	1	AQUARIUM_TAG	1	DE_VILS_LIPSTICK	1	SUPER_DUPER_GLUE		
OOZMA_KAPPA_CHEER_KIT	36,000	1	AQUARIUM_TAG	1	ARAIGNEE_NOIRE	1	COOKBOOK		
GRAPPLING_HOOK	36,000	2	BAYMAX_PATCH_KIT						
BEACH_BOMB	36,000	2	FOX_MACE						
JAR_OF_SAND	36,000	2	DE_VILS_LIPSTICK						
CARROT_PEN	36,000	1	UNBIRTHDAY_HAT	1	MISPLACED_TAIL				
ROCK_PUNCH	36,000	1	LOST_NECKLACE	1	DOCTORS_TOP_HAT				
LEANING_TOWER_OF_CHEEZ_A	36,000	2	BEAUTIFUL_LAMP						
SANDY_CLAWS_LANTERN	36,000	1	POCKET_TREE	1	INCOGNITO_MODE	1	YZMAS_ANTI_AGING_CREAM	1	CHIEFS_STONE
FREDS_RECYCLED_BOXERS	36,000	1	REEL_FREDS_RECYCLED_BOXERS	1	ESCAPE_PLAN	1	SAVE_TOKEN		
STABLE_WALKING_CANE	36,000	1	REEL_STABLE_WALKING_CANE	1	FAIRY_LANTERN	1	REALLY_BAD_EGG		
SAFETY_HELMET	36,000	2	SPELL_DIARY						
MASK_OF_THE_CAKE_EATER	36,000	1	AQUARIUM_TAG	1	WICKED_BEATS				
KIMMUNICATOR	36,000	1	REEL_KIMMUNICATOR	1	POPPIN_CARPET_BAG	1	RASPBEARY_CAKE		
STONE_GUARDIAN	36,000	1	REEL_STONE_GUARDIAN	1	MYSTERIOUS_SEEDLING	1	LOST_NECKLACE		
PILOTS_CAP	36,000	1	REEL_PILOTS_CAP	1	UNBIRTHDAY_HAT				
DARK_DISGUISE	40,000	1	FA_FAMILY_SHEARS	1	MIST_MAKER	1	WICKED_BEATS	1	PRINCESS_FINDER
ROCKET_PACK_PATCH_KIT	40,000	1	PINEAPPLE_CRATE	1	SPEAR_MINT	1	IMAGINATION_SHIP	1	SPILT_MILK
HANKS_HOT_SAUCE	40,000	2	LEANING_TOWER_OF_CHEEZ_A						
BREAKFAST_OF_CHAMPIONS	40,000	1	IMPRACTICAL_OVEN_MITTS	1	PIGASUS	1	BONE_XYLOPHONE	1	WILDERNESS_EXPLORER
BLACK_MAGIC_CAULDRON	40,000	1	FLUBBER	1	SHOEBILL	1	GLOW_BUG	1	BAYMAX_PATCH_KIT
OO_DE_LALLY_ARROWS	65,000	1	REEL_OO_DE_LALLY_ARROWS	1	AIR_HERCS	1	YOU_CAN_FLY		
POTENTIAL_CARRIAGE	65,000	1	REEL_POTENTIAL_CARRIAGE	1	LOVE_BUG	1	FAIRY_LANTERN		
