	BASE_POINT_MULTIPLIER	GOLD_MULTIPLER	REQUIRED_DIFFICULTY
1	0	0	1
2	1	0.1	1
3	2.08	0.2	1
4	3.24	0.3	2
5	4.48	0.4	2
6	5.8	0.49	2
7	7.2	0.57	3
8	8.68	0.64	3
9	10.24	0.71	3
10	11.88	0.77	4
11	13.6	0.83	4
12	15.4	0.88	4
13	17.28	0.93	5
14	19.24	0.97	5
15	21.28	1.01	5
16	23.4	1.04	6
17	25.6	1.07	6
18	27.88	1.1	6
19	30.24	1.13	7
20	32.68	1.16	7
21	35.2	1.19	7
22	37.8	1.22	7
23	40.48	1.25	7
24	43.24	1.28	7
25	46.08	1.31	7
26	49	1.34	7
27	52	1.37	7
28	55.08	1.4	7
29	58.24	1.43	7
30	61.48	1.46	7
31	64.8	1.49	7
32	68.2	1.52	7
33	71.68	1.55	7
34	75.24	1.58	7
35	78.88	1.6	7
36	82.6	1.62	7
37	86.4	1.64	7
38	90.28	1.66	7
39	94.24	1.68	7
40	98.28	1.7	7
41	102.4	1.72	7
42	106.6	1.74	7
43	110.88	1.76	7
44	115.24	1.78	7
45	119.68	1.8	7
46	124.2	1.82	7
47	128.8	1.84	7
48	133.48	1.86	7
49	138.24	1.88	7
50	143.08	1.9	7
51	148	1.92	7
52	153	1.94	7
53	158.08	1.96	7
54	163.24	1.98	7
55	168.48	2	7
56	173.8	2.02	7
57	179.2	2.04	7
58	184.68	2.06	7
59	190.24	2.08	7
60	195.88	2.1	7
61	201.6	2.12	7
62	207.4	2.14	7
63	213.28	2.16	7
64	219.24	2.18	7
65	225.28	2.2	7
66	231.4	2.22	7
67	237.6	2.24	7
68	243.88	2.26	7
69	250.24	2.28	7
70	256.68	2.3	7
71	263.2	2.32	7
72	269.8	2.34	7
73	276.48	2.36	7
74	283.24	2.38	7
75	290.08	2.4	7
76	297	2.42	7
77	304	2.44	7
78	311.08	2.46	7
79	318.24	2.48	7
80	325.48	2.5	7
81	332.8	2.52	7
82	340.2	2.54	7
83	347.68	2.56	7
84	355.24	2.58	7
85	362.88	2.6	7
86	370.6	2.62	7
87	378.4	2.64	7
88	386.28	2.66	7
89	394.24	2.68	7
90	402.28	2.7	7
91	410.4	2.72	7
92	418.6	2.74	7
93	426.88	2.76	7
94	435.24	2.78	7
95	443.68	2.8	7
96	452.2	2.82	7
97	460.8	2.84	7
98	469.48	2.86	7
99	478.24	2.88	7
100	487.08	2.9	7
