	HERO	ICON	KEY
1	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Default	CALHOUN_SMILE
2	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Excited	CALHOUN_EXCITE
3	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Gross	CALHOUN_GROSS
4	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Love	CALHOUN_LOVE
5	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_PowerUp	CALHOUN_POWER
6	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Scared	CALHOUN_SCARED
7	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Sleeping	CALHOUN_SLEEP
8	CALHOUN	Emoji_Expressions_WreckItRalph_Calhoun_Surprised	CALHOUN_SURPRISE
9	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Default	RALPH_SMILE
10	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Excited	RALPH_EXCITE
11	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Gross	RALPH_GROSS
12	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Love	RALPH_LOVE
13	RALPH	Emoji_Expressions_WreckItRalph_Ralph_PowerUp	RALPH_POWER
14	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Scared	RALPH_SCARED
15	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Sleeping	RALPH_SLEEP
16	RALPH	Emoji_Expressions_WreckItRalph_Ralph_Surprised	RALPH_SURPRISE
17	FELIX	Emoji_Expressions_WreckItRalph_Felix_Default	FELIX_SMILE
18	FELIX	Emoji_Expressions_WreckItRalph_Felix_Excited	FELIX_EXCITE
19	FELIX	Emoji_Expressions_WreckItRalph_Felix_Gross	FELIX_GROSS
20	FELIX	Emoji_Expressions_WreckItRalph_Felix_Love	FELIX_LOVE
21	FELIX	Emoji_Expressions_WreckItRalph_Felix_PowerUp	FELIX_POWER
22	FELIX	Emoji_Expressions_WreckItRalph_Felix_Scared	FELIX_SCARED
23	FELIX	Emoji_Expressions_WreckItRalph_Felix_Sleeping	FELIX_SLEEP
24	FELIX	Emoji_Expressions_WreckItRalph_Felix_Surprised	FELIX_SURPRISE
25	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Default	VANELLOPE_SMILE
26	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Excited	VANELLOPE_EXCITE
27	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Gross	VANELLOPE_GROSS
28	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Love	VANELLOPE_LOVE
29	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_PowerUp	VANELLOPE_POWER
30	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Scared	VANELLOPE_SCARED
31	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Sleeping	VANELLOPE_SLEEP
32	VANELLOPE	Emoji_Expressions_WreckItRalph_Vanellope_Surprised	VANELLOPE_SURPRISE
33	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Default	JUDY_HOPPS_SMILE
34	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Excited	JUDY_HOPPS_EXCITE
35	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Gross	JUDY_HOPPS_GROSS
36	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Love	JUDY_HOPPS_LOVE
37	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_PowerUp	JUDY_HOPPS_POWER
38	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Scared	JUDY_HOPPS_SCARED
39	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Sleeping	JUDY_HOPPS_SLEEP
40	JUDY_HOPPS	Emoji_Expressions_Zootopia_Judy_Surprised	JUDY_HOPPS_SURPRISE
41	NICK_WILDE	Emoji_Expressions_Zootopia_Nick_Default	NICK_WILDE_SMILE
42	NICK_WILDE	Emoji_Expressions_Zootopia_Nick_Excited	NICK_WILDE_EXCITE
43	NICK_WILDE	Emoji_Expressions_Zootopia_Nick_Gross	NICK_WILDE_GROSS
44	NICK_WILDE	Emoji_Expressions_Zootopia_Nick_Love	NICK_WILDE_LOVE
