	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	GOLD_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
1-1	9	2	WHITE	16		1	CITY_ROOFTOPS_1	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	MR_INCREDIBLE			
1-4	10	2	WHITE	16		1	CITY_ROOFTOPS_4	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE	MR_INCREDIBLE,[boss]VANELLOPE			
1-7	11	2	WHITE	16		1	CITY_ROOFTOPS_7	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,[boss]DASH			
1-10	12	2	WHITE	16		1	CITY_ROOFTOPS_12	SOULLESS_BRUTE,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE	CHIEF_BOGO,VANELLOPE,SOULLESS_MAGE_N			1 GOLD_CHEST_ROLL_X1
1-13	13	2	WHITE	16		1	CITY_ROOFTOPS_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_MAGE_F	CHIEF_BOGO,[boss]DASH			
1-16	14	2	WHITE	16		1	CITY_ROOFTOPS_14	SOULLESS_BRUTE,SOULLESS_BRUTE	SOULLESS_BRUTE,SOULLESS_CANNON	CHIEF_BOGO,MR_INCREDIBLE,JUDY_HOPPS,[boss]YAX			
1-19	15	2	WHITE	16		1	CITY_ROOFTOPS_3	SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_CANNON	CHIEF_BOGO,[boss]DASH,JUDY_HOPPS			1 GOLD_CHEST_ROLL_X1
2-1	16	2	WHITE	16		1	SUBWAY_1	SOULLESS_BRUTE,SOULLESS_CANNON	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_N	[boss]RALPH,VANELLOPE,YAX			
2-4	17	2	WHITE	16		1	PORT_2	SOULLESS_SWORD_N,SOULLESS_MAGE_N	YAX,SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_N,[boss]FINNICK			
2-7	18	2	WHITE	16		1	PORT_5	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_F	VANELLOPE,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_F	RALPH,SOULLESS_CANNON,[boss]FROZONE,SOULLESS_SWORD_N			
2-10	19	2	WHITE	16		1	PORT_8	SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_N,[boss]VANELLOPE			1 GOLD_CHEST_ROLL_X1
2-13	20	2	WHITE	16		1	PORT_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON	DASH,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE,VANELLOPE,[boss]FINNICK			
2-16	21	2	WHITE	16		1	PORT_14	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_MAGE_F	YAX,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_CANNON,VANELLOPE,FINNICK,[boss]ELASTIGIRL			
2-19	22	2	WHITE	16		1	PORT_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N	SOULLESS_MAGE_N,SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F,YAX,[boss]FINNICK			1 GOLD_CHEST_ROLL_X1
3-1	23	2	WHITE	16		1	SUBWAY_3	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE,VANELLOPE,JUDY_HOPPS,[boss]YAX			
3-4	24	2	GREEN	16		1	BLACK_MARKET_2	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,[boss]MR_INCREDIBLE,SOULLESS_CANNON,SOULLESS_SWORD_N,FINNICK			
3-7	25	2	GREEN	16		1	BLACK_MARKET_5	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	CHIEF_BOGO,MR_INCREDIBLE,VANELLOPE,[boss]FROZONE,SOULLESS_MAGE_F			
3-10	26	2	GREEN	16		1	BLACK_MARKET_8	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_MAGE_F,VANELLOPE,JUDY_HOPPS,[boss]ELASTIGIRL			1 GOLD_CHEST_ROLL_X1
3-13	27	3	GREEN	16		1	BLACK_MARKET_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	RALPH,SOULLESS_MAGE_F,SOULLESS_CANNON,DASH,[boss]MR_INCREDIBLE			
3-16	28	3	GREEN	16		1	BLACK_MARKET_15	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_CANNON,DASH,SOULLESS_CANNON,SOULLESS_MAGE_N			
3-19	29	3	GREEN	16		1	SUBWAY_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,SOULLESS_MAGE_N,SOULLESS_CANNON,ELASTIGIRL,[boss]MR_INCREDIBLE			1 GOLD_CHEST_ROLL_X1
4-1	30	3	GREEN	16		1	SUBWAY_4	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_CANNON	VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,CHIEF_BOGO,[boss]RALPH,SOULLESS_MAGE_F,FROZONE			
4-4	31	3	GREEN_1	16		1	HACKER_ENCLAVE_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_BRUTE	MR_INCREDIBLE,CHIEF_BOGO,SOULLESS_BRUTE,SOULLESS_CANNON,FINNICK,[boss]NICK_WILDE			
4-7	32	3	GREEN_1	16		1	HACKER_ENCLAVE_5	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_MAGE_N,[boss]VANELLOPE,ELASTIGIRL,DASH,SOULLESS_MAGE_N			
4-10	33	3	GREEN_1	16		1	HACKER_ENCLAVE_8	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	MAX_GOOF,SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_BRUTE,NICK_WILDE,DASH,VANELLOPE,[boss]ELASTIGIRL			1 GOLD_CHEST_ROLL_X1
4-13	34	3	GREEN_1	16		1	HACKER_ENCLAVE_11	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SWORD_F,SOULLESS_BRUTE	SOULLESS_BRUTE,[boss]NICK_WILDE,SOULLESS_MAGE_F,JACK_JACK,MAX_GOOF,SOULLESS_MAGE_F			
