	UNIT_TYPE	STAT_TIER	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION	IMPROVED_HEALING
1	ABU	THREE	390	390	390	390	390	390	390	0
2	AGENT_P	THREE	390	390	390	390	390	390	390	0
3	ALADDIN	THREE	390	390	390	390	390	390	390	0
4	ALICE	THREE	390	390	390	390	390	390	390	0
5	ANGEL	THREE	390	390	390	390	390	390	390	0
6	ANGER	THREE	390	390	390	390	390	390	390	0
7	ANIMAL	THREE	390	390	390	390	390	390	390	0
8	ANNA	THREE	390	390	390	390	390	390	390	0
9	ARIEL	THREE	390	390	390	390	390	390	390	0
10	AUDREY_RAMIREZ	THREE	390	390	390	390	390	390	390	0
11	BAGHEERA	THREE	390	390	390	390	390	390	390	0
12	BALOO	THREE	390	390	390	390	390	390	390	0
13	BARLEY_LIGHTFOOT	THREE	390	390	390	390	390	390	390	0
14	BASIL	THREE	390	390	390	390	390	390	390	0
15	BAYMAX	THREE	390	390	390	390	390	390	390	0
16	BEAST	THREE	390	390	390	390	390	390	390	0
17	BELLE	THREE	390	390	390	390	390	390	390	0
18	BO_PEEP	THREE	390	390	390	390	390	390	390	0
19	BOLT	THREE	390	390	390	390	390	390	390	0
20	BOWLER_HAT_GUY	THREE	390	390	390	390	390	390	390	0
21	BUNSEN_AND_BEAKER	THREE	390	390	390	390	390	390	390	0
22	BUZZ	THREE	390	390	390	390	390	390	390	0
23	CALHOUN	THREE	390	390	390	390	390	390	390	0
24	CAPTAIN_AMELIA	THREE	390	390	390	390	390	390	390	0
25	CAPTAIN_HOOK	THREE	390	390	390	390	390	390	390	0
26	CARL	THREE	390	390	390	390	390	390	390	0
27	CHEF_SKINNER	THREE	390	390	390	390	390	390	390	0
28	CHESHIRE_CAT	THREE	390	390	390	390	390	390	390	0
29	CHIEF_BOGO	THREE	390	390	390	390	390	390	390	0
30	CHIP_AND_DALE	THREE	390	390	390	390	390	390	390	0
31	CINDERELLA	THREE	390	390	390	390	390	390	390	0
32	CLAWHAUSER	THREE	390	390	390	390	390	390	390	0
33	COGSWORTH_AND_LUMIERE	THREE	390	390	390	390	390	390	390	0
34	COLETTE	THREE	390	390	390	390	390	390	390	0
35	DAISY_DUCK	THREE	390	390	390	390	390	390	390	0
36	DANTE	THREE	390	390	390	390	390	390	390	0
