	UNIT_TYPE	DEFAULT_STAT_1	DEFAULT_STAT_2	DEFAULT_STAT_3	DEFAULT_STAT_4	DEFAULT_STAT_5
1	ABU	ARMOR_NEGATION	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE
2	AGENT_P	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	ARMOR_NEGATION	REALITY_NEGATION
3	ALADDIN	NORMAL_CRIT	EVASION	TENACITY	ARMOR_NEGATION	CRIT_DAMAGE
4	ALICE	EVASION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	REALITY_NEGATION
5	ANGEL	TENACITY	EVASION	REALITY_NEGATION	ARMOR_NEGATION	NORMAL_CRIT
6	ANGER	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	ARMOR_NEGATION
7	ANIMAL	EVASION	TENACITY	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT
8	ANNA	EVASION	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT
9	ARIEL	TENACITY	FANTASTIC_CRIT	REALITY_NEGATION	EVASION	ARMOR_NEGATION
10	AUDREY_RAMIREZ	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION	REALITY_NEGATION
11	BAGHEERA	TENACITY	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	ARMOR_NEGATION
12	BALOO	TENACITY	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE
13	BARLEY_LIGHTFOOT	NORMAL_CRIT	TENACITY	CRIT_DAMAGE	ARMOR_NEGATION	EVASION
14	BASIL	NORMAL_CRIT	ARMOR_NEGATION	TENACITY	CRIT_DAMAGE	EVASION
15	BAYMAX	NORMAL_CRIT	TENACITY	ARMOR_NEGATION	CRIT_DAMAGE	EVASION
16	BEAST	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	ARMOR_NEGATION	EVASION
17	BELLE	CRIT_DAMAGE	FANTASTIC_CRIT	EVASION	ARMOR_NEGATION	TENACITY
18	BO_PEEP	NORMAL_CRIT	TENACITY	CRIT_DAMAGE	FANTASTIC_CRIT	EVASION
19	BOLT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
20	BOWLER_HAT_GUY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
21	BUNSEN_AND_BEAKER	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
22	BUZZ	TENACITY	ARMOR_NEGATION	EVASION	NORMAL_CRIT	CRIT_DAMAGE
23	CALHOUN	TENACITY	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
24	CAPTAIN_AMELIA	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION	NORMAL_CRIT
25	CAPTAIN_HOOK	CRIT_DAMAGE	FANTASTIC_CRIT	ARMOR_NEGATION	TENACITY	REALITY_NEGATION
26	CARL	FANTASTIC_CRIT	NORMAL_CRIT	TENACITY	EVASION	REALITY_NEGATION
27	CHEF_SKINNER	NORMAL_CRIT	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	EVASION
28	CHESHIRE_CAT	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	REALITY_NEGATION
29	CHIEF_BOGO	CRIT_DAMAGE	FANTASTIC_CRIT	ARMOR_NEGATION	REALITY_NEGATION	EVASION
30	CHIP_AND_DALE	NORMAL_CRIT	ARMOR_NEGATION	EVASION	CRIT_DAMAGE	TENACITY
31	CINDERELLA	EVASION	REALITY_NEGATION	ARMOR_NEGATION	NORMAL_CRIT	TENACITY
32	CLAWHAUSER	TENACITY	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	EVASION
