	TYPE	AMOUNT	EXTRA	AFFECTS_ATTACKERS	AFFECTS_ENEMIES
1	ARMOR	50		TRUE	TRUE
1	ARMOR	150	ONLY_SUPPORT_HEROES	TRUE	TRUE
1	ARMOR	250	ONLY_SUPPORT_HEROES	TRUE	TRUE
1	ARMOR	-75		TRUE	TRUE
1	ARMOR	-80	ONLY_YELLOW_HEROES	TRUE	TRUE
1	ARMOR	-90	ONLY_YELLOW_HEROES	TRUE	TRUE
1	BASIC_ATTACK_DISABLE			TRUE	TRUE
1	BASIC_DAMAGE	75	ONLY_YELLOW_HEROES	TRUE	TRUE
1	BASIC_DAMAGE	300	ONLY_BLUE_HEROES	TRUE	TRUE
1	BASIC_DAMAGE	160		TRUE	TRUE
1	BEAR_TRAPS	4	10s	TRUE	TRUE
1	BEAR_TRAPS	4	9s	TRUE	TRUE
1	BLUE_SKILL_LEVEL	20	NEED_FRIENDSHIP	TRUE	FALSE
1	DAMAGE_VS_DPS	100	ONLY_TANK_HEROES	TRUE	TRUE
1	DAMAGE_VS_DPS	-70	ONLY_CONTROL_HEROES	TRUE	TRUE
1	DAMAGE_VS_YELLOW	80	ONLY_RED_HEROES	TRUE	TRUE
1	DAMAGE_VS_YELLOW	50	ONLY_BLUE_HEROES	TRUE	TRUE
1	ENERGY_GAIN	50		TRUE	TRUE
1	ENERGY_GAIN	25		TRUE	TRUE
1	ENERGY_GAIN	-100		TRUE	TRUE
1	ENERGY_PER_KILL	500		TRUE	TRUE
1	ENERGY_STARTING	1000		TRUE	TRUE
1	ENERGY_STARTING	600		TRUE	TRUE
1	EVASION_DISABLE			TRUE	TRUE
1	FANTASTIC_CRIT_CHANCE	-35	ONLY_DPS_HEROES	TRUE	TRUE
1	FANTASTIC_CRIT_DISABLE			TRUE	TRUE
1	FANTASTIC_DAMAGE	-25		TRUE	TRUE
1	FANTASTIC_DAMAGE	25	ONLY_DPS_HEROES	TRUE	TRUE
1	FANTASTIC_DAMAGE_DISABLE			TRUE	TRUE
1	FREEZE_DISABLE			TRUE	TRUE
1	GREEN_SKILL_LEVEL	30	ONLY_SUPPORT_HEROES	TRUE	TRUE
1	HARDY_DISABLE			TRUE	TRUE
1	INVINCIBILITY_DISABLE			TRUE	TRUE
1	INVISIBILITY_DISABLE			TRUE	TRUE
1	KNOCKBACK_MIRROR			TRUE	TRUE
1	MAX_HP	30		TRUE	TRUE
1	MAX_HP	60	ONLY_TANK_HEROES	TRUE	TRUE
1	MAX_HP	-60	ONLY_BLUE_HEROES	TRUE	TRUE
1	MAX_HP	50		TRUE	TRUE
1	MAX_HP	-20		TRUE	TRUE
1	MAX_HP	100	ONLY_TANK_HEROES	TRUE	TRUE
1	MAX_HP	300	ONLY_SUPPORT_HEROES	TRUE	TRUE
1	NORMAL_CRIT_CHANCE	25		TRUE	TRUE
1	NORMAL_CRIT_CHANCE	75		TRUE	TRUE
1	NORMAL_CRIT_DISABLE			TRUE	TRUE
1	NORMAL_DAMAGE	-80		TRUE	TRUE
1	NORMAL_DAMAGE_DISABLE			TRUE	TRUE
1	PURPLE_SKILL_LEVEL	10	ONLY_RED_HEROES	TRUE	TRUE
1	REAL_GEAR_DISABLE			TRUE	TRUE
1	REALITY	350		TRUE	TRUE
1	REALITY	175		TRUE	TRUE
1	REALITY	400	ONLY_DPS_HEROES	TRUE	TRUE
1	REVERSE_SORT_ORDER			TRUE	TRUE
1	SAP_EFFECTIVENESS	100		TRUE	TRUE
1	SAP_EFFECTIVENESS	75		TRUE	TRUE
1	SCARE_DISABLE			TRUE	TRUE
1	SKILL_POWER	50		TRUE	TRUE
1	SKILL_POWER	100		TRUE	TRUE
1	SKILL_POWER	125		TRUE	TRUE
1	SKILL_POWER	-95	ONLY_YELLOW_HEROES	TRUE	TRUE
1	SKILL_POWER	-90	ONLY_DPS_HEROES	TRUE	TRUE
1	SKILL_POWER	225	ONLY_CONTROL_HEROES	TRUE	TRUE
1	SKILL_POWER	50	ONLY_RED_HEROES	TRUE	TRUE
1	SKILL_POWER	75	ONLY_DPS_HEROES	TRUE	TRUE
1	START_COMBAT_HEXED		12s	TRUE	TRUE
1	START_COMBAT_HEXED		7s	TRUE	TRUE
1	START_COMBAT_MOVEMENT_SPEED	-50	7s	TRUE	TRUE
1	START_COMBAT_MOVEMENT_SPEED	100	12s	TRUE	TRUE
1	START_COMBAT_SAPPED		10s	TRUE	TRUE
1	START_COMBAT_SAPPED		7s	TRUE	TRUE
1	START_COMBAT_SCARED		15s	TRUE	TRUE
1	START_COMBAT_STUDIED		10s	TRUE	TRUE
1	START_COMBAT_STUDIED		13s	TRUE	TRUE
1	STUDY_DISABLE			TRUE	TRUE
1	TENACITY_DISABLE			TRUE	TRUE
1	WHITE_SKILL_LEVEL	20		TRUE	TRUE
1	WHITE_SKILL_LEVEL	-30		TRUE	TRUE
