	EASY_HEROES
>	ALADDIN
>	ALICE
>	ANGER
>	ANIMAL
>	BAYMAX
>	BEAST
>	BO_PEEP
>	BUZZ
>	CALHOUN
>	CAPTAIN_HOOK
>	CHIEF_BOGO
>	DARKWING_DUCK
>	DASH
>	DONALD_DUCK
>	DUCKY_AND_BUNNY
>	DUKE_CABOOM
>	ELASTIGIRL
>	EMPEROR_ZURG
>	EVE
>	FELIX
>	FINNICK
>	FROZONE
>	GASTON
>	GENIE
>	GIZMODUCK
>	GONZO
>	GOOFY
>	HADES
>	HECTOR_BARBOSSA
>	HERCULES
>	HIRO
>	HUEY_DEWEY_LOUIE
>	JACK_JACK
>	JACK_SKELLINGTON
>	JACK_SPARROW
>	JAFAR
>	JASMINE
>	JESSIE
>	JOY
>	JUDY_HOPPS
>	KEVIN_FLYNN
>	MAD_HATTER
>	MALEFICENT
>	MAUI
>	MEGARA
>	MEGAVOLT
>	MERIDA
>	MERLIN
>	MICKEY_MOUSE
>	MIGUEL
>	MIKE
>	MISS_PIGGY
>	MOANA
>	MR_INCREDIBLE
>	NICK_WILDE
>	OLAF
>	OOGIE_BOOGIE
>	PETER_PAN
>	QUEEN_OF_HEARTS
>	QUORRA
>	RAFIKI
>	RALPH
>	RANDALL_BOGGS
>	REX
>	SALLY
>	SCAR
>	STITCH
>	SULLEY
>	URSULA
>	VANELLOPE
>	VIOLET
>	WALL_E
>	WOODY
>	YAX
>	YZMA
