	TIER	DIVISION	MIN_POS	MAX_POS	DIAMONDS	GOLD	TOKENS	ITEM_REWARDS
>	CHALLENGER	0	1	1	500	0	800	2 EXP_ULTRA,2 EXP_VIAL
>	CHALLENGER	0	2	2	450	0	775	1 EXP_ULTRA,4 EXP_NITRO,1 EXP_VIAL,2 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	0	3	3	400	0	750	1 EXP_ULTRA,1 EXP_NITRO,1 EXP_VIAL,3 EXP_FLASK
>	CHALLENGER	0	4	5	350	0	725	6 EXP_NITRO,3 EXP_DECANTER,4 EXP_VIAL,3 EXP_PHILTER
>	CHALLENGER	0	6	10	300	0	700	5 EXP_NITRO,2 EXP_VIAL,1 EXP_PHILTER
>	CHALLENGER	0	11	25	250	0	650	3 EXP_NITRO,4 EXP_DECANTER,2 EXP_PHILTER
>	CHALLENGER	0	26	50	200	0	600	2 EXP_NITRO,4 EXP_DECANTER,1 EXP_VIAL,2 EXP_PHILTER,3 EXP_FLASK
>	CHALLENGER	0	51	999	150	0	550	2 EXP_NITRO,3 EXP_VIAL,3 EXP_PHILTER,1 EXP_FLASK
>	CHALLENGER	1	1	1	1000	0	1600	803 EXP_ULTRA,6 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	1	2	2	950	0	1500	643 EXP_ULTRA,1 EXP_DECANTER
>	CHALLENGER	1	3	3	900	0	1400	614 EXP_ULTRA,4 EXP_DECANTER
>	CHALLENGER	1	4	5	850	0	1300	583 EXP_ULTRA,3 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	1	6	10	800	0	1250	554 EXP_ULTRA,1 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	1	11	20	750	0	1200	526 EXP_ULTRA,4 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	1	21	999	700	0	1150	475 EXP_ULTRA,1 EXP_NITRO,3 EXP_DECANTER
>	CHALLENGER	2	1	1	700	0	1150	451 EXP_ULTRA,3 EXP_NITRO,2 EXP_DECANTER,1 EXP_VIAL,3 EXP_PHILTER
>	CHALLENGER	2	2	2	675	0	1100	428 EXP_ULTRA,6 EXP_NITRO,4 EXP_DECANTER
>	CHALLENGER	2	3	3	650	0	1075	409 EXP_ULTRA,4 EXP_NITRO,2 EXP_DECANTER
>	CHALLENGER	2	4	5	625	0	1050	389 EXP_ULTRA,4 EXP_DECANTER
>	CHALLENGER	2	6	10	600	0	1025	369 EXP_ULTRA,5 EXP_NITRO
>	CHALLENGER	2	11	20	575	0	1000	351 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	2	21	999	550	0	980	316 EXP_ULTRA,7 EXP_NITRO,2 EXP_DECANTER,1 EXP_VIAL
>	CHALLENGER	3	1	1	550	0	980	301 EXP_ULTRA,4 EXP_DECANTER
>	CHALLENGER	3	2	2	525	0	930	286 EXP_ULTRA,1 EXP_DECANTER
>	CHALLENGER	3	3	3	500	0	880	273 EXP_ULTRA,1 EXP_NITRO,1 EXP_DECANTER
>	CHALLENGER	3	4	5	475	0	840	259 EXP_ULTRA,4 EXP_NITRO
