	AFFECTED_SHARDS	FIGHT_SCORING_BONUSES	RULES	FEATURED_HEROES_USED
2020-02-15	1	HEROES_REMAINING, DAMAGE_DEALT_TO_FROZEN	D7 MAX_HP +30, D5 MAX_HP +60 ONLY_TANK_HEROES, D3 FANTASTIC_DAMAGE -25, D1 BASIC_DAMAGE +75 ONLY_YELLOW_HEROES	
2020-02-15	2	HP_REMAINING, HEALING_DONE	D7 SKILL_POWER +50, D5 ARMOR +50, D3 NORMAL_CRIT_DISABLE, D1 BLUE_SKILL_LEVEL +20 NEED_FRIENDSHIP	
2020-03-15		DAMAGE_DEALT_NORMAL, KNOCKBACKS	D7 NORMAL_CRIT_CHANCE +25, D5 MAX_HP -60 ONLY_BLUE_HEROES, D3 PURPLE_SKILL_LEVEL +10 ONLY_RED_HEROES, D1 RED_MOD_STAT +15	
2020-04-15		DAMAGE_DEALT_TO_STUNNED, HEALING_PREVENTED, TIME_REMAINING	D7 MAX_HP +50, D5 SCARE_DISABLE, D3 ARMOR +150 ONLY_SUPPORT_HEROES, D1 BASIC_ATTACK_DISABLE	
2020-05-15		ATTACKS_PREVENTED_BY_BLIND, HP_REMAINING, TIME_REMAINING	D7 FANTASTIC_CRIT_DISABLE, D5 TENACITY_DISABLE, D3 SKILL_POWER +100, D1 HP_MOD_STAT +75	
2020-06-15		DAMAGE_DEALT_TO_SILENCED, DAMAGE_DEALT_FANTASTIC, TIME_REMAINING	D7 MAX_HP -20, D5 WHITE_SKILL_LEVEL +20, D3 ENERGY_GAIN +50, D1 SKILL_POWER +125	
2020-07-01		DAMAGE_DEALT_BY_CHARMED, HEALING_PREVENTED, TIME_REMAINING	D7 INVISIBILITY_DISABLE, D5 FREEZE_DISABLE, D3 REAL_GEAR_DISABLE, D1 ARMOR -75	
2020-08-11		KNOCKBACKS, DAMAGE_DEALT_TO_STUDIED, TIME_REMAINING	D7 REALITY +350, D5 KNOCKBACK_MIRROR, D3 SKILL_POWER -95 ONLY_YELLOW_HEROES, D1 INVINCIBILITY_DISABLE	
2020-09-03		DAMAGE_DEALT_BY_DOTS, HEALING_DONE, TIME_REMAINING_ALT	D7 NORMAL_CRIT_DISABLE, D5 ENERGY_GAIN 25, D3 SKILL_POWER -90 ONLY_DPS_HEROES, D1 SAP_EFFECTIVENESS 100	
2020-10-05		DAMAGE_DEALT_TO_STUNNED, HP_REMAINING, TIME_REMAINING_ALT	D7 START_COMBAT_SCARED 15s, D5 MAX_HP +100 ONLY_TANK_HEROES, D3 ARMOR +250 ONLY_SUPPORT_HEROES, D1 BASIC_ATTACK_DISABLE	
