	REQUIRED_GUILD_LEVEL
RALPH-WHITE	1
RALPH-GREEN	1
RALPH-BLUE	1
RALPH-PURPLE	1
VANELLOPE-WHITE	1
VANELLOPE-GREEN	1
VANELLOPE-BLUE	1
VANELLOPE-PURPLE	1
ELASTIGIRL-WHITE	1
ELASTIGIRL-GREEN	1
ELASTIGIRL-BLUE	1
ELASTIGIRL-PURPLE	1
FROZONE-WHITE	1
FROZONE-GREEN	1
FROZONE-BLUE	1
FROZONE-PURPLE	1
YAX-WHITE	1
YAX-GREEN	1
YAX-BLUE	1
YAX-PURPLE	1
FELIX-WHITE	2
FELIX-GREEN	2
FELIX-BLUE	2
FELIX-PURPLE	2
NICK_WILDE-WHITE	2
NICK_WILDE-GREEN	2
NICK_WILDE-BLUE	2
NICK_WILDE-PURPLE	2
FINNICK-WHITE	2
FINNICK-GREEN	2
FINNICK-BLUE	2
FINNICK-PURPLE	2
DASH-WHITE	2
DASH-GREEN	2
DASH-BLUE	2
DASH-PURPLE	2
VIOLET-WHITE	2
VIOLET-GREEN	2
VIOLET-BLUE	2
VIOLET-PURPLE	2
JUDY_HOPPS-WHITE	3
JUDY_HOPPS-GREEN	3
JUDY_HOPPS-BLUE	3
JUDY_HOPPS-PURPLE	3
CALHOUN-WHITE	3
CALHOUN-GREEN	3
CALHOUN-BLUE	3
CALHOUN-PURPLE	3
MR_INCREDIBLE-WHITE	3
MR_INCREDIBLE-GREEN	3
MR_INCREDIBLE-BLUE	3
MR_INCREDIBLE-PURPLE	3
JACK_JACK-WHITE	3
JACK_JACK-GREEN	3
JACK_JACK-BLUE	3
JACK_JACK-PURPLE	3
CHIEF_BOGO-WHITE	3
CHIEF_BOGO-GREEN	3
CHIEF_BOGO-BLUE	3
CHIEF_BOGO-PURPLE	3
EMPEROR_ZURG-WHITE	4
EMPEROR_ZURG-GREEN	4
EMPEROR_ZURG-BLUE	4
EMPEROR_ZURG-PURPLE	4
WOODY-WHITE	4
WOODY-GREEN	4
WOODY-BLUE	4
WOODY-PURPLE	4
REX-WHITE	4
REX-GREEN	4
REX-BLUE	4
REX-PURPLE	4
DARKWING_DUCK-WHITE	4
DARKWING_DUCK-GREEN	4
DARKWING_DUCK-BLUE	4
DARKWING_DUCK-PURPLE	4
EVE-WHITE	4
EVE-GREEN	4
EVE-BLUE	4
EVE-PURPLE	4
GENIE-WHITE	5
GENIE-GREEN	5
GENIE-BLUE	5
GENIE-PURPLE	5
JAFAR-WHITE	5
JAFAR-GREEN	5
JAFAR-BLUE	5
JAFAR-PURPLE	5
JASMINE-WHITE	5
JASMINE-GREEN	5
JASMINE-BLUE	5
JASMINE-PURPLE	5
MIGUEL-WHITE	5
MIGUEL-GREEN	5
MIGUEL-BLUE	5
MIGUEL-PURPLE	5
ALADDIN-WHITE	5
ALADDIN-GREEN	5
ALADDIN-BLUE	5
ALADDIN-PURPLE	5
