	VALUE
BASE_INFLUENCE_CAP	100,000
STAMINA_BURN_INFLUENCE_MULT	1
SMALL_TROPHY_INFLUENCE	200
MEDIUM_TROPHY_INFLUENCE	1,000
LARGE_TROPHY_INFLUENCE	5,000
XL_TROPHY_INFLUENCE	25,000
NAME_CHANGE_INFLUENCE_COST	100,000
WEEKLY_GUILD_PERK_TIME	MONDAY
KICK_BLOCK_TIME	30 d
HELP_REQUEST_GENERATION_INTERVAL	20 h
HELP_REQUEST_DURATION	24 h
DONATIONS_PER_HELP_REQUEST	5
MAX_DONATIONS_PER_USER_PER_HELP_REQUEST	1
STAMINA_HELP_AMOUNT	1 + (L > 100) + (L > 125)
STAMINA_HELP_CAP_OFFSET	10
SKILL_LEVEL_HELP_CAP_OFFSET	10
HERO_XP_HELP_CAP_OFFSET	10
HERO_XP_DONATION_MAX_QTY	4
PAYER_ACTIVITY_VALUE	25
POSTS_ACTIVITY_VALUE	10
LOGIN_ACTIVITY_VALUE	1
LOGIN_HIDE_THRESHOLD	14
