	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
GL1:1	-1	0	1	1
GL1_STAMINA_STORAGE:1	20,000	0	1	5
GL1_STAMINA_STORAGE:2	40,000	0	1	10
GL1_STAMINA_STORAGE:3	150,000	0	1	15
GL1_STAMINA_STORAGE:4	400,000	0	1	20
GL1_STAMINA_STORAGE:5	500,000	1	1	40
GL1_STAMINA_STORAGE:6	600,000	1	1	80
GL1_STAMINA_STORAGE:7	700,000	1	1	120
GL1_STAMINA_STORAGE:8	800,000	1	1	180
GL1_STAMINA_STORAGE:9	900,000	1	1	250
GL1_STAMINA_STORAGE:10	1,000,000	1	1	350
GL1_STAMINA_STORAGE:11	1,100,000	1	1	450
GL1_STAMINA_STORAGE:12	1,200,000	1	1	550
GL1_STAMINA_STORAGE:13	1,300,000	1	400	650
GL1_STAMINA_STORAGE:14	1,400,000	1	415	750
GL1_STAMINA_STORAGE:15	1,500,000	1	430	850
GL1_STAMINA_STORAGE:16	1,600,000	1	455	950
GL1_STAMINA_STORAGE:17	1,700,000	1	470	1,050
GL1_STAMINA_STORAGE:18	1,800,000	1	485	1,150
GL1_STAMINA_STORAGE:19	1,900,000	1	500	1,250
GL1_STAMINA_STORAGE:20	300,000,000	6	510	2,000,000
GL1_STAMINA_STORAGE:21	350,000,000	6	520	2,250,000
GL1_STAMINA_STORAGE:22	400,000,000	6	530	2,500,000
GL1_STAMINA_STORAGE:23	450,000,000	6	540	2,750,000
GL1_STAMINA_STORAGE:24	500,000,000	6	550	3,000,000
GL1_STAMINA_STORAGE:25	550,000,000	6	560	3,250,000
GL1_STAMINA_STORAGE:26	600,000,000	6	570	3,500,000
GL1_STAMINA_STORAGE:27	650,000,000	6	580	3,750,000
GL1_STAMINA_STORAGE:28	700,000,000	6	590	4,000,000
GL1_STAMINA_STORAGE:29	750,000,000	6	600	4,250,000
GL1_STAMINA_STORAGE:30	800,000,000	6	610	4,500,000
GL1_SKILL_POINT_STORAGE:1	30,000	0	1	1
GL1_SKILL_POINT_STORAGE:2	50,000	0	1	2
GL1_SKILL_POINT_STORAGE:3	200,000	0	1	3
GL1_SKILL_POINT_STORAGE:4	500,000	0	1	4
GL1_SKILL_POINT_STORAGE:5	500,000	1	1	6
GL1_SKILL_POINT_STORAGE:6	600,000	1	1	10
GL1_SKILL_POINT_STORAGE:7	750,000	1	1	14
GL1_SKILL_POINT_STORAGE:8	900,000	1	1	18
GL1_SKILL_POINT_STORAGE:9	1,050,000	1	1	24
GL1_SKILL_POINT_STORAGE:10	1,200,000	1	1	30
GL1_SKILL_POINT_STORAGE:11	1,350,000	1	410	40
GL1_SKILL_POINT_STORAGE:12	1,500,000	1	425	50
GL1_SKILL_POINT_STORAGE:13	1,650,000	1	450	60
GL1_SKILL_POINT_STORAGE:14	1,800,000	1	475	70
GL1_SKILL_POINT_STORAGE:15	1,950,000	1	500	80
GDC_A:1	25,000	0	1	10
GDC_B:1	35,000	0	1	12
GDC_C:1	50,000	0	1	15
GDC_D:1	75,000	0	1	20
GDC_E:1	100,000	0	1	25
GDC_F:1	125,000	0	1	30
GDC_G:1	150,000	0	1	35
GDC_H:1	200,000	0	1	40
GDC_I:1	300,000	0	1	50
GDC_STAMINA_A:1	150,000	0	1	10
GDC_STAMINA_A:2	325,000	0	1	20
GDC_STAMINA_A:3	1,000,000	3	1	30
GDC_STAMINA_A:4	1,100,000	3	1	40
GDC_STAMINA_A:5	1,200,000	3	1	50
GDC_STAMINA_A:6	1,300,000	3	1	60
GDC_STAMINA_A:7	1,400,000	3	1	70
GDC_STAMINA_A:8	1,500,000	3	1	80
GDC_STAMINA_A:9	1,600,000	3	1	90
GDC_STAMINA_A:10	1,700,000	3	1	100
GDC_STAMINA_A:11	4,050,000	3	425	100,000
GDC_STAMINA_A:12	4,500,000	3	430	110,000
GDC_STAMINA_A:13	5,000,000	3	435	121,000
GDC_STAMINA_A:14	5,500,000	3	440	133,000
GDC_STAMINA_A:15	6,100,000	3	445	146,000
GDC_STAMINA_A:16	6,700,000	3	450	161,000
GDC_STAMINA_A:17	7,400,000	3	455	177,000
GDC_STAMINA_A:18	8,100,000	3	460	195,000
GDC_STAMINA_A:19	8,900,000	3	465	215,000
GDC_STAMINA_A:20	9,800,000	3	470	237,000
GDC_STAMINA_A:21	10,800,000	3	475	261,000
GDC_STAMINA_A:22	11,900,000	3	480	287,000
GDC_STAMINA_A:23	13,100,000	3	485	316,000
GDC_STAMINA_A:24	14,400,000	3	490	348,000
GDC_STAMINA_A:25	15,800,000	3	495	383,000
GDC_STAMINA_A:26	17,400,000	3	500	421,000
GDC_STAMINA_A:27	19,100,000	3	505	463,000
GDC_STAMINA_A:28	21,000,000	3	510	509,000
GDC_STAMINA_A:29	23,100,000	3	515	560,000
GDC_STAMINA_A:30	25,400,000	3	520	616,000
GDC_STAMINA_A:31	27,900,000	3	525	678,000
GDC_STAMINA_A:32	30,700,000	3	530	746,000
GDC_STAMINA_A:33	33,800,000	3	535	821,000
GDC_STAMINA_A:34	37,200,000	3	540	903,000
GDC_STAMINA_A:35	40,900,000	3	545	993,000
GDC_STAMINA_A:36	45,000,000	3	550	1,092,000
GDC_STAMINA_A:37	49,500,000	3	555	1,201,000
GDC_STAMINA_A:38	54,500,000	3	560	1,321,000
GDC_STAMINA_A:39	60,000,000	3	565	1,453,000
GDC_STAMINA_A:40	66,000,000	3	570	1,598,000
GDC_STAMINA_A:41	72,600,000	3	575	1,758,000
GDC_STAMINA_A:42	79,900,000	3	580	1,934,000
GDC_STAMINA_A:43	87,900,000	3	585	2,127,000
GDC_STAMINA_A:44	96,700,000	3	590	2,340,000
GDC_STAMINA_A:45	106,400,000	3	595	2,574,000
GDC_STAMINA_A:46	117,000,000	3	600	2,831,000
GDC_STAMINA_A:47	128,700,000	3	605	3,114,000
GDC_STAMINA_A:48	141,600,000	3	610	3,425,000
GDC_STAMINA_A:49	155,800,000	3	615	3,768,000
GDC_STAMINA_A:50	171,400,000	3	620	4,145,000
GDC_STAMINA_A:51	188,500,000	3	625	4,560,000
GDC_STAMINA_B:1	100,000	0	1	10
GDC_STAMINA_B:2	250,000	0	1	20
GDC_STAMINA_B:3	800,000	3	1	30
GDC_STAMINA_B:4	1,200,000	3	1	200
GDC_STAMINA_B:5	1,600,000	3	1	400
GDC_STAMINA_B:6	28,575,000	3	425	750,000
GDC_STAMINA_B:7	31,400,000	3	430	830,000
GDC_STAMINA_B:8	34,500,000	3	435	910,000
GDC_STAMINA_B:9	38,000,000	3	440	1,000,000
GDC_STAMINA_B:10	41,800,000	3	445	1,100,000
GDC_STAMINA_B:11	46,000,000	3	450	1,210,000
GDC_STAMINA_B:12	50,600,000	3	455	1,330,000
GDC_STAMINA_B:13	55,700,000	3	460	1,460,000
GDC_STAMINA_B:14	61,300,000	3	465	1,610,000
GDC_STAMINA_B:15	67,400,000	3	470	1,770,000
