	PAGE	PREREQ_PERK_1	PREREQ_PERK_2	RESOURCE_TYPE
GUILD_LEVEL_1				GUILD_INFLUENCE
GUILD_LEVEL_2	GUILD_LEVEL_1	GL1_SKILL_POINT_STORAGE		GUILD_INFLUENCE
GUILD_LEVEL_3	WAR	WAR_BONUS_TOKENS		GUILD_INFLUENCE
DAILY_CHECK_IN_1	GUILD_LEVEL_1	GL1_STAMINA_STORAGE		GUILD_INFLUENCE
DAILY_CHECK_IN_2	DAILY_CHECK_IN_1	GDC_E		GUILD_INFLUENCE
CRYPT_1	GUILD_LEVEL_1	GL1_SKILL_POINT_STORAGE		GUILD_INFLUENCE
CRYPT_2	CRYPT_1	CRYPT_DIFFICULTY_D		GUILD_INFLUENCE
MERCENARIES	GUILD_LEVEL_2	GL2_FRIEND_STAMINA_GENERATION		GUILD_INFLUENCE
MERCENARIES_2	MERCENARIES	MERC_SLOTS_D		GUILD_INFLUENCE
MERCHANTS_1	GUILD_LEVEL_2	GL2_FRIEND_STAMINA_STORAGE		GUILD_INFLUENCE
MERCHANTS_2	MERCHANTS_1	SHOP_SLOTS_EXPEDITION	SHOP_SLOTS_FIGHT_PIT	GUILD_INFLUENCE
MERCHANTS_3	MERCHANTS_2	SHOP_SLOTS_BLACK_MARKET	SHOP_SLOTS_COLISEUM	GUILD_INFLUENCE
MERCHANTS_4	MERCHANTS_3	SHOP_SLOTS_CHALLENGES	SHOP_SLOTS_MEMORY	GUILD_INFLUENCE
MERCHANTS_5	MERCHANTS_4	SHOP_SLOTS_HEIST	SHOP_SLOTS_WAR	GUILD_INFLUENCE
EXPEDITION	GUILD_LEVEL_3	GL3_SKILL_UPGRADE_DISCOUNT		GUILD_INFLUENCE
WAR	GUILD_LEVEL_2	GL2_INFLUENCE_STORAGE		GUILD_INFLUENCE
WAR_CAR_SIZE	WAR	WAR_BONUS_GOLD		GUILD_INFLUENCE
WAR_CAR_BONUSES	WAR	WAR_BONUS_DISK_POWER		GUILD_INFLUENCE
GUILD_CONTESTS				GUILD_CONTEST_POINTS
HEIST	GUILD_LEVEL_3	GL3_TEAM_XP_CATCH_UP		GUILD_INFLUENCE
GUILD_LEVEL_4	GUILD_LEVEL_3	GL3_INFLUENCE_STORAGE		GUILD_INFLUENCE
INVASION	GUILD_LEVEL_4	GL4_EXTRA_TRIAL_CHANCES		GUILD_INFLUENCE
GUILD_LEVEL_5	GUILD_LEVEL_4	INVASION_BOSS_QUICK_FIGHT		GUILD_INFLUENCE
CONSUMABLES	GUILD_LEVEL_5	GL5_EXTRA_ELITE_CHANCES		GUILD_INFLUENCE
GUILD_LEVEL_6	GUILD_LEVEL_5	GL5_EXTRA_ELITE_CHANCES		GUILD_INFLUENCE
CONSUMABLES_2	GUILD_LEVEL_6	GL6		GUILD_INFLUENCE
