	PAGE	PREREQ_PERK_1	PREREQ_PERK_2	SNAPSHOT_BYTE	SNAPSHOT_SHIFT	SNAPSHOT_BITS
GL1	GUILD_LEVEL_1			0	0	1
GL1_STAMINA_STORAGE	GUILD_LEVEL_1	GL1		33	0	8
GL1_SKILL_POINT_STORAGE	GUILD_LEVEL_1	GL1_STAMINA_STORAGE		32	0	8
GDC_A	DAILY_CHECK_IN_1	GL1_STAMINA_STORAGE		1	0	1
GDC_B	DAILY_CHECK_IN_1	GDC_A		1	1	1
GDC_C	DAILY_CHECK_IN_1	GDC_B		1	2	1
GDC_D	DAILY_CHECK_IN_1	GDC_C		1	3	1
GDC_E	DAILY_CHECK_IN_1	GDC_D		1	4	1
GDC_F	DAILY_CHECK_IN_2	GDC_E		1	5	1
GDC_G	DAILY_CHECK_IN_2	GDC_F		1	6	1
GDC_H	DAILY_CHECK_IN_2	GDC_G		1	7	1
GDC_I	DAILY_CHECK_IN_2	GDC_H		2	0	1
GDC_STAMINA_A	DAILY_CHECK_IN_1	GDC_A		51	0	8
GDC_STAMINA_B	DAILY_CHECK_IN_2	GDC_H		52	0	8
GDC_DIAMONDS_A	DAILY_CHECK_IN_2	GDC_F		6	0	2
GDC_DIAMONDS_B	DAILY_CHECK_IN_2	GDC_I		6	2	2
CRYPT_DIFFICULTY_A	CRYPT_1	GL1_SKILL_POINT_STORAGE		2	1	1
CRYPT_DIFFICULTY_B	CRYPT_1	CRYPT_DIFFICULTY_A		2	2	1
CRYPT_DIFFICULTY_C	CRYPT_1	CRYPT_DIFFICULTY_B		2	3	1
CRYPT_DIFFICULTY_D	CRYPT_1	CRYPT_DIFFICULTY_C		2	4	1
CRYPT_DIFFICULTY_E	CRYPT_2	CRYPT_DIFFICULTY_D		2	5	1
CRYPT_DIFFICULTY_F	CRYPT_2	CRYPT_DIFFICULTY_E		2	6	1
CRYPT_ATTACK_BONUS	CRYPT_1	CRYPT_DIFFICULTY_D		7	0	3
CRYPT_SKILL_POWER_BONUS	CRYPT_1	CRYPT_DIFFICULTY_C		7	3	3
CRYPT_MAX_HP_BONUS	CRYPT_1	CRYPT_DIFFICULTY_B		8	0	3
CRYPT_MAX_RAIDS_BONUS	CRYPT_1	CRYPT_DIFFICULTY_A		8	3	3
GL2	GUILD_LEVEL_2	GL1_SKILL_POINT_STORAGE		0	1	1
GL2_INFLUENCE_STORAGE	GUILD_LEVEL_2	GL2		34	0	8
GL2_IMPROVED_CHEST	GUILD_LEVEL_2	GL2_INFLUENCE_STORAGE		3	0	1
GL2_SOCIAL_BUCKS_STORAGE	GUILD_LEVEL_2	GL2		10	0	3
GL2_FRIEND_STAMINA_STORAGE	GUILD_LEVEL_2	GL2_SOCIAL_BUCKS_STORAGE		10	3	3
GL2_FRIEND_STAMINA_GENERATION	GUILD_LEVEL_2	GL2_SKILL_POINT_GENERATION		11	0	3
GL2_SKILL_POINT_GENERATION	GUILD_LEVEL_2	GL2		11	3	3
MERC_SLOTS_A	MERCENARIES	GL2_FRIEND_STAMINA_GENERATION		3	1	1
MERC_SLOTS_B	MERCENARIES	MERC_SLOTS_A		3	2	1
MERC_SLOTS_C	MERCENARIES	MERC_SLOTS_B		3	3	1
MERC_SLOTS_D	MERCENARIES	MERC_SLOTS_C		3	4	1
MERC_SLOTS_E	MERCENARIES	MERC_SLOTS_D		3	5	1
MERC_MAX_HP_BONUS	MERCENARIES	MERC_SLOTS_A		12	0	3
MERC_SKILL_POWER_BONUS	MERCENARIES	MERC_SLOTS_B		13	0	3
MERC_ATTACK_BONUS	MERCENARIES	MERC_SLOTS_C		12	3	3
SHOP_SLOTS_NORMAL	MERCHANTS_1	GL2_FRIEND_STAMINA_STORAGE		11	6	2
SHOP_DISCOUNT_NORMAL	MERCHANTS_1	SHOP_SLOTS_NORMAL		12	6	2
SHOP_SLOTS_EXPEDITION	MERCHANTS_1	SHOP_SLOTS_NORMAL		13	3	2
SHOP_DISCOUNT_EXPEDITION	MERCHANTS_1	SHOP_SLOTS_EXPEDITION		13	5	3
SHOP_SLOTS_FIGHT_PIT	MERCHANTS_1	SHOP_SLOTS_NORMAL		20	6	2
SHOP_DISCOUNT_FIGHT_PIT	MERCHANTS_1	SHOP_SLOTS_FIGHT_PIT		25	5	3
SHOP_SLOTS_CRYPT	MERCHANTS_2	SHOP_SLOTS_EXPEDITION	SHOP_SLOTS_FIGHT_PIT	25	3	2
SHOP_DISCOUNT_CRYPT	MERCHANTS_2	SHOP_SLOTS_CRYPT		25	0	3
SHOP_SLOTS_BLACK_MARKET	MERCHANTS_2	SHOP_SLOTS_CRYPT		14	6	2
SHOP_DISCOUNT_BLACK_MARKET	MERCHANTS_2	SHOP_SLOTS_BLACK_MARKET		15	6	2
SHOP_SLOTS_COLISEUM	MERCHANTS_2	SHOP_SLOTS_CRYPT		21	6	2
SHOP_DISCOUNT_COLISEUM	MERCHANTS_2	SHOP_SLOTS_COLISEUM		21	3	3
SHOP_SLOTS_MEGA_MART	MERCHANTS_3	SHOP_SLOTS_BLACK_MARKET	SHOP_SLOTS_COLISEUM	16	6	2
SHOP_DISCOUNT_MEGA_MART	MERCHANTS_3	SHOP_SLOTS_MEGA_MART		17	6	2
SHOP_SLOTS_CHALLENGES	MERCHANTS_3	SHOP_SLOTS_MEGA_MART		18	6	2
SHOP_DISCOUNT_CHALLENGES	MERCHANTS_3	SHOP_SLOTS_CHALLENGES		26	0	2
SHOP_SLOTS_MEMORY	MERCHANTS_3	SHOP_SLOTS_MEGA_MART		23	6	2
SHOP_DISCOUNT_MEMORY	MERCHANTS_3	SHOP_SLOTS_MEMORY		24	6	2
SHOP_SLOTS_GEAR	MERCHANTS_4	SHOP_SLOTS_CHALLENGES	SHOP_SLOTS_MEMORY	26	2	2
SHOP_DISCOUNT_GEAR	MERCHANTS_4	SHOP_SLOTS_GEAR		26	4	2
SHOP_SLOTS_WAR	MERCHANTS_4	SHOP_SLOTS_GEAR		22	3	2
SHOP_DISCOUNT_WAR	MERCHANTS_4	SHOP_SLOTS_WAR		22	0	3
SHOP_SLOTS_HEIST	MERCHANTS_4	SHOP_SLOTS_GEAR		19	3	2
SHOP_DISCOUNT_HEIST	MERCHANTS_4	SHOP_SLOTS_HEIST		19	0	3
SHOP_DISCOUNT_INVASION	MERCHANTS_5	SHOP_SLOTS_HEIST	SHOP_SLOTS_WAR	26	6	2
GL3	GUILD_LEVEL_3	WAR_BONUS_TOKENS		0	2	1
GL3_SKILL_UPGRADE_DISCOUNT	GUILD_LEVEL_3	GL3_DIAMOND_CRATE_GOLD		35	0	8
GL3_INFLUENCE_STORAGE	GUILD_LEVEL_3	GL3_FIGHT_PIT_CHANCES	GL3_DIAMOND_CRATE_GOLD	38	0	8
GL3_FIGHT_PIT_CHANCES	GUILD_LEVEL_3	GL3		10	6	2
MERC_SLOTS_F	MERCENARIES_2	MERC_SLOTS_E		3	6	1
MERC_SLOTS_G	MERCENARIES_2	MERC_REDUCE_HIRE_COST	MERC_HIRE_ABOVE_LEVEL	3	7	1
MERC_REDUCE_HIRE_COST	MERCENARIES_2	MERC_SLOTS_F		47	0	8
MERC_HIRE_ABOVE_LEVEL	MERCENARIES_2	MERC_SLOTS_F		9	6	2
EXPEDITION_MAX_HP_BONUS	EXPEDITION	GL3_SKILL_UPGRADE_DISCOUNT		9	0	2
EXPEDITION_ATTACK_BONUS	EXPEDITION	EXPEDITION_MAX_HP_BONUS		9	4	2
EXPEDITION_SKILL_POWER_BONUS	EXPEDITION	EXPEDITION_MAX_HP_BONUS		9	2	2
EXPEDITION_REPLACEMENT_MERC	EXPEDITION	EXPEDITION_MAX_HP_BONUS		5	3	3
EXPEDITION_BANK_RESETS	EXPEDITION	EXPEDITION_MAX_HP_BONUS		2	7	1
GL3_DIAMOND_CRATE_GOLD	GUILD_LEVEL_3	GL3		36	0	8
GL3_TEAM_XP_CATCH_UP	GUILD_LEVEL_3	GL3_FIGHT_PIT_CHANCES		37	0	8
WAR_EXTRA_ATTACKS_A	WAR	GL2_INFLUENCE_STORAGE		27	6	2
WAR_BONUS_GOLD	WAR	WAR_EXTRA_ATTACKS_A		27	0	2
WAR_BONUS_DISK_POWER	WAR	WAR_EXTRA_ATTACKS_A		27	2	2
WAR_BONUS_TOKENS	WAR	WAR_EXTRA_ATTACKS_A		27	4	2
WAR_CAR_SIZE_1	WAR_CAR_SIZE	WAR_BONUS_GOLD		14	0	3
WAR_CAR_SIZE_2	WAR_CAR_SIZE	WAR_CAR_SIZE_1		14	3	3
WAR_CAR_SIZE_3	WAR_CAR_SIZE	WAR_CAR_SIZE_2		15	0	3
WAR_CAR_SIZE_4	WAR_CAR_SIZE	WAR_CAR_SIZE_1		15	3	3
WAR_CAR_SIZE_5	WAR_CAR_SIZE	WAR_CAR_SIZE_4		16	0	3
WAR_CAR_SIZE_6	WAR_CAR_SIZE	WAR_CAR_SIZE_5		16	3	3
WAR_CAR_SIZE_7	WAR_CAR_SIZE	WAR_CAR_SIZE_4		17	0	3
WAR_CAR_SIZE_8	WAR_CAR_SIZE	WAR_CAR_SIZE_7		17	3	3
WAR_CAR_SIZE_9	WAR_CAR_SIZE	WAR_CAR_SIZE_8		18	0	3
WAR_EXTRA_ATTACKS_B	WAR_CAR_SIZE	WAR_CAR_SIZE_9		28	0	2
WAR_CAR_BONUS_1	WAR_CAR_BONUSES	WAR_BONUS_DISK_POWER		53	0	8
WAR_CAR_BONUS_2	WAR_CAR_BONUSES	WAR_CAR_BONUS_1		54	0	8
WAR_CAR_BONUS_3	WAR_CAR_BONUSES	WAR_CAR_BONUS_2		55	0	8
WAR_CAR_BONUS_4	WAR_CAR_BONUSES	WAR_CAR_BONUS_1		56	0	8
WAR_CAR_BONUS_5	WAR_CAR_BONUSES	WAR_CAR_BONUS_4		57	0	8
WAR_CAR_BONUS_6	WAR_CAR_BONUSES	WAR_CAR_BONUS_5		58	0	8
WAR_CAR_BONUS_7	WAR_CAR_BONUSES	WAR_CAR_BONUS_4		20	0	3
WAR_CAR_BONUS_8	WAR_CAR_BONUSES	WAR_CAR_BONUS_7		20	3	3
WAR_CAR_BONUS_9	WAR_CAR_BONUSES	WAR_CAR_BONUS_8		21	0	3
WAR_EXTRA_ATTACKS_C	WAR_CAR_BONUSES	WAR_CAR_BONUS_9		28	2	2
WAR_CHAT	WAR	WAR_BONUS_TOKENS		28	4	2
CONTEST_CITY_RAID	GUILD_CONTESTS	GL1		18	3	3
CONTEST_SURGE_RAID	GUILD_CONTESTS	GL1		19	5	3
CONTEST_EXTRA_MERCS	GUILD_CONTESTS	GL1		30	2	2
CONTEST_SKILL_POINT_STORAGE	GUILD_CONTESTS	GL1		48	0	8
CONTEST_STAMINA_STORAGE	GUILD_CONTESTS	GL1		49	0	8
CONTEST_INVASION_BREAKERS	GUILD_CONTESTS	GL1		29	6	2
CONTEST_INVASION_REVIVES	GUILD_CONTESTS	GL1		4	0	1
CONTEST_EXTRA_WAR_ATTACKS	GUILD_CONTESTS	GL1		30	0	2
HEIST_ATTACK_BONUS	HEIST	GL3_TEAM_XP_CATCH_UP		23	0	3
HEIST_SKILL_POWER_BONUS	HEIST	HEIST_ATTACK_BONUS		22	5	3
HEIST_MAX_HP_BONUS	HEIST	HEIST_SKILL_POWER_BONUS		23	3	3
HEIST_MOVE_SPEED_BONUS	HEIST	HEIST_MAX_HP_BONUS		24	0	3
HEIST_SEARCH_SPEED_BONUS	HEIST	HEIST_MAX_HP_BONUS		24	3	3
GL4	GUILD_LEVEL_4	GL3_INFLUENCE_STORAGE		0	3	1
GL4_STAMINA_QUEST_BONUS	GUILD_LEVEL_4	GL4		39	0	8
GL4_ENHANCEMENT_DISCOUNT	GUILD_LEVEL_4	GL4		28	6	2
GL4_EXTRA_TRIAL_CHANCES	GUILD_LEVEL_4	GL4_STAMINA_QUEST_BONUS	GL4_ENHANCEMENT_DISCOUNT	5	2	1
GL4_DOUBLE_DROP_CHAPTERS	GUILD_LEVEL_4	GL4_EXTRA_TRIAL_CHANCES		40	0	8
INVASION_EXTRA_BOOST_ITEMS	INVASION	INVASION_EXTRA_HERO_REVIVES		30	4	2
INVASION_EXTRA_HERO_REVIVES	INVASION	GL4_EXTRA_TRIAL_CHANCES		30	6	2
INVASION_EXTRA_POWER_UPS	INVASION	INVASION_EXTRA_HERO_REVIVES		5	6	2
INVASION_BREAKERWARD_QUICK_FIGHT	INVASION	INVASION_EXTRA_BOOST_ITEMS	INVASION_EXTRA_POWER_UPS	50	0	8
INVASION_BOSS_QUICK_FIGHT	INVASION	INVASION_BREAKERWARD_QUICK_FIGHT		31	0	8
GL4_EXTRA_SKILL_HELP	GUILD_LEVEL_4	GL4_EXTRA_TRIAL_CHANCES		41	0	8
GL4_EXTRA_XP_HELP	GUILD_LEVEL_4	GL4_EXTRA_SKILL_HELP		42	0	8
GL4_EXTRA_STAMINA_HELP	GUILD_LEVEL_4	GL4_DOUBLE_DROP_CHAPTERS		43	0	8
INVASION_EXTRA_GUILD_BOSS	INVASION	INVASION_BOSS_QUICK_FIGHT		4	1	1
