	DURATION	EXPIRATION_TIME	ITEM_REWARDS	TIME_TYPE
TIMED_BADGE_BOOSTER_CRATE	7 d	7 d	1 BADGE_CHEST_1X	CONSUMABLE
TIMED_SKILL_POINT_ITEM	0 d	1 d	1 SKILL_POINT_CONSUMABLE	CONSUMABLE
TIMED_ULTRA_SD_CARD	1 d	1 d	1 PRIMAL_ESSENCE	CONSUMABLE
TIMED_PORT_RESET_ITEM	7 d	7 d	1 PORT_RESET	CONSUMABLE
TIMED_2X_CAMPAIGN_TEAM_XP_ITEM	30 d	30 d	1 DOUBLE_CAMPAIGN_TEAM_XP	CONSUMABLE
TIMED_TRIALS_RESET_ITEM	7 d	7 d	1 TEAM_TRIALS_RESET	CONSUMABLE
TIMED_GUILD_CRATE	0 d		1 SOCIAL_CHEST_ROLL_X1	CONSUMABLE
TIMED_STAMINA_RECHARGE_X4	30 d	30 d	1 STAMINA_RECHARGE_4X	CONSUMABLE
TIMED_VIP5_FOR_DAY	30 d	30 d	1 VIP5_CONSUMABLE	CONSUMABLE
TIMED_STAMINA_RESET_GIFT	7 d	7 d	1 STAMINA_COST_RESET	CONSUMABLE
TIMED_PORT_REWARD_BOOST	6 d			CONSUMABLE
TIMED_SURGE_GOLD_BONUS	7 d			CONSUMABLE
TIMED_FREE_RAID_PASS	30 d			CONSUMABLE
TIMED_DOUBLE_CAMPAIGN_GOLD	7 d	7 d	1 DOUBLE_CAMPAIGN_GOLD	CONSUMABLE
TIMED_DOUBLE_NORMAL_DROPS	30 d	30 d	1 DOUBLE_NORMAL_CAMPAIGN_DROPS	CONSUMABLE
TIMED_DOUBLE_ELITE_DROPS	7 d	7 d	1 DOUBLE_ELITE_CAMPAIGN_DROPS	CONSUMABLE
TIMED_ALL_SHOP_DISCOUNT	30 d			CONSUMABLE
TIMED_GUILD_STORAGE_TEMP_BOOST	30 d			CONSUMABLE
