	PERK	LEVEL	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
WAR_CAR_BONUS_1:0	WAR_CAR_BONUS_1	0	0	0	1	0.500
WAR_CAR_BONUS_1:1	WAR_CAR_BONUS_1	1	125,000	0	45	0.625
WAR_CAR_BONUS_1:2	WAR_CAR_BONUS_1	2	150,000	0	50	0.750
WAR_CAR_BONUS_1:3	WAR_CAR_BONUS_1	3	175,000	0	55	0.875
WAR_CAR_BONUS_1:4	WAR_CAR_BONUS_1	4	200,000	0	60	1.000
WAR_CAR_BONUS_1:5	WAR_CAR_BONUS_1	5	225,000	0	65	1.125
WAR_CAR_BONUS_1:6	WAR_CAR_BONUS_1	6	250,000	0	70	1.250
WAR_CAR_BONUS_1:7	WAR_CAR_BONUS_1	7	275,000	0	75	1.375
WAR_CAR_BONUS_1:8	WAR_CAR_BONUS_1	8	300,000	0	80	1.500
WAR_CAR_BONUS_1:9	WAR_CAR_BONUS_1	9	325,000	3	85	1.625
WAR_CAR_BONUS_1:10	WAR_CAR_BONUS_1	10	350,000	3	90	1.750
WAR_CAR_BONUS_1:11	WAR_CAR_BONUS_1	11	375,000	3	95	1.875
WAR_CAR_BONUS_1:12	WAR_CAR_BONUS_1	12	400,000	3	100	2.000
WAR_CAR_BONUS_1:13	WAR_CAR_BONUS_1	13	425,000	3	105	2.125
WAR_CAR_BONUS_1:14	WAR_CAR_BONUS_1	14	450,000	3	110	2.250
WAR_CAR_BONUS_1:15	WAR_CAR_BONUS_1	15	475,000	3	115	2.375
WAR_CAR_BONUS_1:16	WAR_CAR_BONUS_1	16	500,000	3	120	2.500
WAR_CAR_BONUS_1:17	WAR_CAR_BONUS_1	17	520,000	5	125	3.000
WAR_CAR_BONUS_1:18	WAR_CAR_BONUS_1	18	600,000	5	130	3.125
WAR_CAR_BONUS_1:19	WAR_CAR_BONUS_1	19	640,000	5	135	3.250
WAR_CAR_BONUS_1:20	WAR_CAR_BONUS_1	20	720,000	5	140	3.375
WAR_CAR_BONUS_1:21	WAR_CAR_BONUS_1	21	800,000	5	145	3.500
WAR_CAR_BONUS_1:22	WAR_CAR_BONUS_1	22	1,040,000	5	150	4.000
WAR_CAR_BONUS_1:23	WAR_CAR_BONUS_1	23	1,200,000	5	155	4.125
WAR_CAR_BONUS_1:24	WAR_CAR_BONUS_1	24	1,320,000	5	160	4.250
WAR_CAR_BONUS_1:25	WAR_CAR_BONUS_1	25	1,440,000	5	165	4.375
WAR_CAR_BONUS_1:26	WAR_CAR_BONUS_1	26	1,600,000	5	170	4.500
WAR_CAR_BONUS_1:27	WAR_CAR_BONUS_1	27	2,080,000	5	175	5.000
WAR_CAR_BONUS_1:28	WAR_CAR_BONUS_1	28	2,320,000	5	175	5.125
WAR_CAR_BONUS_1:29	WAR_CAR_BONUS_1	29	2,600,000	5	175	5.250
WAR_CAR_BONUS_1:30	WAR_CAR_BONUS_1	30	2,840,000	5	175	5.375
WAR_CAR_BONUS_1:31	WAR_CAR_BONUS_1	31	3,080,000	5	175	5.500
WAR_CAR_BONUS_1:32	WAR_CAR_BONUS_1	32	3,360,000	5	180	6.000
WAR_CAR_BONUS_1:33	WAR_CAR_BONUS_1	33	3,780,000	5	180	6.125
WAR_CAR_BONUS_1:34	WAR_CAR_BONUS_1	34	4,200,000	5	180	6.250
WAR_CAR_BONUS_1:35	WAR_CAR_BONUS_1	35	4,620,000	5	180	6.375
WAR_CAR_BONUS_1:36	WAR_CAR_BONUS_1	36	5,040,000	5	180	6.500
WAR_CAR_BONUS_1:37	WAR_CAR_BONUS_1	37	5,580,000	5	185	7.000
WAR_CAR_BONUS_1:38	WAR_CAR_BONUS_1	38	6,210,000	5	185	7.125
WAR_CAR_BONUS_1:39	WAR_CAR_BONUS_1	39	6,930,000	5	185	7.250
WAR_CAR_BONUS_1:40	WAR_CAR_BONUS_1	40	7,650,000	5	185	7.375
WAR_CAR_BONUS_1:41	WAR_CAR_BONUS_1	41	8,370,000	5	185	7.500
WAR_CAR_BONUS_1:42	WAR_CAR_BONUS_1	42	8,400,000	5	190	8.000
WAR_CAR_BONUS_1:43	WAR_CAR_BONUS_1	43	9,500,000	5	190	8.125
WAR_CAR_BONUS_1:44	WAR_CAR_BONUS_1	44	10,500,000	5	190	8.250
WAR_CAR_BONUS_1:45	WAR_CAR_BONUS_1	45	11,600,000	5	190	8.375
WAR_CAR_BONUS_1:46	WAR_CAR_BONUS_1	46	12,600,000	5	190	8.500
WAR_CAR_BONUS_1:47	WAR_CAR_BONUS_1	47	13,790,000	5	195	9.000
WAR_CAR_BONUS_1:48	WAR_CAR_BONUS_1	48	15,540,000	5	195	9.125
WAR_CAR_BONUS_1:49	WAR_CAR_BONUS_1	49	17,290,000	5	195	9.250
WAR_CAR_BONUS_1:50	WAR_CAR_BONUS_1	50	18,970,000	5	195	9.375
WAR_CAR_BONUS_1:51	WAR_CAR_BONUS_1	51	20,720,000	5	195	9.500
WAR_CAR_BONUS_1:52	WAR_CAR_BONUS_1	52	22,440,000	5	200	10.000
WAR_CAR_BONUS_1:53	WAR_CAR_BONUS_1	53	25,190,000	5	200	10.125
WAR_CAR_BONUS_1:54	WAR_CAR_BONUS_1	54	28,050,000	5	200	10.250
WAR_CAR_BONUS_1:55	WAR_CAR_BONUS_1	55	30,800,000	5	200	10.375
WAR_CAR_BONUS_1:56	WAR_CAR_BONUS_1	56	33,660,000	5	200	10.500
WAR_CAR_BONUS_1:57	WAR_CAR_BONUS_1	57	36,600,000	5	205	11.000
WAR_CAR_BONUS_1:58	WAR_CAR_BONUS_1	58	41,200,000	5	205	11.125
WAR_CAR_BONUS_1:59	WAR_CAR_BONUS_1	59	45,700,000	5	205	11.250
WAR_CAR_BONUS_1:60	WAR_CAR_BONUS_1	60	50,300,000	5	205	11.375
WAR_CAR_BONUS_1:61	WAR_CAR_BONUS_1	61	54,900,000	5	205	11.500
WAR_CAR_BONUS_1:62	WAR_CAR_BONUS_1	62	55,580,000	5	210	12.500
WAR_CAR_BONUS_1:63	WAR_CAR_BONUS_1	63	62,440,000	5	210	12.625
WAR_CAR_BONUS_1:64	WAR_CAR_BONUS_1	64	69,440,000	5	210	12.750
WAR_CAR_BONUS_1:65	WAR_CAR_BONUS_1	65	76,440,000	5	210	12.875
WAR_CAR_BONUS_1:66	WAR_CAR_BONUS_1	66	83,300,000	5	210	13.000
WAR_CAR_BONUS_1:67	WAR_CAR_BONUS_1	67	85,120,000	5	215	14.000
WAR_CAR_BONUS_1:68	WAR_CAR_BONUS_1	68	95,840,000	5	215	14.125
WAR_CAR_BONUS_1:69	WAR_CAR_BONUS_1	69	106,400,000	5	215	14.250
WAR_CAR_BONUS_1:70	WAR_CAR_BONUS_1	70	117,120,000	5	215	14.375
WAR_CAR_BONUS_1:71	WAR_CAR_BONUS_1	71	127,680,000	5	215	14.500
WAR_CAR_BONUS_1:72	WAR_CAR_BONUS_1	72	130,950,000	5	220	15.500
WAR_CAR_BONUS_1:73	WAR_CAR_BONUS_1	73	147,150,000	5	220	15.625
WAR_CAR_BONUS_1:74	WAR_CAR_BONUS_1	74	163,575,000	5	220	15.750
WAR_CAR_BONUS_1:75	WAR_CAR_BONUS_1	75	180,000,000	5	220	15.875
WAR_CAR_BONUS_1:76	WAR_CAR_BONUS_1	76	196,200,000	5	220	16.000
WAR_CAR_BONUS_1:77	WAR_CAR_BONUS_1	77	196,416,000	5	225	17.000
WAR_CAR_BONUS_1:78	WAR_CAR_BONUS_1	78	220,968,000	5	225	17.125
WAR_CAR_BONUS_1:79	WAR_CAR_BONUS_1	79	245,520,000	5	225	17.250
WAR_CAR_BONUS_1:80	WAR_CAR_BONUS_1	80	270,072,000	5	225	17.375
WAR_CAR_BONUS_1:81	WAR_CAR_BONUS_1	81	294,624,000	5	225	17.500
WAR_CAR_BONUS_1:82	WAR_CAR_BONUS_1	82	299,376,000	5	230	18.500
WAR_CAR_BONUS_1:83	WAR_CAR_BONUS_1	83	336,798,000	5	230	18.625
WAR_CAR_BONUS_1:84	WAR_CAR_BONUS_1	84	374,220,000	5	230	18.750
WAR_CAR_BONUS_1:85	WAR_CAR_BONUS_1	85	411,196,500	5	230	18.875
WAR_CAR_BONUS_1:86	WAR_CAR_BONUS_1	86	448,618,500	5	230	19.000
WAR_CAR_BONUS_1:87	WAR_CAR_BONUS_1	87	450,297,600	5	235	20.000
WAR_CAR_BONUS_1:88	WAR_CAR_BONUS_1	88	507,143,680	5	235	20.125
WAR_CAR_BONUS_1:89	WAR_CAR_BONUS_1	89	563,351,040	5	235	20.250
WAR_CAR_BONUS_1:90	WAR_CAR_BONUS_1	90	619,558,400	5	235	20.375
WAR_CAR_BONUS_1:91	WAR_CAR_BONUS_1	91	675,765,760	5	235	20.500
WAR_CAR_BONUS_1:92	WAR_CAR_BONUS_1	92	676,350,000	5	240	21.500
WAR_CAR_BONUS_1:93	WAR_CAR_BONUS_1	93	761,400,000	5	240	21.625
WAR_CAR_BONUS_1:94	WAR_CAR_BONUS_1	94	845,640,000	5	240	21.750
WAR_CAR_BONUS_1:95	WAR_CAR_BONUS_1	95	930,690,000	5	240	21.875
WAR_CAR_BONUS_1:96	WAR_CAR_BONUS_1	96	1,014,930,000	5	240	22.000
WAR_CAR_BONUS_1:97	WAR_CAR_BONUS_1	97	1,166,000,000	5	245	23.000
WAR_CAR_BONUS_1:98	WAR_CAR_BONUS_1	98	1,312,000,000	5	245	23.125
WAR_CAR_BONUS_1:99	WAR_CAR_BONUS_1	99	1,457,000,000	5	245	23.250
WAR_CAR_BONUS_1:100	WAR_CAR_BONUS_1	100	1,603,000,000	5	245	23.375
WAR_CAR_BONUS_1:101	WAR_CAR_BONUS_1	101	1,749,000,000	5	245	23.500
WAR_CAR_BONUS_1:102	WAR_CAR_BONUS_1	102	6,665,000,000	5	250	24.500
WAR_CAR_BONUS_1:103	WAR_CAR_BONUS_1	103	7,495,000,000	5	250	24.625
WAR_CAR_BONUS_1:104	WAR_CAR_BONUS_1	104	8,330,000,000	5	250	24.750
WAR_CAR_BONUS_1:105	WAR_CAR_BONUS_1	105	9,160,000,000	5	250	24.875
WAR_CAR_BONUS_1:106	WAR_CAR_BONUS_1	106	9,995,000,000	5	250	25.000
WAR_CAR_BONUS_2:0	WAR_CAR_BONUS_2	0	0	0	1	0.500
WAR_CAR_BONUS_2:1	WAR_CAR_BONUS_2	1	125,000	0	45	0.625
WAR_CAR_BONUS_2:2	WAR_CAR_BONUS_2	2	150,000	0	50	0.750
WAR_CAR_BONUS_2:3	WAR_CAR_BONUS_2	3	175,000	0	55	0.875
WAR_CAR_BONUS_2:4	WAR_CAR_BONUS_2	4	200,000	0	60	1.000
WAR_CAR_BONUS_2:5	WAR_CAR_BONUS_2	5	225,000	0	65	1.125
WAR_CAR_BONUS_2:6	WAR_CAR_BONUS_2	6	250,000	0	70	1.250
WAR_CAR_BONUS_2:7	WAR_CAR_BONUS_2	7	275,000	0	75	1.375
WAR_CAR_BONUS_2:8	WAR_CAR_BONUS_2	8	300,000	0	80	1.500
WAR_CAR_BONUS_2:9	WAR_CAR_BONUS_2	9	325,000	3	85	1.625
WAR_CAR_BONUS_2:10	WAR_CAR_BONUS_2	10	350,000	3	90	1.750
WAR_CAR_BONUS_2:11	WAR_CAR_BONUS_2	11	375,000	3	95	1.875
WAR_CAR_BONUS_2:12	WAR_CAR_BONUS_2	12	400,000	3	100	2.000
WAR_CAR_BONUS_2:13	WAR_CAR_BONUS_2	13	425,000	3	105	2.125
WAR_CAR_BONUS_2:14	WAR_CAR_BONUS_2	14	450,000	3	110	2.250
WAR_CAR_BONUS_2:15	WAR_CAR_BONUS_2	15	475,000	3	115	2.375
WAR_CAR_BONUS_2:16	WAR_CAR_BONUS_2	16	500,000	3	120	2.500
WAR_CAR_BONUS_2:17	WAR_CAR_BONUS_2	17	520,000	5	125	3.000
WAR_CAR_BONUS_2:18	WAR_CAR_BONUS_2	18	600,000	5	130	3.125
WAR_CAR_BONUS_2:19	WAR_CAR_BONUS_2	19	640,000	5	135	3.250
WAR_CAR_BONUS_2:20	WAR_CAR_BONUS_2	20	720,000	5	140	3.375
WAR_CAR_BONUS_2:21	WAR_CAR_BONUS_2	21	800,000	5	145	3.500
WAR_CAR_BONUS_2:22	WAR_CAR_BONUS_2	22	1,040,000	5	150	4.000
WAR_CAR_BONUS_2:23	WAR_CAR_BONUS_2	23	1,200,000	5	155	4.125
WAR_CAR_BONUS_2:24	WAR_CAR_BONUS_2	24	1,320,000	5	160	4.250
WAR_CAR_BONUS_2:25	WAR_CAR_BONUS_2	25	1,440,000	5	165	4.375
WAR_CAR_BONUS_2:26	WAR_CAR_BONUS_2	26	1,600,000	5	170	4.500
WAR_CAR_BONUS_2:27	WAR_CAR_BONUS_2	27	2,080,000	5	175	5.000
WAR_CAR_BONUS_2:28	WAR_CAR_BONUS_2	28	2,320,000	5	175	5.125
WAR_CAR_BONUS_2:29	WAR_CAR_BONUS_2	29	2,600,000	5	175	5.250
WAR_CAR_BONUS_2:30	WAR_CAR_BONUS_2	30	2,840,000	5	175	5.375
WAR_CAR_BONUS_2:31	WAR_CAR_BONUS_2	31	3,080,000	5	175	5.500
WAR_CAR_BONUS_2:32	WAR_CAR_BONUS_2	32	3,360,000	5	180	6.000
WAR_CAR_BONUS_2:33	WAR_CAR_BONUS_2	33	3,780,000	5	180	6.125
WAR_CAR_BONUS_2:34	WAR_CAR_BONUS_2	34	4,200,000	5	180	6.250
WAR_CAR_BONUS_2:35	WAR_CAR_BONUS_2	35	4,620,000	5	180	6.375
WAR_CAR_BONUS_2:36	WAR_CAR_BONUS_2	36	5,040,000	5	180	6.500
WAR_CAR_BONUS_2:37	WAR_CAR_BONUS_2	37	5,580,000	5	185	7.000
WAR_CAR_BONUS_2:38	WAR_CAR_BONUS_2	38	6,210,000	5	185	7.125
WAR_CAR_BONUS_2:39	WAR_CAR_BONUS_2	39	6,930,000	5	185	7.250
WAR_CAR_BONUS_2:40	WAR_CAR_BONUS_2	40	7,650,000	5	185	7.375
WAR_CAR_BONUS_2:41	WAR_CAR_BONUS_2	41	8,370,000	5	185	7.500
WAR_CAR_BONUS_2:42	WAR_CAR_BONUS_2	42	8,400,000	5	190	8.000
WAR_CAR_BONUS_2:43	WAR_CAR_BONUS_2	43	9,500,000	5	190	8.125
WAR_CAR_BONUS_2:44	WAR_CAR_BONUS_2	44	10,500,000	5	190	8.250
WAR_CAR_BONUS_2:45	WAR_CAR_BONUS_2	45	11,600,000	5	190	8.375
