	VALUE
THIEF_SPRINTS_AFTER	25 m
THIEF_CHASE_DISTANCE	120
THIEF_BATTLE_WAIT_TIME	1 m
AMBUSH_BATTLE_WAIT_TIME	-1 s
HIDEOUT_BATTLE_WAIT_TIME	-1 s
MAX_BATTLE_DURATION	150 s
ENERGY_REGEN_CAP	1000
STARTING_VALUABLES	10
TOKENS_PER_HERO_WIN	3
MIN_BUSY_HEROES	0
MAX_AVAILABLE_HEROES	24
MIN_VALUABLES_REMAINING_TO_SHOW	5
NEW_PUBLIC_HEIST_ROWS_TO_SHOW	10
OLD_PUBLIC_HEIST_ROWS_TO_SHOW	10
TOKEN_REFUND_AMOUNT	100
TICKET_REFUND_AMOUNT	1
PUBLIC_HEIST_VISIBILITY_DELAY	0 s
INITIAL_VISIBLE_POIS	150
THIEF_UPDATE_INTERVAL_SECONDS	10
MAX_PLAYERS	5
EXTRA_TAP_SIZE	5
HIDE_PUBLIC_AFTER_OWNER_AWAY_FOR	1 m
CANCEL_OFFLINE_OWNER_AFTER	30 m
GUARD_CHASE_TIME	1 s
MAX_HERO_WINS_PER_PLAYER	100
THIEF_START_DELAY	15 s
