	TIER_1_TAGS	TIER_3_TAGS	TIER_4_TAGS	FRANCHISE	SKILL_1	SKILL_2	SKILL_3	SKILL_4	SKILL_5	PRIME_BADGE	PATCH_TALENT_1	PATCH_TALENT_2	PATCH_TALENT_3	PATCH_TALENT_4	PATCH_TALENT_5
ABBY_MALLARD	TANK_ROLE,YELLOW_TEAM,CHICKEN_LITTLE,FANTASTIC_DAMAGE,DISTRACT,MOST_WANTED,TENACITY_DECREASE,CURSE,ARMOR_DECREASE,REALITY_DECREASE,ARMOR_INCREASE,REALITY_INCREASE,EMPOWERED,STUN,VULNERABLE,TRUE_DAMAGE,DAMAGE_OVER_TIME,DRAIN,KNOCKBACK,SAP,DETERMINATION,MAX_HP_INCREASE	INVISIBLE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,HEAL_SELF,REMOVE_BUFF,SHATTER,PIERCE,IMMUNITY	CHICKEN_LITTLE	FANTASTIC_DAMAGE,DISTRACT,MOST_WANTED,TENACITY_DECREASE,CURSE	FANTASTIC_DAMAGE,ARMOR_DECREASE,REALITY_DECREASE,ARMOR_INCREASE,REALITY_INCREASE,EMPOWERED	FANTASTIC_DAMAGE,STUN,VULNERABLE	TRUE_DAMAGE,DAMAGE_OVER_TIME,ARMOR_DECREASE,REALITY_DECREASE,DRAIN	KNOCKBACK,SAP,DETERMINATION,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	INVISIBLE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	ARMOR_INCREASE	REALITY_INCREASE	HEAL_SELF	REMOVE_BUFF,SHATTER,PIERCE	IMMUNITY,REMOVE_BUFF
ABU	CONTROL_ROLE,BLUE_TEAM,ALADDIN,NORMAL_DAMAGE,STUN,FREEZE,BLIND,SILENCE,CHARM,DODGE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_DAMAGE,REMOVE_BUFF,COPY_BUFF,INVISIBLE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,CLEANSE,MAX_HP_INCREASE,EVASION_INCREASE,FATIGUE	INVISIBLE,SKILL_POWER_INCREASE,REALITY_INCREASE	INVISIBLE,TENACITY_DECREASE,EVASION_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,SAP,CURSE,INCREASED_DAMAGE_DEALT	ALADDIN	NORMAL_DAMAGE,STUN,FREEZE,BLIND,SILENCE,CHARM,DODGE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,SKILL_POWER_INCREASE	FANTASTIC_DAMAGE,REMOVE_BUFF,COPY_BUFF,SILENCE,INVISIBLE	FANTASTIC_DAMAGE,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_DECREASE,SKILL_POWER_DECREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,STUN,BLIND,SILENCE	REMOVE_BUFF,DAMAGE_DECREASE,SILENCE	DODGE,CLEANSE,ATTACK_SPEED_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE,SILENCE,FATIGUE,FANTASTIC_DAMAGE	INVISIBLE,SKILL_POWER_INCREASE,REALITY_INCREASE	INVISIBLE	TENACITY_DECREASE,EVASION_DECREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	SAP,CURSE,INCREASED_DAMAGE_DEALT
AGENT_P	DPS_ROLE,RED_TEAM,PHINEAS_AND_FERB,NORMAL_DAMAGE,CLEANSE,PIERCE,STUN,KNOCKBACK,FANTASTIC_DAMAGE,ENERGY_REMOVAL,ENERGY_SELF,INVINCIBLE,DISTRACT,HEAL_SELF,REMOVE_BUFF,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	PRECISE,HEAL_SELF,IMMUNITY,TENACITY_DECREASE,WEAKNESS,CLEANSE,BERSERK	PHINEAS_AND_FERB	NORMAL_DAMAGE,CLEANSE,PIERCE	NORMAL_DAMAGE	NORMAL_DAMAGE,STUN,KNOCKBACK	FANTASTIC_DAMAGE,ENERGY_REMOVAL,ENERGY_SELF	FANTASTIC_DAMAGE,NORMAL_DAMAGE,INVINCIBLE,DISTRACT,HEAL_SELF,REMOVE_BUFF,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	INVISIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	PRECISE	HEAL_SELF	IMMUNITY	TENACITY_DECREASE,WEAKNESS	CLEANSE,BERSERK,HEAL_SELF
ALADDIN	DPS_ROLE,BLUE_TEAM,ALADDIN,NORMAL_DAMAGE,DODGE,ENERGY_REMOVAL,ENERGY_SELF,DAMAGE_INCREASE,MAX_HP_INCREASE	REALITY_INCREASE,DAMAGE_INCREASE,INVISIBLE	INCREASED_DAMAGE_DEALT,REMOVE_BUFF,SHATTER,PIERCE	ALADDIN	NORMAL_DAMAGE	NORMAL_DAMAGE,DODGE,ENERGY_REMOVAL,ENERGY_SELF	DODGE	NORMAL_DAMAGE	DAMAGE_INCREASE,MAX_HP_INCREASE,NORMAL_DAMAGE	REALITY_INCREASE,DAMAGE_INCREASE,INVISIBLE	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT		REMOVE_BUFF,SHATTER,PIERCE
ALICE	SUPPORT_ROLE,BLUE_TEAM,ALICE_IN_WONDERLAND,HEAL_SELF,FANTASTIC_DAMAGE,ATTACK_SPEED_DECREASE,NORMAL_DAMAGE,ATTACK_SPEED_INCREASE,KNOCKBACK,MAX_HP_INCREASE,SKILL_POWER_INCREASE	MAX_HP_INCREASE,ARMOR_INCREASE,TENACITY_INCREASE	HEAL_SELF,HEAL_TEAM,DAMAGE_INCREASE,SKILL_POWER_INCREASE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,CLEANSE,BERSERK	ALICE_IN_WONDERLAND	HEAL_SELF	FANTASTIC_DAMAGE,ATTACK_SPEED_DECREASE	NORMAL_DAMAGE,ATTACK_SPEED_INCREASE,KNOCKBACK	MAX_HP_INCREASE	ATTACK_SPEED_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	MAX_HP_INCREASE,ARMOR_INCREASE,TENACITY_INCREASE	HEAL_SELF	HEAL_TEAM	DAMAGE_INCREASE,SKILL_POWER_INCREASE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	CLEANSE,BERSERK,HEAL_SELF
AMITY_BLIGHT	SUPPORT_ROLE,RED_TEAM,THE_OWL_HOUSE,FANTASTIC_DAMAGE,REMOVE_BUFF,MOST_WANTED,ARMOR_INCREASE,REALITY_INCREASE,SILENCE,DODGE,MOMENTUM,SHIELD_SELF,SHIELD_TEAM,HEX,CURSE,DETERMINATION,ENDURANCE,HEAL_SELF,HEAL_TEAM,SCARE,VULNERABLE,WEAKNESS,CORRUPTION,INCREASED_DAMAGE_DEALT,ENERGY_SELF,MAX_HP_INCREASE	REFLECT,SKILL_POWER_INCREASE	REALITY_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,SHIELD_SELF,IMMUNITY,REMOVE_BUFF	THE_OWL_HOUSE	FANTASTIC_DAMAGE,REMOVE_BUFF,MOST_WANTED,ARMOR_INCREASE,REALITY_INCREASE,SILENCE,DODGE,MOMENTUM	SHIELD_SELF,SHIELD_TEAM,HEX,CURSE,DETERMINATION,ENDURANCE	HEAL_SELF,HEAL_TEAM,SCARE,VULNERABLE,WEAKNESS,CORRUPTION	INCREASED_DAMAGE_DEALT,ENERGY_SELF,MAX_HP_INCREASE	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM	REFLECT,SKILL_POWER_INCREASE	REALITY_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE	SHIELD_SELF,IMMUNITY	REMOVE_BUFF
ANGEL	CONTROL_ROLE,BLUE_TEAM,LILO_AND_STITCH,SILENCE,DAMAGE_DECREASE,CHARM,REVIVE_SELF,REVIVE_TEAM,INVINCIBLE,DAMAGE_INCREASE,ENERGY_REMOVAL,SKILL_POWER_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,SHIELD_TEAM	REALITY_DECREASE,TENACITY_DECREASE,EVASION_DECREASE,ARMOR_DECREASE,IMMUNITY,REMOVE_BUFF,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	LILO_AND_STITCH	SILENCE,DAMAGE_DECREASE	CHARM,REVIVE_SELF	REVIVE_TEAM,INVINCIBLE	DAMAGE_INCREASE	ENERGY_REMOVAL,DAMAGE_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,REALITY_INCREASE,SHIELD_TEAM	REALITY_DECREASE	TENACITY_DECREASE,EVASION_DECREASE	ARMOR_DECREASE	IMMUNITY,REMOVE_BUFF	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
ANGER	DPS_ROLE,YELLOW_TEAM,INSIDE_OUT,FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SAP,SKILL_POWER_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	HEAL_SELF,IMMUNITY,PRECISE,CLEANSE,BERSERK,CURSE,TRUE_DAMAGE	INSIDE_OUT	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME		ATTACK_SPEED_INCREASE	DAMAGE_INCREASE	SAP,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	HEAL_SELF	IMMUNITY	PRECISE	CLEANSE,BERSERK,HEAL_SELF	CURSE,TRUE_DAMAGE
ANIMAL	SUPPORT_ROLE,BLUE_TEAM,MUPPETS,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,FANTASTIC_DAMAGE,KNOCKBACK,CLEANSE,HEAL_SELF,MOVE_SPEED_INCREASE,MAX_HP_INCREASE,MOVE_SPEED_DECREASE,SKILL_POWER_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,ENERGIZE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,PRECISE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,HARDY,REDUCED_DAMAGE_TAKEN,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	MUPPETS	ATTACK_SPEED_INCREASE,DAMAGE_INCREASE	FANTASTIC_DAMAGE,KNOCKBACK	CLEANSE,HEAL_SELF	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,MAX_HP_INCREASE	MOVE_SPEED_DECREASE,KNOCKBACK,DAMAGE_INCREASE,SKILL_POWER_INCREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,ENERGIZE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	PRECISE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	HARDY,REDUCED_DAMAGE_TAKEN	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT
ANNA	CONTROL_ROLE,BLUE_TEAM,FROZEN,DISTRACT,DODGE,NORMAL_DAMAGE,TRUE_DAMAGE,STUN,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,ARMOR_INCREASE,REALITY_INCREASE,HEAL_SELF,HEAL_TEAM,FANTASTIC_DAMAGE,FREEZE,SHATTER,MAX_HP_INCREASE	HEAL_TEAM,MAX_HP_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,IMMUNITY,FANTASTIC_DAMAGE,SHATTER,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	FROZEN	DISTRACT,DODGE,NORMAL_DAMAGE,TRUE_DAMAGE,STUN,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	ARMOR_INCREASE,REALITY_INCREASE,HEAL_SELF,HEAL_TEAM	FANTASTIC_DAMAGE,FREEZE	SHATTER	TRUE_DAMAGE,NORMAL_DAMAGE,FREEZE,MAX_HP_INCREASE,REALITY_INCREASE,ARMOR_INCREASE	HEAL_TEAM,MAX_HP_INCREASE,SKILL_POWER_INCREASE	TENACITY_DECREASE,EVASION_DECREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	IMMUNITY	FANTASTIC_DAMAGE,SHATTER	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT
