	EXP
1	25
2	30
3	40
4	60
5	80
6	100
7	130
8	150
9	180
10	180
11	210
12	220
13	220
14	230
15	240
16	270
17	280
18	290
19	290
20	300
21	380
22	410
23	450
24	500
25	550
26	600
27	650
28	700
29	750
30	800
31	850
32	900
33	1,000
34	1,200
35	1,400
36	1,600
37	1,800
38	2,000
39	2,400
40	2,800
41	3,200
42	3,600
43	4,000
44	4,400
45	4,800
46	5,200
47	5,600
48	6,000
49	6,600
50	7,200
51	7,800
52	8,400
53	9,000
54	9,700
55	10,500
56	11,500
57	12,500
58	13,500
59	14,500
60	15,500
61	16,500
62	17,500
63	18,500
64	19,500
65	20,500
66	21,500
67	22,500
68	23,500
69	24,500
70	25,500
71	27,000
72	28,000
73	30,000
74	32,000
75	34,000
76	36,000
77	38,000
78	40,000
79	42,000
80	44,000
81	46,000
82	48,000
83	50,000
84	52,000
85	54,000
86	57,000
87	60,000
88	63,000
89	66,000
90	69,000
91	74,000
92	79,000
93	84,000
94	89,000
95	94,000
96	101,000
97	108,000
98	115,000
99	122,000
100	129,000
101	138,000
102	147,000
103	156,000
104	165,000
105	174,000
106	185,000
107	196,000
108	207,000
109	218,000
110	229,000
111	242,000
112	255,000
113	268,000
114	281,000
115	294,000
116	307,000
117	320,000
118	333,000
119	346,000
120	359,000
121	372,000
122	385,000
123	398,000
124	411,000
125	424,000
126	437,000
127	450,000
128	463,000
129	476,000
130	489,000
131	510,000
132	531,000
133	552,000
134	573,000
135	594,000
136	615,000
137	636,000
138	657,000
139	678,000
140	699,000
141	720,000
142	741,000
143	762,000
144	783,000
145	804,000
146	825,000
147	846,000
148	867,000
149	888,000
150	909,000
151	930,000
152	951,000
153	972,000
154	993,000
155	1,014,000
156	1,035,000
157	1,056,000
158	1,077,000
159	1,098,000
160	1,119,000
161	1,140,000
162	1,161,000
163	1,182,000
164	1,203,000
165	1,224,000
166	1,245,000
167	1,266,000
168	1,287,000
169	1,308,000
170	1,329,000
171	1,350,000
172	1,371,000
173	1,392,000
174	1,413,000
175	1,434,000
176	1,455,000
177	1,476,000
178	1,497,000
179	1,518,000
180	1,539,000
181	1,560,000
182	1,581,000
183	1,602,000
184	1,623,000
185	1,644,000
186	1,665,000
187	1,686,000
188	1,707,000
189	1,728,000
190	1,749,000
191	1,770,000
192	1,791,000
193	1,812,000
194	1,833,000
195	1,854,000
196	1,875,000
197	1,896,000
198	1,917,000
199	1,938,000
200	1,959,000
201	1,980,000
202	2,001,000
203	2,022,000
204	2,043,000
205	2,064,000
206	2,085,000
207	2,106,000
208	2,127,000
209	2,148,000
210	2,169,000
211	2,190,000
212	2,211,000
213	2,232,000
214	2,253,000
215	2,274,000
216	2,295,000
217	2,316,000
218	2,337,000
219	2,358,000
220	2,379,000
221	2,400,000
222	2,421,000
223	2,442,000
224	2,463,000
225	2,484,000
226	2,505,000
227	2,526,000
228	2,547,000
229	2,568,000
230	2,589,000
231	2,610,000
232	2,631,000
233	2,652,000
234	2,673,000
235	2,694,000
236	2,715,000
237	2,736,000
238	2,757,000
239	2,778,000
240	2,799,000
241	2,820,000
242	2,841,000
243	2,862,000
244	2,883,000
245	2,904,000
246	2,925,000
247	2,946,000
248	2,967,000
249	2,988,000
250	3,009,000
251	3,030,000
252	3,051,000
253	3,072,000
254	3,093,000
255	3,114,000
256	3,135,000
257	3,156,000
258	3,177,000
259	3,198,000
260	3,219,000
261	3,240,000
262	3,261,000
263	3,282,000
264	3,303,000
265	3,324,000
266	3,345,000
267	3,366,000
268	3,387,000
269	3,408,000
270	3,429,000
271	3,450,000
272	3,471,000
273	3,492,000
274	3,513,000
275	3,534,000
276	3,555,000
277	3,576,000
278	3,597,000
279	3,618,000
280	3,639,000
