	VALUE
LEAGUE_MIN_K	2
LEAGUE_MAX_K	12
LEAGUE_DESIRED_SIZE	50
INVASION_STAMINA_INITIAL	40
INVASION_STAMINA_CAPACITY	80
INVASION_STAMINA_REGEN_PERIOD	12 m
INVASION_BASE_DATE	2022-02-27T00:00+00:00
INVASION_BASE_ROTATION	23
FEATURED_TEAM_EMPOWER	2
FEATURED_HERO_EMPOWER	5
EMPOWER_STONE_TEAM_AMOUNT	1
EMPOWER_STONE_HERO_AMOUNT	5
EMPOWERING_STONE_FEATURED_HERO_FREQUENCY	5
EMPOWER_EXPONENTIAL_MULT	0.1
LEAGUE_PROMOTE_THRESHOLD	5
LEAGUE_DEMOTE_THRESHOLD	60
SUPPLY_MOD_EMPOWER_COUNT	15
ENABLED_SHARDS	1-99
ENABLE_AT_CONTENT	R3
START_DAY	MONDAY
START_TIME	12 h
END_DAY	SATURDAY
END_TIME	12 h
BREAKER_FIGHT_STAMINA_COST	10
BREAKER_FIGHT_LEVEL	(R<7 ? 5R : 12+3R)*5
BREAKER_FIGHT_STARS	3
BREAKER_FIGHT_POINT_REWARD	1R*M
BREAKER_FIGHT_GOLD_REWARD	1000+10R
BREAKER_FIGHT_HERO_XP_REWARD_SCALAR	1
REVIVE_HERO_COOLDOWN	22 h
WARDS_PER_BREAKER	4
BREAKER_PAGE_SIZE	10
BREAKER_FIRST_PAGE_SIZE	10
WARD_FIGHT_STAMINA_COST	5
WARD_FIGHT_LEVEL	(R<7 ? 5R : 12+3R)*5
WARD_FIGHT_STARS	1
WARD_FIGHT_GOLD_REWARD	200+2R
WARD_FIGHT_HERO_XP_REWARD_SCALAR	0.2
BREAKER_FIGHT_BREAKER_REWARD	1
BOSS_FIGHT_1X_KEY_COST	1
BOSS_FIGHT_5X_KEY_COST	3
BOSS_FIGHT_TIME_LIMIT	24 h
ATTACK_LOCK_DURATION	5 m
BOSS_FIGHT_INITAL_LEVEL	450
BOSS_FIGHT_WIN_LEVEL_DELTA	25
BOSS_FIGHT_LOSS_LEVEL_DELTA	0
BOSS_FIGHT_DURATION	60 s
BOSS_COUNTDOWN_TIMER_COLOR_CHANGE	2 h
PROGRESS_REWARD_DECAY	14 d
BOSS_10_PERCENT_THRESHOLD	0.1
BOSS_30_PERCENT_THRESHOLD	0.3
MAX_BOSS_FEED_LENGTH	25
GUILD_BOSS_FIGHT_INITIAL_LEVEL	450
SKILL_LEVEL_EMPOWERMENT_FUNC	3L
QUICK_FIGHT_TAX	2
INVASION_POINT_SCALING	0.06
BREAKER_DAILY_GENERATION_INTERVAL	24 h
BREAKER_DAILY_LIMIT	-1
BOSS_GUILD_DAILY_LIMIT	2400
BOSS_GUILD_DAILY_OVERLIMIT_MIN_HP	0.1
BOSS_SIMULTANEOUS_ATTACKS_COUNT	1
BOSS_SIMULTANEOUS_ATTACKS_HP_LIMIT	0.1
BOSS_TRAITS_ENABLED	TRUE
SOLO_BOSS_MEGA_VIRUS	TRUE
GUILD_DAILY_BOSS_LIMIT	100
GUILD_BOSS_LIMIT_INTERVAL	1 h
