	INVASION_POINT_MULTIPLIER	MIN_POINT_MULTIPLIER	RARITY
55	1	0.1	BLUE_2
60	1	0.16	PURPLE
70	1	0.22	PURPLE_1
75	1	0.28	PURPLE_2
80	1	0.34	PURPLE_3
85	1	0.4	PURPLE_4
90	1	0.46	ORANGE
95	1	0.52	ORANGE_1
100	1	0.58	ORANGE_2
105	1	0.64	ORANGE_3
110	1	0.7	ORANGE_4
115	1	0.76	ORANGE_5
120	1	0.82	ORANGE_6
125	1	0.88	ORANGE_7
130	1	0.94	ORANGE_8
135	1	1	RED
140	1.03	1.03	RED_1
145	1.061	1.061	RED_2
150	1.093	1.093	RED_3
155	1.126	1.126	RED_4
160	1.16	1.16	RED_5
165	1.273	1.273	RED_6
170	1.311	1.311	RED_7
175	1.688	1.688	RED_8
180	1.739	1.739	RED_9
185	1.791	1.791	RED_10
190	1.845	1.845	RED_11
195	1.9	1.9	RED_12
200	1.957	1.957	RED_13
205	2.016	2.016	RED_14
210	2.076	2.076	RED_15
215	2.138	2.138	RED_16
220	2.202	2.202	RED_17
225	2.268	2.268	RED_18
230	2.336	2.336	RED_19
235	2.406	2.406	YELLOW
240	2.478	2.478	YELLOW_1
245	2.552	2.552	YELLOW_2
250	2.629	2.629	YELLOW_3
255	2.708	2.708	YELLOW_4
260	2.789	2.789	YELLOW_5
265	2.873	2.873	YELLOW_6
270	2.959	2.959	YELLOW_7
275	3.048	3.048	YELLOW_8
280	3.139	3.139	YELLOW_9
285	3.233	3.233	YELLOW_10
290	3.33	3.33	YELLOW_11
295	3.43	3.43	YELLOW_12
300	3.533	3.533	YELLOW_13
305	3.639	3.639	YELLOW_14
310	3.748	3.748	YELLOW_15
315	3.86	3.86	YELLOW_16
320	3.976	3.976	YELLOW_17
325	4.095	4.095	YELLOW_18
330	4.218	4.218	YELLOW_19
335	4.345	4.345	YELLOW_20
340	4.475	4.475	YELLOW_21
345	4.609	4.609	YELLOW_22
350	4.747	4.747	YELLOW_23
355	4.889	4.889	YELLOW_24
360	5.036	5.036	YELLOW_25
365	5.187	5.187	YELLOW_26
370	5.343	5.343	YELLOW_27
375	5.503	5.503	YELLOW_28
380	5.503	5.503	YELLOW_29
385	5.503	5.503	YELLOW_30
390	5.503	5.503	EMERALD
395	5.503	5.503	EMERALD_1
400	5.503	5.503	EMERALD_2
405	5.503	5.503	EMERALD_3
410	5.503	5.503	EMERALD_4
415	5.503	5.503	EMERALD_5
420	5.503	5.503	EMERALD_6
425	5.503	5.503	EMERALD_7
430	5.503	5.503	EMERALD_8
435	5.503	5.503	EMERALD_9
440	5.503	5.503	EMERALD_10
445	5.503	5.503	EMERALD_11
450	5.503	5.503	EMERALD_12
455	5.503	5.503	EMERALD_13
460	5.503	5.503	EMERALD_14
465	5.503	5.503	EMERALD_15
470	5.503	5.503	EMERALD_16
475	5.503	5.503	EMERALD_17
480	5.503	5.503	EMERALD_18
485	5.503	5.503	EMERALD_19
490	5.503	5.503	EMERALD_20
495	5.503	5.503	EMERALD_21
500	5.503	5.503	EMERALD_22
505	5.503	5.503	EMERALD_23
510	5.503	5.503	EMERALD_24
515	5.503	5.503	EMERALD_25
520	5.503	5.503	EMERALD_26
525	5.503	5.503	EMERALD_27
530	5.503	5.503	EMERALD_28
535	5.503	5.503	EMERALD_29
540	5.503	5.503	EMERALD_30
545	5.503	5.503	SAPPHIRE
550	5.503	5.503	SAPPHIRE_1
555	5.503	5.503	SAPPHIRE_2
560	5.503	5.503	SAPPHIRE_3
565	5.503	5.503	SAPPHIRE_4
570	5.503	5.503	SAPPHIRE_5
575	5.503	5.503	SAPPHIRE_6
580	5.503	5.503	SAPPHIRE_7
585	5.503	5.503	SAPPHIRE_8
590	5.503	5.503	SAPPHIRE_9
595	5.503	5.503	SAPPHIRE_10
600	5.503	5.503	SAPPHIRE_11
605	5.503	5.503	SAPPHIRE_12
