	SERVERS	START_CONTENT	END_CONTENT	NEEDED_SCORE	QUANTITY	DROP	EXTRA
>	1-9000	R1	R7	100	500	MOD_POWER	
>	1-9000	R1	R7	100	100000	GOLD	
>	1-9000	R1	R7	350	1000	MOD_POWER	
>	1-9000	R1	R7	350	150	MEMORY_TOKENS	
>	1-9000	R1	R7	850	1500	MOD_POWER	
>	1-9000	R1	R7	850	5	EXP_VIAL	
>	1-9000	R1	R7	1600	2000	MOD_POWER	
>	1-9000	R1	R7	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R1	R7	2600	2500	MOD_POWER	
>	1-9000	R1	R7	2600	500	GEAR_TOKENS	
>	1-9000	R1	R7	3850	3000	MOD_POWER	
>	1-9000	R1	R7	3850	1	STAMINA_CONSUMABLE	
>	1-9000	R1	R7	5350	3500	MOD_POWER	
>	1-9000	R1	R7	5350	2500	GEAR_JUICE	
>	1-9000	R1	R7	7350	4000	MOD_POWER	
>	1-9000	R1	R7	7350	200000	GOLD	
>	1-9000	R1	R7	10350	4500	MOD_POWER	
>	1-9000	R1	R7	10350	300	MEMORY_TOKENS	
>	1-9000	R1	R7	13600	5000	MOD_POWER	
>	1-9000	R1	R7	13600	7	EXP_VIAL	
>	1-9000	R1	R7	17100	5500	MOD_POWER	
>	1-9000	R1	R7	17100	750	GEAR_TOKENS	
>	1-9000	R1	R7	20850	6000	MOD_POWER	
>	1-9000	R1	R7	20850	2	STAMINA_CONSUMABLE	
>	1-9000	R1	R7	24850	6500	MOD_POWER	
>	1-9000	R1	R7	24850	3000	GEAR_JUICE	
>	1-9000	R1	R7	29100	7000	MOD_POWER	
>	1-9000	R1	R7	29100	300000	GOLD	
>	1-9000	R1	R7	33600	7500	MOD_POWER	
>	1-9000	R1	R7	33600	450	MEMORY_TOKENS	
>	1-9000	R1	R7	38350	8000	MOD_POWER	
>	1-9000	R1	R7	38350	10	EXP_VIAL	
>	1-9000	R1	R7	44350	8500	MOD_POWER	
>	1-9000	R1	R7	44350	1000	GEAR_TOKENS	
>	1-9000	R1	R7	50850	9000	MOD_POWER	
>	1-9000	R1	R7	50850	3	STAMINA_CONSUMABLE	
>	1-9000	R1	R7	57850	9500	MOD_POWER	
>	1-9000	R1	R7	57850	3500	GEAR_JUICE	
>	1-9000	R1	R7	65350	10000	MOD_POWER	
>	1-9000	R1	R7	65350	400000	GOLD	
>	1-9000	R1	R7	73350	10500	MOD_POWER	
>	1-9000	R1	R7	73350	500	MEMORY_TOKENS	
>	1-9000	R1	R7	81850	11000	MOD_POWER	
>	1-9000	R1	R7	81850	15	EXP_VIAL	
>	1-9000	R1	R7	90850	11500	MOD_POWER	
>	1-9000	R1	R7	90850	1250	GEAR_TOKENS	
>	1-9000	R1	R7	100350	12000	MOD_POWER	
>	1-9000	R1	R7	100350	4	STAMINA_CONSUMABLE	
>	1-9000	R1	R7	110350	12500	MOD_POWER	
>	1-9000	R1	R7	110350	4000	GEAR_JUICE	
>	1-9000	R7	R8	100	500	MOD_POWER	
>	1-9000	R7	R8	100	200000	GOLD	
>	1-9000	R7	R8	350	1000	MOD_POWER	
>	1-9000	R7	R8	350	150	MEMORY_TOKENS	
>	1-9000	R7	R8	850	1500	MOD_POWER	
>	1-9000	R7	R8	850	10	EXP_VIAL	
>	1-9000	R7	R8	1600	2000	MOD_POWER	
>	1-9000	R7	R8	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R7	R8	2600	2500	MOD_POWER	
>	1-9000	R7	R8	2600	500	GEAR_TOKENS	
>	1-9000	R7	R8	3850	3000	MOD_POWER	
>	1-9000	R7	R8	3850	1	STAMINA_CONSUMABLE	
>	1-9000	R7	R8	5350	3500	MOD_POWER	
>	1-9000	R7	R8	5350	2500	GEAR_JUICE	
>	1-9000	R7	R8	7350	4000	MOD_POWER	
>	1-9000	R7	R8	7350	300000	GOLD	
>	1-9000	R7	R8	10350	4500	MOD_POWER	
>	1-9000	R7	R8	10350	300	MEMORY_TOKENS	
>	1-9000	R7	R8	13600	5000	MOD_POWER	
>	1-9000	R7	R8	13600	15	EXP_VIAL	
