	THRESHOLD	LEAGUE	QUANTITY	DROP	EXTRA
>	99999999	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	150	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	140	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	130	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	120	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	110	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	100	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	90	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	80	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	70	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	60	BRONZE	MAX(500, 0*S)	MOD_POWER	
>	50	BRONZE	MAX(1000, 0*S)	MOD_POWER	
>	45	BRONZE	MAX(1000, 0*S)	MOD_POWER	
>	40	BRONZE	MAX(2000, 0*S)	MOD_POWER	
>	35	BRONZE	MAX(2000, 0*S)	MOD_POWER	
>	30	BRONZE	MAX(3000, 0*S)	MOD_POWER	
>	25	BRONZE	MAX(3000, 0*S)	MOD_POWER	
>	20	BRONZE	MAX(4000, 0*S)	MOD_POWER	
>	15	BRONZE	MAX(4000, 0*S)	MOD_POWER	
>	10	BRONZE	MAX(5000, 0*S)	MOD_POWER	
>	9	BRONZE	MAX(5000, 0*S)	MOD_POWER	
>	8	BRONZE	MAX(5000, 0*S)	MOD_POWER	
>	7	BRONZE	MAX(5000, 0*S)	MOD_POWER	
>	6	BRONZE	MAX(5000, 0*S)	MOD_POWER	
>	5	BRONZE	MAX(6000, 0*S)	MOD_POWER	
>	4	BRONZE	MAX(7000, 0*S)	MOD_POWER	
>	3	BRONZE	MAX(8000, 0*S)	MOD_POWER	
>	2	BRONZE	MAX(9000, 0*S)	MOD_POWER	
>	1	BRONZE	MAX(10000, 0*S)	MOD_POWER	
>	99999999	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	150	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	140	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	130	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	120	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	110	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	100	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	90	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	80	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	70	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	60	SILVER	MAX(10000, 0*S)	MOD_POWER	
>	50	SILVER	MAX(11500, 0*S)	MOD_POWER	
>	45	SILVER	MAX(11500, 0*S)	MOD_POWER	
>	40	SILVER	MAX(13000, 0*S)	MOD_POWER	
>	35	SILVER	MAX(13000, 0*S)	MOD_POWER	
