	IS_INTERNAL	ASSET_ATLAS	ASSET_NAME	ROUND_ASSET_NAME
DONUT_BORDER	FALSE	external_collections	donut_border_square	donut_border_round
FLORAL_BORDER	FALSE	external_collections	floral_border_square	floral_border_round
LEAF_MANE_BORDER	FALSE	external_collections	leaf_mane_border_square	leaf_mane_border_round
MARQUEE_BORDER	FALSE	external_collections	marquee_border_square	marquee_border_round
METAL_BORDER	FALSE	external_collections	metal_border_square	metal_border_round
MICKEY_EARS_BORDER	FALSE	external_collections	mickey_ears_border_square	mickey_ears_border_round
MINNIE_EARS_BORDER	FALSE	external_collections	minnie_ears_border_square	minnie_ears_border_round
MUSIC_BORDER	FALSE	external_collections	music_border_square	music_border_round
PAWPRINT_BORDER	FALSE	external_collections	pawprint_border_square	pawprint_border_round
ROPE_BORDER	FALSE	external_collections	rope_border_square	rope_border_round
ROYALTY_BORDER	FALSE	external_collections	royalty_border_square	royalty_border_round
STEAMPUNK_BORDER	FALSE	external_collections	steampunk_border_square	steampunk_border_round
SUPERHERO_BORDER	FALSE	external_collections	superhero_border_square	superhero_border_round
WATER_BORDER	FALSE	external_collections	water_border_square	water_border_round
FIREWORKS_BORDER	FALSE	external_collections	fireworks_border_square	fireworks_border_round
PIZZA_BORDER	FALSE	external_collections	pizza_border_square	pizza_border_round
SHOOTING_STAR_BORDER	FALSE	external_collections	shooting_star_border_square	shooting_star_border_round
SUN_MOON_BORDER	FALSE	external_collections	sun_and_moon_border_square	sun_and_moon_border_round
GOOFY_BORDER	FALSE	external_collections	goofy_border_square	goofy_border_round
LADYBUG_BORDER	FALSE	external_collections	ladybug_border_square	ladybug_border_round
CANDY_BORDER	FALSE	external_collections	candy_border_square	candy_border_round
BASEBALL_BORDER	FALSE	external_collections	baseball_border_square	baseball_border_round
POWERLINE_BORDER	FALSE	external_collections	powerline_border_square	powerline_border_round
GLITCH_HOLOGRAM_BORDER	FALSE	external_collections	glitch_hologram_border_square	glitch_hologram_border_round
MERMAID_BORDER	FALSE	external_collections	mermaid_scales_border_square	mermaid_scales_border_circle
COMPUTER_CIRCUIT_BORDER	FALSE	external_collections	computer_circuit_border_square	computer_circuit_border_circle
DONALD_HAT_BORDER	FALSE	external_collections	donald_hat_border_square	donald_hat_border_round
FALL_BORDER	FALSE	external_collections	fall_border_square	fall_border_round
FLAMINGO_BORDER	FALSE	external_collections	flamingo_border_square	flamingo_border_round
MUPPET_BORDER	FALSE	external_collections	muppet_border_square	muppet_border_round
NEW_YEAR_BORDER	FALSE	external_collections	new_year_border_square	new_year_border_round
PEPPERMINT_BORDER	FALSE	external_collections	peppermint_candy_border_square	peppermint_candy_border_round
RAINBOW_BORDER	FALSE	external_collections	rainbow_border_square	rainbow_border_round
SNOW_GLOBE_BORDER	FALSE	external_collections	snow_globe_border_square	snow_globe_border_round
WINTER_BORDER	FALSE	external_collections	winter_border_square	winter_border_round
WITCH_BORDER	FALSE	external_collections	witch_border_square	witch_border_round
ALICE_IN_WONDERLAND_BORDER	FALSE	external_collections	alice_in_wonderland_border_square	alice_in_wonderland_border_round
VALENTINES_BORDER	FALSE	external_collections	valentines_day_border_square	valentines_day_border_round
WOOD_BORDER	FALSE	external_collections	wood_border_square	wood_border_round
