	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	HP_MAX	BASIC_DAMAGE	SKILL_POWER	HP_REGEN	ENERGY_REGEN	ARMOR	REALITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	CONSERVATION	IMPROVED_HEALING	EVASION	CRIT_DAMAGE	POWER	NORMAL_CRIT_NEGATION	FANTASTIC_CRIT_NEGATION
RAID_TICKET	MISC	BLUE		R1	10	200		10																					
EXP_FLASK	MISC	WHITE		R1	400	800	1	5		60																			
EXP_PHILTER	MISC	GREEN		R1	1,200	2,400	1	10		300																			
EXP_VIAL	MISC	BLUE		R1	4,000	8,000	5	50		1500																			
EXP_DECANTER	MISC	PURPLE		R1	21,550	43,100	30	250		7500																			
EXP_NITRO	MISC	ORANGE		R1	95,000	190,000	25	1,250		37500																			
EXP_ULTRA	MISC	RED		R1		2,850,000	60	10,000		300000																			
EXP_COLOSSAL	MISC	YELLOW		R1		30,400,000	500	80,000		2400000																			
IRON_ORE	TRASH	WHITE		R1	2,000	4,000	1	2																					
COPPER_ORE	TRASH	GREEN		R1	5,000	10,000	1	5																					
SILVER_ORE	TRASH	BLUE		R1	20,000	40,000	5	10																					
VOLCANIC_ORE	TRASH	PURPLE		R1	50,000	100,000	12	50																					
MITHRIL_ORE	TRASH	ORANGE		R9999	200,000	400,000	50	125																					
VOID_DUST	MISC	GREEN		R1	600	1,200	1	5	10																				
SHIMMER_DUST	MISC	BLUE		R1	3,000	6,000	5	25	60																				
PRIMAL_ESSENCE	MISC	PURPLE		R1	8,000	16,000	30	100	200																				
GENERIC_ORANGE	MISC	ORANGE		R9999																									
ALCHEMY_COST_RESET	MISC	PURPLE		R1			100	500																					
STAMINA_COST_RESET	MISC	PURPLE		R1			400	2,000																					
ELITE_CHANCES_COST_RESET	MISC	PURPLE		R1			200	500																					
STAMINA_CONSUMABLE	MISC	PURPLE		R1			1	50																					
PREMIUM_STAMINA_CONSUMABLE	MISC	PURPLE		R1			60	250																					
FRIEND_STAMINA_CONSUMABLE	MISC	PURPLE		R1			30	250																					
DOUBLE_NORMAL_CAMPAIGN_DROPS	MISC	PURPLE		R1			400	2,000																					
DOUBLE_ELITE_CAMPAIGN_DROPS	MISC	PURPLE		R1			200	1,000																					
PORT_RESET	MISC	PURPLE		R1			1	1																					
TEAM_TRIALS_RESET	MISC	PURPLE		R1			1	1																					
STAMINA_RECHARGE_2X	MISC	PURPLE		R1			1	1																					
STAMINA_RECHARGE_3X	MISC	PURPLE		R1			1	1																					
STAMINA_RECHARGE_4X	MISC	PURPLE		R1			1	1																					
DOUBLE_CAMPAIGN_TEAM_XP	MISC	PURPLE		R1			1	1																					
SHOP_REFRESH	MISC	PURPLE		R1			250	500																					
VIP5_CONSUMABLE	MISC	PURPLE		R1	10,000,000		100	500																					
SILVER_CHEST_ROLL_X1	CHEST	PURPLE		R1			2	100																					
GOLD_CHEST_ROLL_X1	CHEST	PURPLE		R1			100	1,000																					
SOCIAL_CHEST_ROLL_X1	CHEST	PURPLE		R1			50	200																					
SOUL_CHEST_ROLL	CHEST	PURPLE		R9999			400	1,500																					
EVENT_CHEST_ROLL_X1	CHEST	PURPLE		R9999			300	1,500																					
YELLOW_TEAM_CHEST_1X	CHEST	PURPLE		R1																									
YELLOW_TEAM_CHEST_10X	CHEST	ORANGE		R1																									
RED_TEAM_CHEST_1X	CHEST	PURPLE		R1																									
RED_TEAM_CHEST_10X	CHEST	ORANGE		R1																									
BLUE_TEAM_CHEST_1X	CHEST	PURPLE		R1																									
BLUE_TEAM_CHEST_10X	CHEST	ORANGE		R1																									
DPS_ROLE_CHEST_1X	CHEST	PURPLE		R1																									
DPS_ROLE_CHEST_10X	CHEST	ORANGE		R1																									
TANK_ROLE_CHEST_1X	CHEST	PURPLE		R1																									
TANK_ROLE_CHEST_10X	CHEST	ORANGE		R1																									
SUPPORT_ROLE_CHEST_1X	CHEST	PURPLE		R1																									
SUPPORT_ROLE_CHEST_10X	CHEST	ORANGE		R1																									
CONTROL_ROLE_CHEST_1X	CHEST	PURPLE		R1																									
CONTROL_ROLE_CHEST_10X	CHEST	ORANGE		R1																									
COSMETIC_CHEST_1X	CHEST	PURPLE		R1																									
