	PURCHASE_COUNT_RANGE	DIAMOND_BURN_RANGE	TEAM_LEVEL_RANGE
0	0	0	0
1	0	0	1-9
2	0	0	10-15
3	0	0	16-26
4	0	0	27-999999
5	0	1-4	1-9
6	0	1-4	10-15
7	0	1-4	16-26
8	0	1-4	27-999999
9	0	5-9	1-9
10	0	5-9	10-15
11	0	5-9	16-26
12	0	5-9	27-999999
13	0	10-999999	1-15
14	0	10-999999	16-26
15	0	10-999999	27-999999
16	1	0	1-9
17	1	0	10-15
18	1	0	16-26
19	1	0	27-999999
20	1	1-4	1-9
21	1	1-4	10-15
22	1	1-4	16-26
23	1	1-4	27-999999
24	1	5-9	1-9
25	1	5-9	10-15
26	1	5-9	16-26
27	1	5-9	27-999999
28	1	10-999999	1-9
29	1	10-999999	10-15
30	1	10-999999	16-26
31	1	10-999999	27-999999
32	2-3	0	1-9
33	2-3	0	10-15
34	2-3	0	16-26
35	2-3	0	27-999999
36	2-3	1-4	1-9
37	2-3	1-4	10-15
38	2-3	1-4	16-26
39	2-3	1-4	27-999999
40	2-3	5-9	1-9
41	2-3	5-9	10-15
42	2-3	5-9	16-26
43	2-3	5-9	27-999999
44	2-3	10-999999	1-9
45	2-3	10-999999	10-15
46	2-3	10-999999	16-26
47	2-3	10-999999	27-999999
48	4-999999	0	1-9
49	4-999999	0	10-15
50	4-999999	0	16-26
51	4-999999	0	27-999999
52	4-999999	1-4	1-9
53	4-999999	1-4	10-15
54	4-999999	1-4	16-26
55	4-999999	1-4	27-999999
56	4-999999	5-9	1-9
57	4-999999	5-9	10-15
58	4-999999	5-9	16-26
59	4-999999	5-9	27-999999
60	4-999999	10-999999	1-9
61	4-999999	10-999999	10-15
62	4-999999	10-999999	16-26
63	4-999999	10-999999	27-999999
