	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	DISPLAY	1	1	<MEMORY_DISKS>	NumOfItems(0,8)
2	ROOT	1	1	<ITEMS_A>	Shuffle
3	ITEMS_A	1	1	? HasGuildPerk(SHOP_SLOTS_MEMORY, 2) ? <SLOTS_8> ? <ITEMS_B>	
4	ITEMS_B	1	1	? HasGuildPerk(SHOP_SLOTS_MEMORY, 1) ? <SLOTS_7> ? <SLOTS_6>	
5	SLOTS_6	1	1	<DIAMOND_DISK> {PriceType=DIAMONDS},<DISKS_X5>, MERCHANT_SLOTS_PERK_UPSELL, MERCHANT_SLOTS_PERK_UPSELL	
6	SLOTS_7	1	1	<DIAMOND_DISK> {PriceType=DIAMONDS},<DISKS_X6>, MERCHANT_SLOTS_PERK_UPSELL	
7	SLOTS_8	1	1	<DIAMOND_DISK> {PriceType=DIAMONDS},<DISKS_X7>	
8	DIAMOND_DISK	1	1	<PRIORITIZED_DISKS>	NumOfItems(0,1)
9	DISKS_X7	1	1	<PRIORITIZED_DISKS>	NumOfItems(0,7)
10	DISKS_X6	1	1	<PRIORITIZED_DISKS>	NumOfItems(0,6)
11	DISKS_X5	1	1	<PRIORITIZED_DISKS>	NumOfItems(0,5)
12	PRIORITIZED_DISKS	1	1	<MEMORY_DISKS_L7>,<MEMORY_DISKS_UNLOCKED>,<MEMORY_DISKS_OWNED_HERO>,<MEMORY_DISKS>	StripDuplicates
13	MEMORY_DISKS_L7	1	1	<ALL_MEMORIES>	RetainIf(UnlockedRealGear,7) & Shuffle
14	MEMORY_DISKS_UNLOCKED	1	1	<ALL_MEMORIES>	RetainIf(UnlockedRealGear) & Shuffle
15	MEMORY_DISKS_OWNED_HERO	1	1	<ALL_MEMORIES>	RetainIf(UnlockedRealGearHero) & Shuffle
16	MEMORY_DISKS	1	1	<ALL_MEMORIES>	Shuffle
17	ALL_MEMORIES	1	5	<@AVAILABLE_REAL_GEAR_BITS>	RetainIf(NeededBit)
