	POWER_COST
1	0
2	250
3	500
4	750
5	1,000
6	1,250
7	1,500
8	1,750
9	2,000
10	2,500
11	3,000
12	3,500
13	4,000
14	4,500
15	5,000
16	5,500
17	6,000
18	6,500
19	7,000
20	7,500
21	8,250
22	9,000
23	9,750
24	10,500
25	11,250
26	12,000
27	12,750
28	13,500
29	14,250
30	15,000
31	16,000
32	17,000
33	18,000
34	19,000
35	20,000
36	21,000
37	22,000
38	23,000
39	24,000
40	25,000
41	26,000
42	27,000
43	28,000
44	29,000
45	30,000
46	31,000
47	32,000
48	33,000
49	34,000
50	35,000
51	36,000
52	37,000
53	38,000
54	39,000
55	40,000
56	41,000
57	42,000
58	43,000
59	44,000
60	45,000
61	46,000
62	47,000
63	48,000
64	49,000
65	50,000
66	51,000
67	52,000
68	53,000
69	54,000
70	55,000
71	56,000
72	57,000
73	58,000
74	59,000
75	60,000
76	61,000
77	62,000
78	63,000
79	64,000
80	65,000
81	66,000
82	67,000
83	68,000
84	69,000
85	70,000
86	71,000
87	72,000
88	73,000
89	74,000
90	75,000
91	76,000
92	77,000
93	78,000
94	79,000
95	80,000
96	81,000
97	82,000
98	83,000
99	84,000
100	85,000
101	86,000
102	87,000
103	88,000
104	89,000
105	90,000
106	91,000
107	92,000
108	93,000
109	94,000
110	95,000
111	96,000
112	97,000
113	98,000
114	99,000
115	100,000
116	101,000
117	102,000
118	103,000
119	104,000
120	105,000
121	106,000
122	107,000
123	108,000
124	109,000
125	110,000
126	111,000
127	112,000
128	113,000
129	114,000
130	115,000
131	116,000
132	117,000
133	118,000
134	119,000
135	120,000
136	121,000
137	122,000
138	123,000
139	124,000
140	125,000
141	126,000
142	127,000
143	128,000
144	129,000
145	130,000
146	131,000
147	132,000
148	133,000
149	134,000
150	135,000
151	136,000
152	137,000
153	138,000
154	139,000
155	140,000
156	141,000
157	142,000
158	143,000
159	144,000
160	145,000
161	146,000
162	147,000
163	148,000
164	149,000
165	150,000
166	151,000
167	152,000
168	153,000
169	154,000
170	155,000
171	156,000
172	157,000
173	158,000
174	159,000
175	160,000
176	161,000
177	162,000
178	163,000
179	164,000
180	165,000
181	166,000
182	167,000
183	168,000
184	169,000
185	170,000
186	171,000
187	172,000
188	173,000
189	174,000
190	175,000
191	176,000
192	177,000
193	178,000
194	179,000
195	180,000
196	181,000
197	182,000
198	183,000
199	184,000
200	185,000
201	186,000
202	187,000
203	188,000
204	189,000
205	190,000
206	191,000
207	192,000
208	193,000
209	194,000
210	195,000
211	196,000
212	197,000
213	198,000
214	199,000
215	200,000
216	201,000
217	202,000
218	203,000
219	204,000
220	205,000
221	206,000
222	207,000
223	208,000
224	209,000
225	210,000
226	211,000
227	212,000
228	213,000
229	214,000
230	215,000
231	216,000
232	217,000
233	218,000
234	219,000
235	220,000
236	221,000
237	222,000
238	223,000
239	224,000
240	225,000
241	226,000
242	227,000
243	228,000
244	229,000
245	230,000
246	231,000
247	232,000
248	233,000
249	234,000
250	235,000
