	HP	BASIC_DAMAGE	SKILL_POWER
0	564426217+27707374*L	5644262+277073*L	6710400+329409*L
1	620868838+32747191*L	6208688+327471*L	7381440+389327*L
2	682955722+40376980*L	6829557+403769*L	8119584+480037*L
3	751251294+50851796*L	7512512+508517*L	8931542+604571*L
4	826376424+64913048*L	8263763+649130*L	9824696+771744*L
5	909014066+83685178*L	9090140+836851*L	10807166+994923*L
6	999915473+108742388*L	9999154+1087423*L	11887882+1292826*L
7	1099907020+142248825*L	10999069+1422488*L	13076671+1691180*L
8	1209897722+187166797*L	12098976+1871667*L	14384338+2225205*L
9	1330887495+247549655*L	13308874+2475496*L	15822772+2943090*L
10	1463976244+328948718*L	14639762+3289487*L	17405049+3910834*L
11	1610373869+438977009*L	16103738+4389770*L	19145554+5218948*L
12	1771411255+588090077*L	17714112+5880900*L	21060109+6991737*L
13	1948552381+790668109*L	19485523+7906681*L	23166120+9400165*L
14	2143407619+1066516803*L	21434075+10665168*L	25482732+12679699*L
15	2357748381+1442950857*L	23577483+14429508*L	28031006+17155082*L
16	2593523219+1957688728*L	25935231+19576887*L	30834106+23274743*L
17	2852875541+2662877940*L	28528754+26628779*L	33917517+31658659*L
18	3138163096+3630696951*L	31381630+36306969*L	37309269+43164952*L
19	3451979405+4961157092*L	34519793+49611570*L	41040196+58982645*L
20	3797177346+6792976583*L	37971772+67929765*L	45144215+80760943*L
21	4176895080+9318746972*L	41768949+93187469*L	49658637+110789547*L
22	4594584588+12806100561*L	45945844+128061005*L	54624500+152250306*L
23	5054043047+17627272236*L	50540428+176272722*L	60086951+209568681*L
