	MAX_LEVEL	POWER
0	20	(3362516+165064*L)*(1+0.05S)
1	30	(3698767+195088*L)*(1+0.05S)
2	40	(4068644+240542*L)*(1+0.05S)
3	50	(4475508+302944*L)*(1+0.05S)
4	60	(4923059+386713*L)*(1+0.05S)
5	70	(5415365+498546*L)*(1+0.05S)
6	80	(5956902+647822*L)*(1+0.05S)
7	90	(6552592+847434*L)*(1+0.05S)
8	100	(7207851+1115028*L)*(1+0.05S)
9	110	(7928636+1474754*L)*(1+0.05S)
10	120	(8721500+1959681*L)*(1+0.05S)
11	130	(9593650+2615164*L)*(1+0.05S)
12	140	(10553015+3503492*L)*(1+0.05S)
13	150	(11608317+4710332*L)*(1+0.05S)
14	160	(12769148+6353675*L)*(1+0.05S)
15	170	(14046063+8596246*L)*(1+0.05S)
16	180	(15450670+11662749*L)*(1+0.05S)
17	190	(16995737+15863848*L)*(1+0.05S)
18	200	(18695310+21629540*L)*(1+0.05S)
19	210	(20564842+29555633*L)*(1+0.05S)
20	220	(22621326+40468528*L)*(1+0.05S)
21	230	(24883458+55515572*L)*(1+0.05S)
22	240	(27371804+76291158*L)*(1+0.05S)
23	250	(30108985+105012841*L)*(1+0.05S)
