	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	GOLD_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
1-1	1	1	WHITE	16		1	CITY_ROOFTOPS_1	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	MR_INCREDIBLE	SUGAR_RUSH,HEARTY_BREAKFAST	ACE_OF_SPADES,CLEVER_FOX	
1-2	1	1	WHITE	16		0	CITY_ROOFTOPS_2	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,VANELLOPE	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	SUNNY_SIDE,HEARTY_BREAKFAST	
1-3	1	1	WHITE	16		0	CITY_ROOFTOPS_3	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,VANELLOPE	ACE_OF_SPADES,SUNNY_SIDE	HEARTY_BREAKFAST,BADGE_OF_FRIENDSHIP	
1-4	1	1	WHITE	16		1	CITY_ROOFTOPS_4	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE	MR_INCREDIBLE,[boss]VANELLOPE	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	ACE_OF_SPADES,SUNNY_SIDE	
1-5	1	1	WHITE	16		0	CITY_ROOFTOPS_5	SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N	[boss]MR_INCREDIBLE,ELASTIGIRL	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	CLEVER_FOX,HEARTY_BREAKFAST	
1-6	1	1	WHITE	16		0	CITY_ROOFTOPS_6	SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,CHIEF_BOGO,SOULLESS_MAGE_N	SUGAR_RUSH,CLEVER_FOX	A_BIT_OF_PRESTIDIGITATION,ACE_OF_SPADES	
1-7	1	1	WHITE	16		1	CITY_ROOFTOPS_7	SOULLESS_SWORD_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,[boss]DASH	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	CLEVER_FOX,ACE_OF_SPADES	10 STONE_VANELLOPE
1-8	1	1	WHITE	16		0	CITY_ROOFTOPS_8	SOULLESS_SWORD_N,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,DASH	SUGAR_RUSH,BELLA_NOTTE	NUMBER_ONE_DIME,A_BIT_OF_PRESTIDIGITATION	
1-9	1	1	WHITE	16		0	CITY_ROOFTOPS_9	SOULLESS_SWORD_N,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,FROZONE	SUGAR_RUSH,NUMBER_ONE_DIME	BELLA_NOTTE,CLEVER_FOX	
1-10	2	1	WHITE	16		1	CITY_ROOFTOPS_12	SOULLESS_BRUTE,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE	CHIEF_BOGO,VANELLOPE,SOULLESS_MAGE_N	SUGAR_RUSH,SUNNY_SIDE	HEARTY_BREAKFAST,NUMBER_ONE_DIME	10 EXP_FLASK
1-11	2	1	WHITE	16		0	CITY_ROOFTOPS_13	SOULLESS_BRUTE,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,VANELLOPE,DASH	SUGAR_RUSH,CLEVER_FOX	BADGE_OF_FRIENDSHIP,BELLA_NOTTE	
1-12	2	1	WHITE	16		0	CITY_ROOFTOPS_12	SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,DASH,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SUGAR_RUSH,NUMBER_ONE_DIME	ACE_OF_SPADES,PAPER_AIRPLANE	
1-13	3	1	WHITE	16		1	CITY_ROOFTOPS_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_MAGE_F	CHIEF_BOGO,[boss]DASH	ACE_OF_SPADES,CLEVER_FOX	HEARTY_BREAKFAST,BADGE_OF_FRIENDSHIP	1 HERO_YAX
1-14	3	1	WHITE	16		0	CITY_ROOFTOPS_14	SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,VANELLOPE,JUDY_HOPPS	SUGAR_RUSH,CLEVER_FOX	SUNNY_SIDE,ACE_OF_SPADES	
1-15	3	1	WHITE	16		0	CITY_ROOFTOPS_15	SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	CHIEF_BOGO,[boss]DASH,YAX	SUGAR_RUSH,NUMBER_ONE_DIME	HEARTY_BREAKFAST,SUNNY_SIDE	
1-16	4	1	WHITE	16		1	CITY_ROOFTOPS_14	SOULLESS_BRUTE,SOULLESS_BRUTE	SOULLESS_BRUTE,SOULLESS_CANNON	CHIEF_BOGO,MR_INCREDIBLE,JUDY_HOPPS,[boss]YAX	NUMBER_ONE_DIME,BELLA_NOTTE	CLEVER_FOX,SUNNY_SIDE	
1-17	4	1	WHITE	16		0	CITY_ROOFTOPS_9	SOULLESS_BRUTE,SOULLESS_CANNON	SOULLESS_BRUTE,SOULLESS_CANNON	[boss]MR_INCREDIBLE,DASH,SOULLESS_CANNON	CLEVER_FOX,BELLA_NOTTE	ACE_OF_SPADES,HEARTY_BREAKFAST	
1-18	4	1	WHITE	16		0	CITY_ROOFTOPS_6	SOULLESS_SWORD_N,SOULLESS_CANNON	SOULLESS_SWORD_N,SOULLESS_CANNON	[boss]MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_CANNON	CLEVER_FOX,SUGAR_RUSH	A_BIT_OF_PRESTIDIGITATION,HEARTY_BREAKFAST	
1-19	5	1	WHITE	16		1	CITY_ROOFTOPS_3	SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_CANNON	CHIEF_BOGO,[boss]DASH,JUDY_HOPPS	SUGAR_RUSH,DULL_SWORD	CLEVER_FOX,ACE_OF_SPADES	1 GOLD_CHEST_ROLL_X1
2-1	5	1	WHITE	16		1	SUBWAY_1	SOULLESS_BRUTE,SOULLESS_CANNON	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_N	[boss]RALPH,VANELLOPE,YAX	PAPER_AIRPLANE,REEL_PARTY_REX	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	
2-2	5	1	WHITE	16		0	SUBWAY_3	SOULLESS_SWORD_N,SOULLESS_SWORD_N	SOULLESS_CANNON,SOULLESS_SWORD_F,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_CANNON,SOULLESS_SWORD_N	CLEVER_FOX,BELLA_NOTTE	PAPER_AIRPLANE,CLEVER_FOX	
2-3	5	1	WHITE	16		0	PORT_1	SOULLESS_CANNON,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,VANELLOPE,YAX	CLEVER_FOX,SUGAR_RUSH	REEL_PARTY_REX,DULL_SWORD	
2-4	5	1	WHITE	16		1	PORT_2	SOULLESS_SWORD_N,SOULLESS_MAGE_N	YAX,SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_N,[boss]FINNICK	GRUB,CLEVER_FOX	HEARTY_BREAKFAST,SUGAR_RUSH	
2-5	5	1	WHITE	16		0	PORT_3	SOULLESS_BRUTE,SOULLESS_MAGE_F	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F	[boss]SOULLESS_BRUTE,[boss]SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_SWORD_N,FINNICK	DULL_SWORD,NUMBER_ONE_DIME	CLEVER_FOX,REEL_PARTY_REX	
2-6	5	1	WHITE	16		0	PORT_4	SOULLESS_SWORD_F,SOULLESS_SWORD_N	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]VANELLOPE,SOULLESS_CANNON,SOULLESS_BRUTE,SOULLESS_SWORD_N	DULL_SWORD,CLEVER_FOX	SUGAR_RUSH,BELLA_NOTTE	
2-7	6	1	WHITE	16		1	PORT_5	SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_F	VANELLOPE,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_SWORD_F	RALPH,SOULLESS_CANNON,[boss]FROZONE,SOULLESS_SWORD_N	MEEKOS_BISCUITS,REEL_INCONSPICUOUS_APPLE	NUMBER_ONE_DIME,CLEVER_FOX	
2-8	6	1	WHITE	16		0	PORT_6	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_CANNON	GRUB,CLEVER_FOX	MEEKOS_BISCUITS,SUGAR_RUSH	
2-9	6	1	WHITE	16		0	PORT_7	SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	[boss]RALPH,SOULLESS_CANNON,FINNICK,SOULLESS_SWORD_N	MULTIPURPOSE_FRYING_PAN,REEL_PARTY_REX	MEEKOS_BISCUITS,NUMBER_ONE_DIME	
2-10	6	1	WHITE	16		1	PORT_8	SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_N,[boss]VANELLOPE	MULTIPURPOSE_FRYING_PAN,REEL_ANEMONEMONE	GRUB,CLEVER_FOX	1 GOLD_CHEST_ROLL_X1
2-11	6	1	WHITE	16		0	PORT_9	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_N,[boss]SOULLESS_SWORD_N,SOULLESS_CANNON,YAX	BADGE_OF_FRIENDSHIP,REEL_INCONSPICUOUS_APPLE	MULTIPURPOSE_FRYING_PAN,GRUB	
2-12	6	1	WHITE	16		0	PORT_10	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_CANNON	YAX,SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_BRUTE	[boss]CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	NUMBER_ONE_DIME,BELLA_NOTTE	BADGE_OF_FRIENDSHIP,MEEKOS_BISCUITS	
2-13	6	1	WHITE	16		1	PORT_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON	DASH,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE,VANELLOPE,[boss]FINNICK	BADGE_OF_STEALTH,NUMBER_ONE_DIME	GRUB,SUGAR_RUSH	
2-14	6	1	WHITE	16		0	PORT_12	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,VANELLOPE,SOULLESS_CANNON,[boss]SOULLESS_SWORD_F	SUNNY_SIDE,GRUB	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	
2-15	7	1	WHITE	16		0	PORT_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	[boss]CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F	BELLA_NOTTE,SUGAR_RUSH	REEL_BLUEBIRD_OF_HAPPINESS,NUMBER_ONE_DIME	
2-16	7	1	WHITE	16		1	PORT_14	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_MAGE_F	YAX,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_CANNON,VANELLOPE,FINNICK,[boss]ELASTIGIRL	FISHING_POLE,REEL_BLUEBIRD_OF_HAPPINESS	HEARTY_BREAKFAST,SUGAR_RUSH	10 EXP_PHILTER
2-17	7	1	WHITE	16		0	PORT_15	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE	YAX,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_N	[boss]SOULLESS_BRUTE,SOULLESS_CANNON,VANELLOPE,SOULLESS_SWORD_N	REEL_INCONSPICUOUS_APPLE,REEL_BLUEBIRD_OF_HAPPINESS	BADGE_OF_FRIENDSHIP,SUGAR_RUSH	
2-18	7	1	WHITE	16		0	PORT_5	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F,SOULLESS_SWORD_F	JUDY_HOPPS,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_CANNON	[boss]SOULLESS_SWORD_F,SOULLESS_TURRET,YAX,FINNICK	MULTIPURPOSE_FRYING_PAN,CLEVER_FOX	REEL_INCONSPICUOUS_APPLE,BELLA_NOTTE	
2-19	7	1	WHITE	16		1	PORT_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N	SOULLESS_MAGE_N,SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_SWORD_F,SOULLESS_SWORD_F,YAX,[boss]FINNICK	ACE_OF_SPADES,GRUB	HEARTY_BREAKFAST,NUMBER_ONE_DIME	1 GOLD_CHEST_ROLL_X1
3-1	8	1	WHITE	16		1	SUBWAY_3	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_SWORD_N	SOULLESS_BRUTE,SOULLESS_BRUTE,VANELLOPE,JUDY_HOPPS,[boss]YAX	EMBRITTLEMENT_PERFUME,PIRATES_COMPASS,HEARTY_BREAKFAST	SUGAR_RUSH,BADGE_OF_FRIENDSHIP	
3-2	8	1	WHITE	16		0	SUBWAY_2	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_N	SOULLESS_MAGE_F,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F,SOULLESS_CANNON	[boss]RALPH,SOULLESS_SWORD_F,DASH,SOULLESS_CANNON	HEARTY_BREAKFAST,MULTIPURPOSE_FRYING_PAN,SUGAR_RUSH	TOUGH_COOKIE,REEL_PARTY_REX	
3-3	9	1	WHITE	16		0	BLACK_MARKET_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_SWORD_F	DASH,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_SWORD_N	[boss]MR_INCREDIBLE,SOULLESS_SWORD_F,SOULLESS_CANNON,ELASTIGIRL	A_BIT_OF_PRESTIDIGITATION,REEL_PARTY_REX,PAPER_AIRPLANE	BELLA_NOTTE,PIRATES_COMPASS	
3-4	4	1	GREEN	16		1	BLACK_MARKET_2	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,[boss]MR_INCREDIBLE,SOULLESS_CANNON,SOULLESS_SWORD_N,FINNICK	SUPER_DUPER_GLUE,TOUGH_COOKIE,REEL_CRAB_CAKE	SUGAR_RUSH,A_BIT_OF_PRESTIDIGITATION	10 EXP_PHILTER
3-5	5	1	GREEN	16		0	BLACK_MARKET_3	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,SOULLESS_MAGE_F,SOULLESS_CANNON,YAX	REEL_LOVELY_BUNCH_OF_COCONUTS,BELLA_NOTTE,CLEVER_FOX	SUGAR_RUSH,PAPER_AIRPLANE	
3-6	6	1	GREEN	16		0	BLACK_MARKET_4	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]MR_INCREDIBLE,RALPH,JUDY_HOPPS,FROZONE	SNUGGLY_DUCKLING,CLEVER_FOX,SUGAR_RUSH	PAPER_AIRPLANE,ACE_OF_SPADES	
3-7	7	1	GREEN	16		1	BLACK_MARKET_5	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	CHIEF_BOGO,MR_INCREDIBLE,VANELLOPE,[boss]FROZONE,SOULLESS_MAGE_F	GLASS_SLIPPERS,SWORD_IN_A_STONE,REEL_LOVELY_BUNCH_OF_COCONUTS	SUNNY_SIDE,SUGAR_RUSH	
3-8	7	1	GREEN	16		0	BLACK_MARKET_6	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_BRUTE	DASH,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,CHIEF_BOGO,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SUPER_DUPER_GLUE,PAPER_AIRPLANE,DULL_SWORD	NUMBER_ONE_DIME,ACE_OF_SPADES	
3-9	8	1	GREEN	16		0	BLACK_MARKET_7	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_SWORD_N	[boss]CHIEF_BOGO,SOULLESS_BRUTE,RALPH,SOULLESS_MAGE_N	TOUGH_COOKIE,MULTIPURPOSE_FRYING_PAN,MEEKOS_BISCUITS	DULL_SWORD,NUMBER_ONE_DIME	
3-10	8	1	GREEN	16		1	BLACK_MARKET_8	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F	SOULLESS_BRUTE,SOULLESS_MAGE_F,VANELLOPE,JUDY_HOPPS,[boss]ELASTIGIRL	COOKBOOK,REEL_GOLDEN_FLOWER,MULTIPURPOSE_FRYING_PAN	ACE_OF_SPADES,NUMBER_ONE_DIME	11 STONE_YAX
