	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107
1	6																																																																																																										
2	6	6																																																																																																									
3	6	6	6																																																																																																								
4	6	6	6	6																																																																																																							
5	6	6	6	6	6																																																																																																						
6	6	6	6	6	6	6																																																																																																					
7	6	6	6	6	6	6	8																																																																																																				
8	6	6	6	6	6	6	6	8																																																																																																			
9	6	6	6	6	6	6	6	8	10																																																																																																		
10	6	6	6	6	6	6	6	6	8	10																																																																																																	
11	6	6	6	6	6	6	6	6	8	10	12																																																																																																
12	6	6	6	6	6	6	6	6	6	8	10	12																																																																																															
13	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																														
14	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																													
15	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																												
16	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																											
17	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																										
18	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																									
19	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12																																																																																								
20	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																							
21	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																						
22	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																					
23	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																				
24	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																			
25	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																		
26	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																	
27	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																																
28	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																															
29	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																														
30	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																													
31	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	10	12	14																																																																												
