	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	ROOT	1	1	<XP_PORT>,<STONES_DIV_GOLD>,<STONES_DIV_DIAMONDS>,<GEAR_MIDDLE>,< GEAR_MIDDLE >,<GEAR_BOTTOM>,<GEAR_BOTTOM>,< GEAR_MIDDLE_DIAMONDS >,<PERK_A>,<PERK_B>	Try NoDups
2	PERK_A	1	1	? HasGuildPerk(SHOP_SLOTS_NORMAL, 1) ? <GEAR_MIDDLE_DIAMONDS> ? MERCHANT_SLOTS_PERK_UPSELL	
3	PERK_B	1	1	? HasGuildPerk(SHOP_SLOTS_NORMAL, 2) ? <GEAR_BOTTOM> ? MERCHANT_SLOTS_PERK_UPSELL	
4	XP	20	20	EXP_FLASK {PriceType=GOLD}	
5	XP	15	10	EXP_PHILTER {PriceType=GOLD}	
6	XP	10	40	EXP_FLASK {PriceType=GOLD}	
7	XP	5	20	EXP_PHILTER {PriceType=GOLD}	
8	STONES	auto x5	1 to 2	STONE_<1_STAR> {PriceType=GOLD}	
9	STONES	auto x2	1 to 2	STONE_<2_AND_3_STAR> {PriceType=DIAMONDS}	
10	STONES_GOLD	auto x5	1 to 2	STONE_<1_STAR> {PriceType=GOLD}	
11	STONES_DIAMONDS	auto x2	1 to 2	STONE_<2_AND_3_STAR> {PriceType=DIAMONDS}	
12	1_STAR	auto	1	<ALL_1_STAR>	!IsEmpty & PickRandom
13	2_AND_3_STAR	auto	1	<ALL_2_AND_3_STAR>	!IsEmpty & PickRandom
14	ALL_1_STAR	dynamic	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	RetainIf(HeroStars, 1)
15	ALL_2_AND_3_STAR	dynamic	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	RemoveIf(HeroStars, 1)
16	1_STAR_PRICE	25	1	GOLD	
17	1_STAR_PRICE	75	1	DIAMONDS	
18	GEAR	1	1 to 3	<ALL_GEAR> {PriceType=GOLD}	AllAre(AvailableItem)
19	GEAR_DIAMONDS	1	1 to 3	<ALL_GEAR> {PriceType=DIAMONDS}	AllAre(AvailableItem)
20	ALL_GEAR	1	1	<@WHITE_FULL>	
21	ALL_GEAR	1	1	<@GREEN_FULL>	
22	ALL_GEAR	1	1	<@BLUE_SHARD>	
23	ALL_GEAR	1	1	? ServerHasPurple  ? <@PURPLE_SHARD> ? <@BLUE_SHARD>	
24	GEAR_MIDDLE	1	1 to 3	<DIVISION_GEAR> {PriceType=GOLD}	NeededDivisionGear(mid) & PickRandom
25	GEAR_BOTTOM	1	1 to 3	<DIVISION_GEAR> {PriceType=GOLD}	NeededDivisionGear(bot) & PickRandom
26	GEAR_MIDDLE_DIAMONDS	1	1 to 3	<DIVISION_GEAR> {PriceType=DIAMONDS}	NeededDivisionGear(mid) & PickRandom
27	DIVISION_GEAR	1	1	<@WHITE_FULL_LIST>, <@GREEN_FULL_LIST>, <@BLUE_FULL_LIST>, <@PURPLE_FULL_LIST>,<@ORANGE_FULL_LIST>,<@RED_FULL_LIST>, <@YELLOW_FULL_LIST>, <@EMERALD_FULL_LIST>, <@SAPPHIRE_FULL_LIST>	RetainIf(AvailableItem)
28	XP_PORT	1	1	EXP_FLASK,EXP_PHILTER,EXP_VIAL,EXP_DECANTER,EXP_NITRO,EXP_ULTRA,EXP_COLOSSAL	XPBasedInPort
29	STONES_DIV_GOLD	1	1	STONE_<ALL_STARS> {PriceType=GOLD}	
30	STONES_DIV_DIAMONDS	1	1	STONE_<ALL_STARS> {PriceType=DIAMONDS}	
31	ALL_STARS	1	1	<ALL_STAR>	!IsEmpty & FilterHeroChips & PickRandom
32	ALL_STAR	1	1	<@NON_EXCLUSIVE_HEROES>,<@GOLD_CHEST_EXCLUSIVE_HEROES>	
