	04/21/2026 11:45:00	03/17/2026 11:45:00	02/17/2026 11:45:00	01/20/2026 11:45:00	12/17/2025 11:45:00	12/16/2025 11:45:00	11/18/2025 11:45:00	10/21/2025 11:45:00	09/23/2025 11:45:00	09/09/2025 11:45:00	08/19/2025 11:45:00	07/22/2025 11:45:00	07/01/2025 11:45:00	06/24/2025 11:45:00	05/27/2025 11:45:00	04/29/2025 11:45:00	04/01/2025 11:45:00	03/04/2025 11:45:00	02/04/2025 11:45:00	01/07/2025 11:45:00	12/10/2024 11:45:00	11/25/2024 11:45:00	11/12/2024 11:45:00	10/15/2024 11:45:00	09/03/2024 11:45:00	08/06/2024 11:45:00	07/09/2024 11:45:00	06/11/2024 11:45:00	05/14/2024 11:45:00	04/16/2024 11:45:00	03/19/2024 11:45:00	02/20/2024 11:45:00	12/26/2023 11:45:00	11/28/2023 11:45:00	10/30/2023 11:45:00	10/02/2023 11:45:00	09/05/2023 11:45:00	08/08/2023 11:45:00	07/11/2023 11:45:00	06/20/2023 11:45:00	05/16/2023 11:45:00	04/18/2023 11:45:00	03/09/2023 11:30:00	02/21/2023 11:30:00	01/24/2023 11:30:00	12/16/2022 11:30:00	11/15/2022 00:00:00
Patch Level Hard Cap	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	20	20	20	20	20	20	15	15	15	15	15	10	10	10	7	5	3
TRIAL$0_ACTIVE_DAYS	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY	MONDAY, THURSDAY, SUNDAY
TRIAL$0_FRANCHISE_0	WILDCARD	CARS	FROZEN	THE_LION_KING	KIM_POSSIBLE	KIM_POSSIBLE	BEAUTY_AND_THE_BEAST	HOCUS_POCUS	THE_ARISTOCATS	RAYA_AND_THE_LAST_DRAGON	RAYA_AND_THE_LAST_DRAGON	TREASURE_PLANET	RATATOUILLE	RATATOUILLE	WRECK_IT_RALPH	CINDERELLA	INSIDE_OUT	MULAN	TANGLED	THE_LION_KING	PIRATES_OF_THE_CARIBBEAN	THE_GREAT_MOUSE_DETECTIVE	THE_GREAT_MOUSE_DETECTIVE	THE_LION_KING	TOY_STORY	INSIDE_OUT	THE_JUNGLE_BOOK	BIG_HERO_SIX	A_GOOFY_MOVIE	HERCULES	THE_NIGHTMARE_BEFORE_CHRISTMAS	KIM_POSSIBLE	TOY_STORY	WILDCARD	KIM_POSSIBLE	THE_NIGHTMARE_BEFORE_CHRISTMAS	INCREDIBLES	ALICE_IN_WONDERLAND	MUPPETS	PRINCESS	PRINCESS	DARKWING_DUCK	KIM_POSSIBLE	INSIDE_OUT	LILO_AND_STITCH	DUCKTALES	ALADDIN
TRIAL$0_FRANCHISE_1		SNOW_WHITE_AND_THE_SEVEN_DWARFS					THE_ARISTOCATS	MONSTERS_INC	ATLANTIS	THE_PRINCESS_AND_THE_FROG	THE_PRINCESS_AND_THE_FROG	THE_ARISTOCATS	THE_SWORD_IN_THE_STONE	THE_SWORD_IN_THE_STONE		THE_OWL_HOUSE		UP	ENCANTO			ALICE_IN_WONDERLAND	ALICE_IN_WONDERLAND	MEET_THE_ROBINSONS					PHINEAS_AND_FERB		PHINEAS_AND_FERB							FINDING_NEMO		MULAN		ATLANTIS	RATATOUILLE	TRON_LEGACY			
TRIAL$0_FRANCHISE_2																																															
TRIAL$0_FRANCHISE_3																																															
TRIAL$0_FRANCHISE_4																																															
TRIAL$1_ACTIVE_DAYS	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY	TUESDAY,FRIDAY,SUNDAY
TRIAL$1_FRANCHISE_0	THE_JUNGLE_BOOK	WILDCARD	MICKEY_AND_FRIENDS	PRINCESS	TRON_LEGACY	TRON_LEGACY	COCO	MEET_THE_ROBINSONS	INSIDE_OUT	WILDCARD	WILDCARD	PETER_PAN	PHINEAS_AND_FERB	PHINEAS_AND_FERB	INCREDIBLES	PHINEAS_AND_FERB	WINNIE_THE_POOH	ZOOTOPIA	FROZEN	ENCANTO	THE_NIGHTMARE_BEFORE_CHRISTMAS	WILDCARD	WILDCARD	WILDCARD	KIM_POSSIBLE	BEAUTY_AND_THE_BEAST	AMERICAN_DRAGON_JAKE_LONG	WILDCARD	THE_EMPERORS_NEW_GROOVE	THE_JUNGLE_BOOK	TRON_LEGACY	AMERICAN_DRAGON_JAKE_LONG	FROZEN	ATLANTIS	AMERICAN_DRAGON_JAKE_LONG	HOCUS_POCUS	BEAUTY_AND_THE_BEAST	THE_LION_KING	HERCULES	MICKEY_AND_FRIENDS	MICKEY_AND_FRIENDS	WINNIE_THE_POOH	MOANA	GARGOYLES	ROBIN_HOOD	FROZEN	BIG_HERO_SIX
TRIAL$1_FRANCHISE_1					GARGOYLES	GARGOYLES	THE_OWL_HOUSE	CINDERELLA				SLEEPING_BEAUTY				COCO	ROBIN_HOOD		FANTASIA	FINDING_NEMO						COCO	RAYA_AND_THE_LAST_DRAGON		COCO		THE_EMPERORS_NEW_GROOVE	ONWARD	MULAN		ONWARD	MONSTERS_INC	SNOW_WHITE_AND_THE_SEVEN_DWARFS		THE_PRINCESS_AND_THE_FROG					TREASURE_PLANET		SLEEPING_BEAUTY	
