	PATCH_LEVEL	PATCH_ESSENCE_COST	PATCH_ESSENCE_TIER	TALENT_UNLOCK
1	1	50	PATCH_ESSENCE_1	1_1
2	2	55	PATCH_ESSENCE_1	1_2
3	3	60	PATCH_ESSENCE_1	1_3
4	4	65	PATCH_ESSENCE_1	1_4
5	5	75	PATCH_ESSENCE_1	1_5
6	6	40	PATCH_ESSENCE_2	2_1
7	7	45	PATCH_ESSENCE_2	2_2
8	8	50	PATCH_ESSENCE_2	2_3
9	9	55	PATCH_ESSENCE_2	2_4
10	10	60	PATCH_ESSENCE_2	2_5
11	11	25	PATCH_ESSENCE_3	3_1
12	12	30	PATCH_ESSENCE_3	3_2
13	13	30	PATCH_ESSENCE_3	3_3
14	14	35	PATCH_ESSENCE_3	3_4
15	15	40	PATCH_ESSENCE_3	3_5
16	16	20	PATCH_ESSENCE_4	4_1
17	17	25	PATCH_ESSENCE_4	4_2
18	18	25	PATCH_ESSENCE_4	4_3
19	19	30	PATCH_ESSENCE_4	4_4
20	20	30	PATCH_ESSENCE_4	4_5
21	21	15	PATCH_ESSENCE_5	5_1
22	22	20	PATCH_ESSENCE_5	5_2
23	23	20	PATCH_ESSENCE_5	5_3
24	24	25	PATCH_ESSENCE_5	5_4
25	25	25	PATCH_ESSENCE_5	5_5
26	26	25	PATCH_ESSENCE_5	-
27	27	30	PATCH_ESSENCE_5	-
28	28	35	PATCH_ESSENCE_5	-
29	29	35	PATCH_ESSENCE_5	-
30	30	40	PATCH_ESSENCE_5	-
31	31	45	PATCH_ESSENCE_5	-
32	32	50	PATCH_ESSENCE_5	-
33	33	55	PATCH_ESSENCE_5	-
34	34	60	PATCH_ESSENCE_5	-
35	35	65	PATCH_ESSENCE_5	-
36	36	70	PATCH_ESSENCE_5	-
37	37	80	PATCH_ESSENCE_5	-
38	38	85	PATCH_ESSENCE_5	-
39	39	95	PATCH_ESSENCE_5	-
40	40	105	PATCH_ESSENCE_5	-
41	41	115	PATCH_ESSENCE_5	-
42	42	125	PATCH_ESSENCE_5	-
43	43	140	PATCH_ESSENCE_5	-
44	44	150	PATCH_ESSENCE_5	-
45	45	165	PATCH_ESSENCE_5	-
46	46	185	PATCH_ESSENCE_5	-
47	47	200	PATCH_ESSENCE_5	-
48	48	220	PATCH_ESSENCE_5	-
49	49	245	PATCH_ESSENCE_5	-
50	50	270	PATCH_ESSENCE_5	-
