	PATCH_POWER	MAX_PATCH_LEVEL	TOTAL_PATCH_LEVELS_REQUIRED	PATCH_POWER_MULTIPLIER
1	1	1	15	1.01
2	2	2	40	1.02
3	3	3	75	1.03
4	4	4	120	1.04
5	5	5	175	1.05
6	6	6	240	1.06
7	7	7	315	1.07
8	8	8	400	1.08
9	9	9	495	1.09
10	10	10	600	1.10
11	11	11	715	1.11
12	12	12	840	1.12
13	13	13	975	1.13
14	14	14	1120	1.14
15	15	15	1275	1.15
16	16	16	1440	1.16
17	17	17	1615	1.17
18	18	18	1800	1.18
19	19	19	1995	1.19
20	20	20	2200	1.20
21	21	21	2415	1.21
22	22	22	2640	1.22
23	23	23	2875	1.23
24	24	24	3120	1.24
25	25	25	3375	1.25
26	26	26	3640	1.26
27	27	27	3915	1.27
28	28	28	4200	1.28
29	29	29	4495	1.29
30	30	30	4800	1.30
31	31	31	5115	1.31
32	32	32	5440	1.32
33	33	33	5775	1.33
34	34	34	6120	1.34
35	35	35	6475	1.35
36	36	36	6840	1.36
37	37	37	7215	1.37
38	38	38	7600	1.38
39	39	39	7995	1.39
40	40	40	8400	1.40
41	41	41	8815	1.41
42	42	42	9240	1.42
43	43	43	9675	1.43
44	44	44	10120	1.44
45	45	45	10575	1.45
46	46	46	11040	1.46
47	47	47	11515	1.47
48	48	48	12000	1.48
49	49	49	12495	1.49
50	50	50	13000	1.50
