	UNIT_TYPE	TALENT_1	TALENT_2	TALENT_3	TALENT_4	TALENT_5
1	GENIE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	TENDERIZE	TIRELESS
2	ALADDIN	CONTROL_AGGRESSIVE	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	SHREWD_STRIKES	DEVASTATING_BLOWS
3	JAFAR	PREDICTIVE_DEBILITATION	CLOAKING_ATTACKS	SPEED_DEBILITATION	DEVIOUS_PLOT	ALLURING_LOYALTY
4	JASMINE	RELENTLESS	SELF_PURIFICATION	BOLD_STURDINESS	HAUNT	INVINCIBLE_RETRIBUTION
5	ABU	CLOAKING_ATTACKS	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	DEVIOUS_PLOT	HAUNT
6	BAYMAX	ARMOR_BENEVOLENCE	ARMOR_BLIGHT	ARMOR_SHARE	ENABLING_SHIELD	INVINCIBLE_REJUVENATION
7	HIRO	SPEED_DEBILITATION	POWER_DEBILITATION	PREDICTIVE_DEBILITATION	AUGMENTED_STUN	DEVIOUS_PLOT
8	HONEY_LEMON	POWER_DEBILITATION	REALITY_DEBILITATION	REALITY_BLIGHT	LACERATE	DEVASTATING_BLOWS
9	WASABI	CONTROL_AGGRESSIVE	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	FRENZIED_VENGEANCE	AUGMENTED_STUN
10	GO_GO	NIMBLE	HEALTH_DRAIN	SUPPORT_AGGRESSIVE	SHREWD_STRIKES	DEVASTATING_BLOWS
11	FRED_FREDERICKSON	PREDICTIVE_DEBILITATION	HEAL_SHARE	HEALTH_DRAIN	LACERATE	INVINCIBLE_RETRIBUTION
12	JUDY_HOPPS	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	HEALTH_DRAIN	INVINCIBLE_MOMENTUM	INVINCIBLE_REJUVENATION
13	NICK_WILDE	DAMAGE_DEBILITATION	REALITY_BLIGHT	SPEED_DEBILITATION	ALLURING_LOYALTY	AUGMENTED_STUN
14	FINNICK	POWER_DEBILITATION	ARMOR_BLIGHT	BLINDING_ATTACKS	AUGMENTED_STUN	SHREWD_STRIKES
15	CHIEF_BOGO	SPEED_BENEVOLENCE	HEAL_SHARE	SHIELD_SHARE	ENABLING_SHIELD	TIRELESS
16	YAX	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	POWER_BENEVOLENCE	TIRELESS	BOUNTIFUL_GROWTH
17	CLAWHAUSER	REALITY_SHARE	ARMOR_SHARE	POWER_BENEVOLENCE	BOUNTIFUL_GROWTH	REFLECTIVE_REFUGE
