	PATCH_TALENT	EXTRA	ENUM
1	CompleteFortification	immuneStudyPierceTime=6s	COMPLETE_FORTIFICATION
2	BoldSturdiness	immuneScareShatterTime=6s	BOLD_STURDINESS
3	Dauntless	immuneStunFreezeTime=6s	DAUNTLESS
4	StoutSenses	immuneBlindSilenceTime=6s	STOUT_SENSES
5	SelfPurification	immuneCurseSapTime=6s	SELF_PURIFICATION
6	StoicDetermination	immuneCharmHexTime=6s	STOIC_DETERMINATION
7	Nimble	immuneSlowTime=6s	NIMBLE
8	Relentless	immuneKnockbackTime=6s	RELENTLESS
9	HealShare	healSharePercent=0.1s[%]	HEAL_SHARE
10	ShieldShare	shieldSharePercent=0.25+0.1s[%];shieldDuration=10	SHIELD_SHARE
11	ArmorShare	armorSharePercent=0.1s[%];armorDuration=8	ARMOR_SHARE
12	RealityShare	realitySharePercent=0.1s[%];realityDuration=8	REALITY_SHARE
13	ArmorBlight	armorReducePercent=0.1s[%];debuffDuration=8	ARMOR_BLIGHT
14	RealityBlight	realityReducePercent=0.1s[%];debuffDuration=8	REALITY_BLIGHT
15	HealthDrain	healPercent=0.1s[%]	HEALTH_DRAIN
16	TankAggressive	damageVsTankPercent=0.4s[%]	TANK_AGGRESSIVE
17	SupportAggressive	damageVsSupportPercent=0.4s[%]	SUPPORT_AGGRESSIVE
18	ControlAggressive	damageVsControlPercent=0.4s[%]	CONTROL_AGGRESSIVE
19	DamageAggressive	damageVsDpsPercent=0.4s[%]	DAMAGE_AGGRESSIVE
20	Dominance	damagePercent=0.02s[%]	DOMINANCE
21	Cruelty	cursePercent=0.1s[%]	CRUELTY
22	DevastatingSap	sapPercent=0.1s[%]	DEVASTATING_SAP
23	ArmorDebilitation	reduceArmorPercent=0.15s[%];debuffDuration=3;reduceCooldown=5	ARMOR_DEBILITATION
24	RealityDebilitation	reduceRealityPercent=0.15s[%];debuffDuration=3;reduceCooldown=5	REALITY_DEBILITATION
25	PowerDebilitation	reduceBdSpPercent=0.15s[%];debuffDuration=3;reduceCooldown=5	POWER_DEBILITATION
26	SpeedDebilitation	reduceSpeedPercent=0.1s[%];debuffDuration=3;reduceCooldown=5	SPEED_DEBILITATION
27	PredictiveDebilitation	reduceTenEvasPercent=0.2s[%];debuffDuration=3;reduceCooldown=5	PREDICTIVE_DEBILITATION
28	DamageDebilitation	reduceDmgDealtPercent=0.15s[%];debuffDuration=3;reduceCooldown=5	DAMAGE_DEBILITATION
29	ArmorBenevolence	increaseArmorPercent=0.2s[%];buffDuration=6;increaseCooldown=10	ARMOR_BENEVOLENCE
