	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	8	1	WHITE	165	PORT_10	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_CANNON,SOULLESS_SWORD_N	SOULLESS_SWORD_N,CALHOUN,SOULLESS_CANNON,SOULLESS_SPLASH_N,VIOLET	[boss]RALPH,CHIEF_BOGO,MR_INCREDIBLE,DASH,JUDY_HOPPS
2	16	1	GREEN	190	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_TURRET,SOULLESS_SWORD_N	CHIEF_BOGO,SOULLESS_SWORD_N,DASH,SOULLESS_CANNON,FINNICK	RALPH,[boss]MR_INCREDIBLE,DASH,JUDY_HOPPS,FINNICK
3	20	1	GREEN_1	215	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_CANNON	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_SPLASH_N,CALHOUN,SOULLESS_MAGE_N	RALPH,MR_INCREDIBLE,CHIEF_BOGO,DASH,[boss]JUDY_HOPPS
4	27	2	BLUE	240	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_TURRET,SOULLESS_MAGE_N	RALPH,SOULLESS_CANNON,SOULLESS_SPLASH_N,SOULLESS_MAGE_N,DASH	MR_INCREDIBLE,RALPH,[boss]DASH,CALHOUN,JUDY_HOPPS
5	38	2	BLUE_1	265	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SPLASH_N,DASH	RALPH,MR_INCREDIBLE,[boss]DASH,CALHOUN,FINNICK
6	48	2	PURPLE	290	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SPLASH_N,SOULLESS_CANNON	SOULLESS_SWORD_N,CALHOUN,SOULLESS_SPLASH_N,SOULLESS_CANNON,VIOLET	CHIEF_BOGO,DASH,CALHOUN,VIOLET,[boss]FINNICK
7	58	3	PURPLE_1	315	PORT_10	SOULLESS_SWORD_N,SOULLESS_SPLASH_N,SOULLESS_CANNON,SOULLESS_MAGE_N	CHIEF_BOGO,SOULLESS_CANNON,DASH,SOULLESS_TURRET,SOULLESS_SPLASH_N	RALPH,DASH,CALHOUN,JUDY_HOPPS,[boss]VIOLET
8	68	4	PURPLE_2	340	PORT_10	SOULLESS_SWORD_N,SOULLESS_SPLASH_N,SOULLESS_TURRET,SOULLESS_MAGE_N	RALPH,CHIEF_BOGO,CALHOUN,SOULLESS_SPLASH_N,SOULLESS_SPLASH_N	CHIEF_BOGO,RALPH,[boss]MR_INCREDIBLE,DASH,VIOLET
9	78	5	PURPLE_3	365	PORT_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SPLASH_N,SOULLESS_SPLASH_N	SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_TURRET,SOULLESS_CANNON,VIOLET	RALPH,CHIEF_BOGO,CALHOUN,[boss]FINNICK,JUDY_HOPPS
10	83	5	PURPLE_4	390	PORT_10	BAYMAX,JACK_SPARROW,SOULLESS_SPLASH_N,JUDY_HOPPS	MR_INCREDIBLE,BUZZ,JACK_SPARROW,SOULLESS_GLASS_CANNON_N,MIGUEL	SOULLESS_GHOUL_N,[boss]RALPH,MERIDA,SOULLESS_TURRET,CALHOUN
11	88	5	ORANGE	415	PORT_10	MR_INCREDIBLE,SOULLESS_GHOUL_N,ALADDIN,CALHOUN	MR_INCREDIBLE,BAYMAX,RALPH,SOULLESS_TURRET,MIGUEL	MAUI,HECTOR_BARBOSSA,CALHOUN,[boss]BUZZ,SOULLESS_SWORD_N
12	93	5	ORANGE_1	440	PORT_10	SOULLESS_GHOUL_N,BAYMAX,MOANA,SOULLESS_AUTOTURRET	RALPH,SOULLESS_MAGE_N,SOULLESS_GLASS_CANNON_N,WOODY,FINNICK	MR_INCREDIBLE,[boss]CHIEF_BOGO,SOULLESS_BUG_N,SOULLESS_GLASS_CANNON_N,MOANA
13	98	5	ORANGE_2	465	PORT_10	CHIEF_BOGO,JACK_SPARROW,CALHOUN,MERIDA	CHIEF_BOGO,MR_INCREDIBLE,ALADDIN,MIGUEL,SOULLESS_SWORD_N	[boss]MAUI,ALADDIN,DASH,VIOLET,SOULLESS_MAGE_N
14	103	6	ORANGE_3	500	PORT_10	MR_INCREDIBLE,BUZZ,ALADDIN,JACK_SPARROW	MAUI,SOULLESS_GHOUL_N,MOANA,SOULLESS_SWORD_N,MICKEY_MOUSE	BAYMAX,BUZZ,HECTOR_BARBOSSA,[boss]SOULLESS_BUG_N,JACK_SPARROW
15	108	6	ORANGE_4	535	PORT_10	CHIEF_BOGO,DASH,JUDY_HOPPS,WOODY	CHIEF_BOGO,SOULLESS_AUTOTURRET,BUZZ,EVE,ALADDIN	BAYMAX,SOULLESS_GHOUL_N,SOULLESS_MAGE_N,[boss]BUZZ,MICKEY_MOUSE
16	113	6	ORANGE_5	570	PORT_10	BAYMAX,MERIDA,SOULLESS_SPLASH_N,FINNICK	MR_INCREDIBLE,RALPH,SOULLESS_TURRET,MIGUEL,MICKEY_MOUSE	SOULLESS_GHOUL_N,DASH,HECTOR_BARBOSSA,[boss]JUDY_HOPPS,MIGUEL
17	118	6	ORANGE_6	605	PORT_10	RALPH,SOULLESS_SWORD_N,DASH,SOULLESS_GLASS_CANNON_N	SOULLESS_SWORD_N,SOULLESS_GHOUL_N,SOULLESS_GLASS_CANNON_N,CALHOUN,HECTOR_BARBOSSA	MAUI,BAYMAX,SOULLESS_TURRET,HECTOR_BARBOSSA,[boss]FINNICK
18	123	6	ORANGE_7	640	PORT_10	CHIEF_BOGO,MOANA,SOULLESS_MAGE_N,JACK_SPARROW	RALPH,SOULLESS_SPLASH_N,BUZZ,DASH,HECTOR_BARBOSSA	[boss]BAYMAX,MAUI,CALHOUN,JACK_SPARROW,MOANA
