	EXP_FLASK	EXP_PHILTER	EXP_VIAL	EXP_DECANTER	EXP_NITRO	EXP_ULTRA	EXP_COLOSSAL
1	11-13	0	0	0	0	0	0
2	14-15	0	0	0	0	0	0
3	14-15	1-3	0	0	0	0	0
4	14-16	3-4	0-1	0	0	0	0
5	15-16	7-9	1	0	0	0	0
6	16-20	8-11	2-3	0-1	0	0	0
7	0	13-17	10-11	1-2	0	0	0
8	0	16-20	27-29	1-2	0	0	0
9	0	23-25	32-34	5-6	0	0	0
10	0	26-28	35-38	6-8	0	0	0
11	0	29-31	38-40	8-10	0	0	0
12	0	31-34	41-44	10-12	0	0	0
13	0	46-50	44-46	14-16	0	0	0
14	0	52-56	50-52	20-22	0	0	0
15	0	6-9	58-61	26-29	0-1	0	0
16	0	6-9	64-68	29-31	0-1	0	0
17	0	8-11	72-74	34-37	1	0	0
18	0	0	79-83	39-42	1	0	0
19	0	0	80-85	44-46	1-2	0	0
20	0	0	85-89	48-51	1-2	0	0
21	0	0	91-98	53-56	2	0	0
22	0	0	102-108	60-64	2	0	0
23	0	0	110-114	67-69	2-3	0	0
24	0	0	126-130	75-78	2-3	0	0
25	0	0	134-144	81-88	3	0	0
26	0	0	145-150	92-95	3-4	0	0
27	0	0	155-160	98-106	4	0	0
28	0	0	165-170	109-113	4-5	0	0
29	0	0	170-175	116-120	5	0	0
30	0	0	175-180	124-130	5-6	0	0
31	0	0	180-185	134-138	6	0	0
32	0	0	120-125	117-121	6-7	1	0
33	0	0	80-85	97-101	7	2	0
34	0	0	74-79	111-115	7-8	2	0
35	0	0	53-58	89-93	8	3	0
36	0	0	41-46	106-110	8-9	3	0
37	0	0	26-32	85-88	9	4	0
38	0	0	57-63	96-98	9-10	10	0
39	0	0	41-48	77-79	10	11	0
40	0	0	53-58	94-96	10-11	12	0
41	0	0	26-31	80-82	11	13	0
42	0	0	41-46	99-101	11-12	14	0
43	0	0	35-40	80-90	12	15	0
44	0	0	10-20	70-80	12-13	17	0
45	0	0	0	60-70	13	19	0
46	0	0	0	50-60	13-14	21	0
47	0	0	0	30-40	12-14	22-25	0
48	0	0	0	25-35	10-12	23-29	0
49	0	0	0	5-10	5-15	20-30	0-1
50	0	0	0	0	5-10	15-25	1-2
51	0	0	0	0	0	15-25	1-3
52	0	0	0	0	0	14-24	2-3
53	0	0	0	0	0	15-20	2-4
54	0	0	0	0	0	15-25	2-4
55	0	0	0	0	0	15-25	3-4
56	0	0	0	0	0	20-25	3-4
57	0	0	0	0	0	20-25	3-5
58	0	0	0	0	0	25-30	3-5
59	0	0	0	0	0	25-30	4-5
60	0	0	0	0	0	30-35	4-5
61	0	0	0	0	0	30-35	4-6
62	0	0	0	0	0	35-40	4-6
63	0	0	0	0	0	35-40	5-6
64	0	0	0	0	0	40-45	5-6
65	0	0	0	0	0	40-45	5-7
66	0	0	0	0	0	45-50	5-7
67	0	0	0	0	0	45-50	6-7
68	0	0	0	0	0	50-55	6-7
69	0	0	0	0	0	0	16-17
70	0	0	0	0	0	0	18-20
71	0	0	0	0	0	0	20-23
72	0	0	0	0	0	0	24-27
73	0	0	0	0	0	0	29-32
74	0	0	0	0	0	0	35-39
75	0	0	0	0	0	0	44-48
76	0	0	0	0	0	0	55-61
77	0	0	0	0	0	0	70-78
78	0	0	0	0	0	0	91-100
79	0	0	0	0	0	0	118-131
80	0	0	0	0	0	0	155-171
81	0	0	0	0	0	0	204-225
82	0	0	0	0	0	0	269-298
83	0	0	0	0	0	0	319-352
84	0	0	0	0	0	0	350-387
85	0	0	0	0	0	0	382-422
86	0	0	0	0	0	0	415-459
87	0	0	0	0	0	0	449-496
88	0	0	0	0	0	0	484-535
89	0	0	0	0	0	0	521-575
90	0	0	0	0	0	0	558-617
91	0	0	0	0	0	0	596-659
92	0	0	0	0	0	0	636-703
93	0	0	0	0	0	0	677-748
94	0	0	0	0	0	0	719-794
95	0	0	0	0	0	0	762-842
96	0	0	0	0	0	0	807-892
97	0	0	0	0	0	0	853-942
98	0	0	0	0	0	0	915-1012
99	0	0	0	0	0	0	965-1066
100	0	0	0	0	0	0	1015-1122
101	0	0	0	0	0	0	1068-1180
102	0	0	0	0	0	0	1139-1259
103	0	0	0	0	0	0	1195-1321
104	0	0	0	0	0	0	1253-1385
