	EXTRA_MEGABIT_COST	EXTRA_XP_COST
0	0	0
1	2,700	40,000,000
2	4,500	70,000,000
3	5,400	105,000,000
4	6,300	150,000,000
5	7,200	195,000,000
6	8,100	240,000,000
7	9,000	285,000,000
8	9,900	330,000,000
9	10,800	375,000,000
10	11,700	420,000,000
11	12,600	465,000,000
12	13,500	510,000,000
13	14,400	555,000,000
14	15,300	600,000,000
15	16,200	645,000,000
16	17,100	690,000,000
17	18,000	735,000,000
18	18,900	780,000,000
19	19,800	825,000,000
20	20,700	870,000,000
21	21,600	915,000,000
22	22,500	960,000,000
23	23,400	1,005,000,000
24	24,300	1,050,000,000
25	25,200	1,095,000,000
26	26,100	1,140,000,000
27	27,000	1,185,000,000
28	27,900	1,230,000,000
29	28,800	1,275,000,000
30	29,700	1,320,000,000
31	30,600	1,365,000,000
32	31,500	1,410,000,000
33	32,400	1,455,000,000
34	33,300	1,500,000,000
35	34,200	1,545,000,000
36	35,100	1,590,000,000
37	36,000	1,635,000,000
38	36,900	1,680,000,000
39	37,800	1,725,000,000
40	38,700	1,770,000,000
41	39,600	1,815,000,000
42	40,500	1,860,000,000
43	41,400	1,905,000,000
44	42,300	1,950,000,000
45	43,200	1,995,000,000
46	44,100	2,040,000,000
47	45,000	2,085,000,000
48	45,900	2,130,000,000
49	46,800	2,175,000,000
50	47,700	2,220,000,000
51	48,600	2,265,000,000
52	49,500	2,310,000,000
53	50,400	2,355,000,000
54	51,300	2,400,000,000
55	52,200	2,445,000,000
56	53,100	2,490,000,000
57	54,000	2,535,000,000
58	54,900	2,580,000,000
59	55,800	2,625,000,000
60	56,700	2,670,000,000
61	57,600	2,715,000,000
62	58,500	2,760,000,000
63	59,400	2,805,000,000
64	60,300	2,850,000,000
65	61,200	2,895,000,000
66	62,100	2,940,000,000
67	63,000	2,985,000,000
68	63,900	3,030,000,000
69	64,800	3,075,000,000
70	65,700	3,120,000,000
71	66,600	3,165,000,000
72	67,500	3,210,000,000
73	68,400	3,255,000,000
74	69,300	3,300,000,000
75	70,200	3,345,000,000
76	71,100	3,390,000,000
77	72,000	3,435,000,000
78	72,900	3,480,000,000
79	73,800	3,525,000,000
80	74,700	3,570,000,000
81	75,600	3,615,000,000
82	76,500	3,660,000,000
83	77,400	3,705,000,000
84	78,300	3,750,000,000
85	79,200	3,795,000,000
86	80,100	3,840,000,000
87	81,000	3,885,000,000
88	81,900	3,930,000,000
89	82,800	3,975,000,000
90	83,700	4,020,000,000
91	84,600	4,065,000,000
92	85,500	4,110,000,000
93	86,400	4,155,000,000
94	87,300	4,200,000,000
95	88,200	4,245,000,000
96	89,100	4,290,000,000
97	90,000	4,335,000,000
98	90,900	4,380,000,000
99	91,800	4,425,000,000
100	92,700	4,470,000,000
101	93,600	4,515,000,000
102	94,500	4,560,000,000
103	95,400	4,605,000,000
104	96,300	4,650,000,000
105	97,200	4,695,000,000
106	98,100	4,740,000,000
107	99,000	4,785,000,000
108	99,900	4,830,000,000
109	100,800	4,875,000,000
110	101,700	4,920,000,000
111	102,600	4,965,000,000
112	103,500	5,010,000,000
113	104,400	5,055,000,000
114	105,300	5,100,000,000
115	106,200	5,145,000,000
116	107,100	5,190,000,000
117	108,000	5,235,000,000
118	108,900	5,280,000,000
119	109,800	5,325,000,000
120	110,700	5,370,000,000
121	111,600	5,415,000,000
122	112,500	5,460,000,000
123	113,400	5,505,000,000
124	114,300	5,550,000,000
125	115,200	5,595,000,000
126	116,100	5,640,000,000
127	117,000	5,685,000,000
128	117,900	5,730,000,000
129	118,800	5,775,000,000
130	119,700	5,820,000,000
131	120,600	5,865,000,000
132	121,500	5,910,000,000
133	122,400	5,955,000,000
134	123,300	6,000,000,000
135	124,200	6,045,000,000
136	125,100	6,090,000,000
137	126,000	6,135,000,000
138	126,900	6,180,000,000
139	127,800	6,225,000,000
140	128,700	6,270,000,000
141	129,600	6,315,000,000
142	130,500	6,360,000,000
143	131,400	6,405,000,000
144	132,300	6,450,000,000
145	133,200	6,495,000,000
146	134,100	6,540,000,000
147	135,000	6,585,000,000
148	135,900	6,630,000,000
149	136,800	6,675,000,000
150	137,700	6,720,000,000
151	138,600	511,880,000,000
152	139,500	518,600,000,000
153	140,400	525,320,000,000
154	141,300	532,040,000,000
155	142,200	538,760,000,000
156	143,100	545,480,000,000
157	144,000	552,200,000,000
158	144,900	558,920,000,000
159	145,800	565,640,000,000
160	146,700	572,360,000,000
161	147,600	579,080,000,000
162	148,500	585,800,000,000
163	149,400	592,520,000,000
164	150,300	599,240,000,000
165	151,200	605,960,000,000
166	152,100	612,680,000,000
167	153,000	619,400,000,000
168	153,900	626,120,000,000
169	154,800	632,840,000,000
170	155,700	639,560,000,000
171	156,600	646,280,000,000
172	157,500	653,000,000,000
173	158,400	659,720,000,000
174	159,300	666,440,000,000
175	160,200	673,160,000,000
176	161,100	679,880,000,000
177	162,000	686,600,000,000
178	162,900	693,320,000,000
179	163,800	700,040,000,000
180	164,700	706,760,000,000
181	165,600	713,480,000,000
182	166,500	720,200,000,000
183	167,400	726,920,000,000
184	168,300	733,640,000,000
185	169,200	740,360,000,000
186	170,100	747,080,000,000
187	171,000	753,800,000,000
188	171,900	760,520,000,000
189	172,800	767,240,000,000
190	173,700	773,960,000,000
191	174,600	780,680,000,000
192	175,500	787,400,000,000
193	176,400	794,120,000,000
194	177,300	800,840,000,000
195	178,200	807,560,000,000
196	179,100	814,280,000,000
197	180,000	821,000,000,000
198	180,900	827,720,000,000
199	181,800	834,440,000,000
200	182,700	841,160,000,000
201	183636	847,880,000,000
202	184,536	854,600,000,000
203	185,437	861,320,000,000
204	186,337	868,040,000,000
205	187,238	874,760,000,000
206	188,138	881,480,000,000
207	189,039	888,200,000,000
208	189,939	894,920,000,000
209	190,840	901,640,000,000
210	191,740	908,360,000,000
211	192,641	915,080,000,000
212	193,542	921,800,000,000
213	194,442	928,520,000,000
214	195,343	935,240,000,000
215	196,243	941,960,000,000
216	197,144	948,680,000,000
217	198,044	955,400,000,000
218	198,945	962,120,000,000
219	199,845	968,840,000,000
220	200,746	975,560,000,000
221	201,646	982,280,000,000
222	202,547	989,000,000,000
223	203,447	995,720,000,000
224	204,348	1,002,440,000,000
225	205,248	1,009,160,000,000
226	206,149	1,015,880,000,000
227	207,049	1,022,600,000,000
228	207,950	1,029,320,000,000
229	208,851	1,036,040,000,000
230	209,751	1,042,760,000,000
231	210,652	1,049,480,000,000
232	211,552	1,056,200,000,000
233	212,453	1,062,920,000,000
234	213,353	1,069,640,000,000
235	214,254	1,076,360,000,000
236	215,154	1,083,080,000,000
237	216,055	1,089,800,000,000
238	216,955	1,096,520,000,000
239	217,856	1,103,240,000,000
240	218,756	1,109,960,000,000
241	219,657	1,116,680,000,000
