	MAX_LEVEL
YELLOW	1
YELLOW_1	2
YELLOW_2	3
YELLOW_3	4
YELLOW_4	5
YELLOW_5	6
YELLOW_6	7
YELLOW_7	8
YELLOW_8	9
YELLOW_9	10
YELLOW_10	11
YELLOW_11	12
YELLOW_12	13
YELLOW_13	14
YELLOW_14	15
YELLOW_15	16
YELLOW_16	17
YELLOW_17	18
YELLOW_18	19
YELLOW_19	20
YELLOW_20	21
YELLOW_21	22
YELLOW_22	23
YELLOW_23	24
YELLOW_24	25
YELLOW_25	26
YELLOW_26	27
YELLOW_27	28
YELLOW_28	29
YELLOW_29	30
YELLOW_30	31
EMERALD	32
EMERALD_1	33
EMERALD_2	34
EMERALD_3	35
EMERALD_4	36
EMERALD_5	37
EMERALD_6	38
EMERALD_7	39
EMERALD_8	40
EMERALD_9	41
EMERALD_10	42
EMERALD_11	43
EMERALD_12	44
EMERALD_13	45
EMERALD_14	46
EMERALD_15	47
EMERALD_16	48
EMERALD_17	49
EMERALD_18	50
EMERALD_19	51
EMERALD_20	52
EMERALD_21	53
EMERALD_22	54
EMERALD_23	55
EMERALD_24	56
EMERALD_25	57
EMERALD_26	58
EMERALD_27	59
EMERALD_28	60
EMERALD_29	61
EMERALD_30	62
SAPPHIRE	63
SAPPHIRE_1	64
SAPPHIRE_2	65
SAPPHIRE_3	66
